Periodo,Total,Minería,Energía_agua_gas,Construcción,Manufactureras,Alimentos_Anual,Bebidas_Anual,Textil_Anual,Cuero_Anual,Madera_Anual,Papel_Anual,Quimica_Anual,Plastico_Anual,Metales_Anual,Metalicos_Anual,Maquinaria_Anual,Computacion_Anual,Electrico_Anual,Transporte_Anual
feb-93,3.94,0.99,0.05,2.87,4.06,,,,,,,,,,,,,,
mar-93,0.71,1.12,-0.58,0.22,1.19,,,,,,,,,,,,,,
abr-93,-1.24,0.62,0.31,-0.82,-0.95,,,,,,,,,,,,,,
may-93,0.01,-0.48,-0.34,1.51,-0.64,,,,,,,,,,,,,,
jun-93,-0.79,0.82,-1.44,-2.11,-0.54,,,,,,,,,,,,,,
jul-93,0.94,-0.19,-0.93,-0.62,2.12,,,,,,,,,,,,,,
ago-93,0.22,-0.0,-1.47,1.12,0.37,,,,,,,,,,,,,,
sep-93,-0.19,0.71,-0.49,1.45,-0.59,,,,,,,,,,,,,,
oct-93,0.4,0.98,-2.12,0.37,0.48,,,,,,,,,,,,,,
nov-93,0.06,0.23,-1.92,2.76,-1.0,,,,,,,,,,,,,,
dic-93,1.54,-0.0,-1.47,2.81,1.03,,,,,,,,,,,,,,
ene-94,0.71,-1.09,-1.51,2.37,-0.24,0.61,-0.03,-5.84,-2.2,-18.56,0.66,3.32,2.16,-0.55,2.38,-21.51,41.7,36.5,-2.69
feb-94,-0.53,-1.18,-2.16,3.69,-2.56,0.89,-5.65,-4.19,-4.1,-27.45,-2.3,-0.9,1.76,2.48,1.6,22.66,-0.96,-17.28,-8.86
mar-94,1.1,0.36,0.6,3.65,1.33,-0.7,-1.28,-5.36,3.37,12.73,-3.01,0.27,8.49,-1.42,-3.13,-2.64,16.01,-21.37,-10.92
abr-94,5.04,-0.11,-0.67,2.19,9.0,2.82,5.47,2.35,-0.33,18.54,0.33,8.83,9.8,-1.88,22.65,3.44,29.38,20.13,0.14
may-94,-3.81,0.52,-1.3,-1.8,-6.14,-2.52,-2.14,2.19,0.7,4.92,-0.91,1.99,8.95,-1.85,9.01,-3.95,2.68,22.5,-3.68
jun-94,-0.05,-0.62,0.24,-0.61,0.72,3.2,14.81,3.43,3.72,3.16,3.97,3.8,11.33,4.68,11.93,13.36,-9.42,-15.02,9.9
jul-94,-0.2,0.2,1.15,-1.25,-0.1,6.83,16.24,-0.67,-3.93,1.4,1.2,6.02,5.56,2.81,15.31,-14.54,-14.4,-5.87,5.19
ago-94,1.2,0.26,0.35,0.62,2.1,5.72,17.92,-1.52,-0.48,-0.22,7.32,7.53,3.54,14.95,-3.19,-18.66,-7.07,-22.17,17.9
sep-94,0.31,-0.81,1.58,-1.47,1.36,2.21,14.35,-0.57,4.35,3.95,8.13,8.09,-0.51,7.37,6.18,9.12,17.5,-8.06,4.48
oct-94,-0.62,0.86,2.65,1.1,-1.51,3.64,11.84,7.62,-8.2,20.88,7.21,10.06,-12.54,9.49,8.57,-17.93,-16.57,6.14,2.79
nov-94,-0.32,-0.92,2.53,-2.93,0.95,5.73,5.08,11.62,1.9,14.09,10.24,7.31,6.21,6.85,3.32,13.05,-19.89,45.16,7.51
dic-94,-0.26,-0.27,3.48,-1.61,-1.44,3.21,-22.73,8.21,-4.06,-14.16,6.42,6.44,-12.53,0.89,10.89,-11.23,12.73,-7.34,0.22
ene-95,1.41,0.4,2.03,-13.17,5.72,3.25,1.25,5.23,-11.79,-2.71,10.45,9.42,3.6,4.25,0.7,-6.22,68.56,-28.79,1.83
feb-95,-8.94,-1.18,3.19,-18.34,-8.26,5.16,9.14,1.84,-5.63,0.06,5.71,5.81,-4.93,0.94,-4.1,2.97,18.48,-12.72,-9.96
mar-95,-1.57,0.54,1.51,-0.02,-2.42,6.32,1.42,3.29,-12.97,-36.83,1.31,2.87,-14.32,-5.41,-10.92,27.78,-11.62,-3.84,-15.35
abr-95,-4.19,0.21,3.15,0.44,-7.09,6.25,-8.63,-17.42,-21.1,-30.84,-2.61,0.11,-11.15,-2.39,-24.06,-8.02,-66.23,-10.51,-32.07
may-95,-0.6,0.04,1.47,-9.39,1.02,5.92,-0.11,-13.68,-21.78,-15.15,-0.94,2.06,-17.0,1.1,-26.22,-22.09,-26.35,-10.82,-27.99
jun-95,0.54,1.07,1.62,4.37,-0.2,4.49,-3.37,-11.51,-24.31,-10.42,0.45,4.03,-17.55,-2.81,-30.4,-14.86,-34.86,0.44,-31.32
jul-95,0.78,0.2,0.86,-0.53,1.53,-2.45,-5.67,-8.68,-13.39,-6.69,-0.27,6.35,-2.97,0.73,-25.77,-13.05,-35.32,-4.68,-22.47
ago-95,0.19,1.82,1.21,3.07,-0.29,-2.1,-2.22,-2.8,-8.91,4.1,-4.82,4.63,4.84,1.54,-19.89,-7.12,-50.57,-12.54,-21.84
sep-95,1.61,0.13,1.47,4.44,1.5,-0.07,-4.91,-0.58,-9.18,1.22,-3.4,2.05,-1.21,-6.14,-21.15,-15.86,-43.42,-15.55,-12.27
oct-95,-4.17,-24.71,0.34,0.79,1.85,-0.45,-2.01,-6.54,-12.96,6.18,-3.87,-4.66,0.8,1.11,-21.51,-22.49,-7.44,-10.94,-3.98
nov-95,6.74,28.07,1.09,6.65,1.26,-0.66,-1.82,-7.47,-13.51,-7.54,1.28,-1.87,-3.14,2.58,-14.74,-21.81,-9.23,-11.26,-6.91
dic-95,6.77,5.79,0.03,11.04,3.78,-0.53,2.63,11.17,-0.01,5.21,15.81,5.15,5.31,9.08,-7.47,3.86,-18.7,-1.5,2.86
ene-96,-0.75,1.92,-0.61,-3.58,-1.35,3.04,6.73,3.11,5.22,10.13,4.01,1.38,0.11,23.15,-9.32,9.43,-62.54,17.95,2.51
feb-96,-0.62,1.21,0.75,-3.81,0.78,2.28,0.18,9.04,2.42,13.35,7.63,8.07,9.57,28.72,-4.21,-11.69,-32.74,-0.69,15.95
mar-96,1.71,-0.18,-0.24,1.42,2.89,1.09,4.5,5.21,12.85,19.14,10.31,9.89,15.53,26.23,4.59,-19.33,-15.92,-0.29,27.25
abr-96,-0.84,1.14,-0.56,1.41,-1.95,-0.3,3.1,21.64,21.45,19.84,10.16,10.7,4.32,22.55,11.19,14.39,22.81,-5.47,54.43
may-96,1.61,0.01,0.5,1.66,2.06,-1.29,1.11,14.35,31.87,15.3,6.7,13.35,27.26,21.73,24.86,38.68,-8.18,3.31,54.0
jun-96,1.67,0.34,0.51,2.63,2.05,-1.97,3.02,11.45,32.41,18.53,9.61,3.84,20.78,24.5,33.14,25.83,48.36,3.17,59.47
jul-96,-0.29,0.08,-0.03,4.74,-1.48,3.91,8.54,13.47,18.75,14.44,7.39,-2.22,8.99,24.47,31.13,21.28,6.03,1.66,46.17
ago-96,0.06,-1.27,0.42,-2.02,1.12,3.69,6.27,9.36,10.8,7.45,9.44,-1.15,12.58,12.2,25.77,2.47,33.33,17.88,41.96
sep-96,0.26,1.3,-0.95,-0.9,0.34,3.88,4.36,6.9,1.48,7.64,11.9,2.46,9.89,16.97,23.67,8.13,23.8,11.48,33.61
oct-96,1.87,0.73,-0.31,3.4,2.18,3.21,4.15,12.23,13.45,5.33,13.24,8.13,5.41,19.22,23.98,24.83,32.65,8.49,21.93
nov-96,1.09,0.1,3.12,-1.32,1.97,4.3,7.37,11.95,13.37,31.55,8.7,8.82,6.43,17.64,19.12,15.38,42.91,13.94,21.48
dic-96,2.68,1.45,-2.54,6.29,0.31,3.77,8.18,3.8,9.17,15.09,5.72,4.44,15.11,16.99,13.61,5.71,19.46,6.59,16.08
ene-97,-2.48,-0.07,2.03,-6.8,-1.61,0.18,1.67,8.92,9.46,-8.34,2.26,7.38,5.48,2.19,16.18,10.53,38.04,12.62,20.84
feb-97,0.77,2.08,-0.98,-0.76,1.72,1.3,4.2,4.27,12.27,-9.53,3.87,6.68,0.64,-0.09,24.64,27.07,24.76,10.72,18.72
mar-97,0.67,-0.52,1.65,-0.5,1.23,0.67,-0.33,5.3,2.63,11.63,3.91,5.16,5.37,7.88,13.78,25.26,27.79,12.42,13.67
abr-97,1.42,-0.29,-2.37,5.41,1.39,1.75,5.96,10.56,8.83,11.21,5.51,6.08,13.47,13.63,15.98,5.65,51.42,30.27,10.95
may-97,1.08,1.61,-0.02,1.9,0.61,3.32,-1.09,14.93,-0.65,22.16,3.49,1.29,2.87,8.1,17.59,-1.32,43.3,27.64,11.6
jun-97,1.13,1.34,-0.69,-0.6,1.76,4.48,5.6,13.55,-0.22,20.99,4.55,5.82,18.59,16.16,15.77,5.08,8.26,23.97,11.39
jul-97,0.81,0.22,-0.1,0.39,1.49,1.4,1.92,12.74,4.47,16.59,10.14,10.78,13.52,4.91,12.66,33.72,46.03,37.74,17.22
ago-97,0.74,0.99,0.41,2.66,-0.17,1.98,2.98,9.32,3.05,10.45,9.98,7.97,13.87,11.47,10.07,14.07,70.38,18.0,3.29
sep-97,0.16,0.42,-0.54,-1.38,0.61,1.91,11.45,5.88,11.43,23.11,7.98,5.41,16.77,15.6,9.98,24.75,43.06,22.17,16.79
oct-97,1.24,0.19,-0.19,0.12,2.05,3.47,3.7,5.66,5.97,22.41,6.91,4.55,15.63,10.94,15.6,19.29,29.24,31.46,17.59
nov-97,0.73,-0.05,-2.46,-0.89,1.44,3.49,3.82,3.03,4.6,-1.82,6.52,-0.87,9.94,14.34,12.08,31.52,25.6,31.01,21.28
dic-97,0.18,-1.0,-0.07,0.66,-0.19,4.3,-1.36,-0.61,-3.25,0.69,1.17,0.6,-4.48,13.53,13.96,21.54,45.56,30.61,16.86
ene-98,1.24,-0.23,-0.67,-1.45,2.88,5.57,6.26,-6.01,-0.94,24.02,6.97,1.1,4.21,12.22,15.02,7.95,68.95,34.94,9.03
feb-98,1.56,2.37,-1.22,4.62,0.69,3.5,2.69,3.32,-2.79,23.9,3.32,1.25,15.06,9.78,3.3,19.96,60.47,43.87,13.98
mar-98,0.59,-0.45,-1.23,1.83,0.52,4.43,12.09,8.74,1.15,-0.24,5.77,2.95,21.68,15.39,11.97,-0.27,38.87,35.58,20.89
abr-98,-0.34,0.95,-0.63,-0.6,-0.15,5.15,12.1,0.61,-2.86,0.29,5.18,1.62,9.26,5.59,5.64,7.64,43.23,45.62,15.12
may-98,0.37,-0.09,0.23,0.15,0.52,6.9,20.09,-0.41,-2.28,-9.25,6.87,7.67,7.31,10.04,4.45,7.53,42.54,20.75,16.01
jun-98,-1.16,-1.65,-0.03,-1.28,-0.98,3.78,12.85,2.85,2.16,-12.43,7.79,6.47,-2.71,2.92,2.99,1.85,38.91,23.5,7.84
jul-98,0.25,0.35,1.21,1.64,0.36,5.89,12.92,9.19,-3.18,1.98,8.78,4.19,1.22,11.6,7.77,-16.54,38.92,18.43,-4.18
ago-98,0.6,-0.41,-1.45,-0.09,0.79,5.94,6.95,6.26,-4.75,8.4,8.1,7.61,-9.43,9.81,14.12,0.97,12.11,30.58,20.66
sep-98,-0.24,-4.27,-0.59,3.49,-0.54,5.76,1.51,10.31,-1.51,-9.07,5.16,4.9,1.53,3.45,11.25,-0.11,10.37,41.71,5.82
oct-98,0.23,-1.27,0.31,-1.06,0.95,4.75,8.09,9.44,-1.78,-10.09,8.0,3.09,2.37,1.64,3.15,-8.93,20.28,19.14,7.91
nov-98,-0.04,7.3,-0.41,-6.1,-0.38,4.36,6.11,11.05,2.1,11.24,4.99,11.47,6.09,-8.07,6.89,-12.94,7.81,14.11,2.91
dic-98,0.87,0.79,2.54,5.41,-0.13,3.76,7.82,1.17,-0.77,11.23,6.05,5.71,17.07,-3.71,2.86,-3.4,4.73,12.67,7.83
ene-99,-0.07,-1.18,5.03,3.55,-0.98,3.06,2.72,10.59,-4.78,2.23,6.02,2.52,2.34,0.71,2.63,-0.58,-11.8,8.58,7.42
feb-99,0.23,-1.74,0.96,-0.8,0.83,3.91,5.76,1.01,0.03,7.98,7.97,-0.92,-1.46,1.68,5.48,-18.55,1.47,7.05,2.35
mar-99,0.16,0.87,1.39,1.39,-0.12,6.23,3.99,-2.77,0.72,6.84,7.93,0.57,-10.39,-8.58,4.42,-11.5,8.79,9.61,-5.18
abr-99,0.89,-1.81,1.28,-3.69,2.74,3.68,1.76,14.98,5.56,-1.74,7.84,1.62,0.98,-5.58,9.05,-8.15,9.68,-1.81,4.07
may-99,-0.86,0.24,0.24,0.81,-1.26,2.36,1.79,6.17,6.09,-0.98,12.94,-2.93,-4.87,-5.82,8.62,-10.24,2.11,14.35,3.81
jun-99,-0.45,-2.91,0.35,1.47,-0.32,3.45,2.99,5.62,-1.99,-0.67,8.75,2.4,-0.31,-5.34,5.45,-15.67,-1.15,9.15,10.0
jul-99,0.21,2.11,1.39,-2.57,1.18,3.02,-1.55,4.27,0.61,-2.44,3.43,2.47,-1.67,-4.52,3.61,-15.2,2.91,5.14,19.84
ago-99,0.28,-0.91,-0.67,-0.72,0.16,3.39,4.13,7.09,2.47,1.03,4.57,-2.17,1.4,-6.16,-4.1,0.12,2.26,4.39,10.97
sep-99,1.15,0.22,1.42,0.75,1.39,3.08,6.28,7.54,2.28,-0.31,3.41,0.31,-8.97,-3.8,0.24,-18.8,30.82,0.56,12.8
oct-99,-0.67,1.04,0.38,0.01,-1.96,2.15,9.75,-2.16,-1.37,-0.61,3.65,0.5,-9.57,-1.78,2.76,-9.91,-2.92,11.44,5.04
nov-99,0.83,1.32,1.09,2.06,0.64,2.09,7.83,2.18,-7.12,-7.96,6.44,-2.78,0.94,12.22,1.7,-12.42,-4.63,6.6,13.83
dic-99,0.69,-1.77,-0.02,1.38,1.91,3.96,7.79,7.41,5.74,-10.39,9.85,1.91,4.88,8.12,6.62,-12.11,-2.45,17.36,16.28
ene-00,1.51,3.11,-2.88,0.07,1.33,5.86,6.51,11.39,5.64,4.03,6.34,-0.31,12.95,0.17,6.65,-23.35,10.54,14.43,25.63
feb-00,1.45,-2.32,1.49,2.03,1.93,4.67,5.34,17.99,-5.26,-0.34,7.11,4.62,8.09,5.86,6.88,-14.59,18.3,11.0,22.53
mar-00,0.57,2.08,1.3,-2.11,1.37,2.28,2.28,12.63,0.28,-1.61,6.48,0.75,2.81,8.49,5.49,-10.35,19.25,22.36,28.78
abr-00,-0.58,2.5,-0.9,-0.85,-1.73,1.59,2.48,1.47,-8.59,4.13,5.2,-1.67,-2.11,13.62,1.78,-3.66,1.32,11.15,22.98
may-00,0.73,-0.66,-0.01,2.37,1.17,2.52,4.74,11.65,-5.62,2.11,2.22,1.38,6.14,13.95,3.24,-1.29,17.6,10.73,15.92
jun-00,0.9,1.14,-0.58,-1.74,1.59,3.37,-3.19,9.2,6.16,4.02,1.54,0.35,4.12,5.2,5.55,5.66,31.35,14.22,19.44
jul-00,0.85,-6.75,-1.86,-1.77,5.23,3.36,5.6,0.01,-2.94,-2.59,3.39,1.21,7.46,2.7,4.93,16.14,67.44,13.07,21.02
ago-00,-1.14,8.16,-0.11,0.96,-5.29,2.15,5.3,3.5,0.8,-1.41,2.37,2.12,12.36,5.73,8.12,0.7,38.67,9.24,13.6
sep-00,-0.48,0.45,-0.3,-2.5,-0.45,2.44,3.65,2.04,-11.56,1.71,4.78,3.58,14.18,6.14,8.94,21.27,11.99,1.4,12.96
oct-00,-0.18,-5.5,-1.2,0.31,0.88,4.9,-3.73,8.71,-11.37,8.74,2.56,2.9,13.01,4.39,6.79,15.66,29.55,5.12,24.06
nov-00,-1.05,1.43,-1.92,-1.92,-1.12,4.12,-0.87,-1.82,-7.47,3.57,0.13,-1.18,1.3,-4.0,12.51,17.19,30.4,11.27,12.29
dic-00,-2.47,0.54,-1.44,-2.19,-3.05,0.98,-0.8,-1.98,-16.59,3.13,-4.0,-3.14,-7.6,-0.72,3.39,4.37,14.37,1.05,6.68
ene-01,3.32,1.48,-2.31,-0.57,4.94,0.5,-0.72,1.95,-11.32,0.3,-1.2,-1.48,-5.84,2.57,-3.94,16.36,31.18,5.58,2.09
feb-01,-0.76,2.8,-1.01,-2.2,-0.79,1.37,0.43,-1.69,-13.49,-2.94,-2.37,-5.43,-9.61,-7.43,-4.1,23.9,15.37,3.72,0.67
mar-01,-1.24,-0.74,-1.27,1.22,-2.65,1.31,3.63,-0.28,-15.89,-11.95,-3.03,-2.83,-6.32,-0.52,-7.04,-2.57,2.72,-9.76,-1.7
abr-01,-0.89,-2.82,0.34,-6.16,0.41,3.64,-0.95,-1.28,-11.23,-12.8,-2.28,-4.2,-8.92,-7.0,-5.55,-0.61,15.96,-2.0,-1.96
may-01,0.67,-0.24,-1.2,4.15,0.73,3.36,-2.97,-3.84,-15.2,-11.76,-1.32,-3.71,-3.35,-13.55,-6.5,2.84,18.43,-4.4,0.1
jun-01,-0.26,2.86,1.21,0.69,-1.35,4.73,6.81,1.28,-21.84,-12.11,-0.82,-7.99,-9.5,-1.92,-7.5,2.22,-4.72,-5.47,-5.8
jul-01,0.01,0.18,-0.02,3.27,-0.26,3.47,1.24,-8.08,-15.32,-9.72,-4.27,-8.48,-9.69,-2.54,-6.17,-6.31,-26.09,-7.32,-9.04
ago-01,0.0,-0.28,3.84,0.72,-0.88,3.83,-0.97,-7.63,-15.03,-13.89,-3.3,-3.8,-9.18,-0.6,-4.12,-4.07,-12.48,1.85,-8.14
sep-01,0.35,-0.63,1.56,-0.97,0.67,3.84,-4.18,-7.9,-6.16,-9.52,-1.32,-5.25,-13.35,-2.51,-6.08,-4.11,-18.31,11.28,-3.53
oct-01,-1.95,-1.6,3.53,-2.92,-2.09,2.09,-1.21,-9.65,-5.62,-15.0,-1.92,-3.88,-9.55,-2.08,-7.09,-8.3,-24.46,-0.4,-8.61
nov-01,0.88,2.92,3.43,1.29,-0.07,2.63,1.16,-6.49,-6.4,-18.06,0.41,-2.2,0.76,0.11,-14.2,-7.91,-15.29,-2.25,-1.92
dic-01,-0.68,0.74,4.9,-0.16,-1.36,3.52,3.61,1.39,-2.74,-13.47,-1.66,-4.81,-0.62,-9.2,-8.93,-6.73,-14.75,-0.96,-4.75
ene-02,-0.95,-2.31,-2.42,-2.9,0.36,2.68,5.03,-7.99,-18.29,-23.53,-0.88,-1.78,-5.24,-8.82,-6.34,-1.21,-27.57,-7.65,-5.78
feb-02,-2.05,-0.81,4.07,-1.77,-1.74,2.68,2.92,-11.14,4.8,-25.81,-1.14,-2.23,-4.85,4.41,-2.58,-5.82,-36.84,-12.16,-4.29
mar-02,1.14,-1.65,2.15,-2.01,1.75,3.32,-2.22,-9.42,-2.12,-9.31,0.76,-2.6,6.42,-6.11,1.99,-4.1,-24.72,-3.9,-2.78
abr-02,1.73,1.35,3.26,2.19,1.0,3.53,5.42,-7.83,-2.69,-6.33,3.32,2.07,13.06,-4.15,2.42,-5.07,-26.77,-3.88,-1.03
may-02,-0.71,0.48,4.01,1.77,-1.58,0.83,2.99,-5.75,-0.71,-6.61,1.74,-2.13,0.75,7.12,2.61,6.73,-44.81,-5.95,0.75
jun-02,0.24,-0.73,1.04,-0.29,0.65,0.23,-3.67,-14.59,-1.41,-9.02,1.43,0.34,9.72,0.93,1.53,3.76,-32.0,-6.79,3.93
jul-02,0.26,0.04,1.97,1.48,0.44,1.38,0.03,-3.05,3.6,-10.32,3.74,0.2,12.33,3.54,-2.42,1.68,-35.86,-4.33,10.16
ago-02,1.16,0.71,0.36,1.51,0.76,2.0,3.31,-6.02,2.4,-12.06,4.52,-2.54,3.03,4.74,-3.62,4.13,-25.4,-16.92,12.88
sep-02,-0.04,-1.18,1.49,1.61,-0.44,1.51,3.75,-5.92,-1.11,-5.46,1.01,-0.67,-0.2,3.4,-6.04,-7.82,-11.4,-13.89,2.95
oct-02,1.11,5.04,-0.17,0.04,0.73,1.86,7.56,-0.27,0.51,-15.48,1.0,-1.2,-1.97,1.69,-2.24,-4.11,7.33,-10.32,7.37
nov-02,0.03,-5.2,-2.32,1.16,0.93,0.13,-1.81,-2.38,-0.32,-7.94,-0.93,0.92,-8.7,2.33,8.23,-3.58,15.76,-6.51,1.1
