Periodo,Exportaciones_totales_Mensual,Exportaciones_totales_Anual,Importaciones_totales_Mensual,Importaciones_totales_Anual,Saldo_total_MDD,Saldo_petrolero_MDD,Saldo_no_petrolero_MDD,Export_petroleras_Mensual,Export_petroleras_Anual,Export_no_petroleras_Mensual,Export_no_petroleras_Anual,Export_agropecuarias_Anual,Export_extractivas_Anual,Export_manufacturas_Anual,Export_automotriz_Mensual,Export_automotriz_Anual,Export_resto_manuf_Anual,Import_consumo_Mensual,Import_consumo_Anual,Import_intermedios_Mensual,Import_intermedios_Anual,Import_capital_Mensual,Import_capital_Anual
ene-93,,,,,-1160.91,468.58,-1629.49,,,,,,,,,,,,,,,,
feb-93,2.52,,5.35,,-1333.68,437.32,-1771.0,2.0,,2.62,,,,,16.59,,,3.54,,5.94,,4.17,
mar-93,0.63,,-0.76,,-1267.9,534.86,-1802.76,7.86,,-0.8,,,,,-3.75,,,1.94,,-0.62,,-3.17,
abr-93,4.41,,3.48,,-1274.56,471.21,-1745.76,-6.68,,6.81,,,,,7.04,,,2.22,,4.33,,0.77,
may-93,-1.06,,-0.89,,-1270.1,461.31,-1731.4,-3.83,,-0.53,,,,,-0.98,,,-2.21,,-1.59,,3.17,
jun-93,6.3,,1.89,,-1110.36,434.59,-1544.95,-0.24,,7.5,,,,,18.23,,,4.9,,1.97,,-0.52,
jul-93,-0.8,,5.04,,-1424.85,454.27,-1879.13,0.14,,-0.96,,,,,-10.41,,,7.23,,5.71,,0.54,
ago-93,-4.92,,-10.41,,-1035.41,476.28,-1511.69,0.1,,-5.78,,,,,-6.51,,,-6.79,,-13.11,,-0.98,
sep-93,5.99,,6.34,,-1115.59,406.75,-1522.33,-5.18,,8.02,,,,,15.04,,,-2.36,,9.13,,1.59,
oct-93,8.19,,0.76,,-795.14,461.52,-1256.66,3.83,,8.89,,,,,5.95,,,-0.14,,0.57,,2.19,
nov-93,-6.47,,-5.26,,-811.17,440.11,-1251.28,-3.2,,-6.97,,,,,-2.51,,,-0.95,,-5.72,,-6.28,
dic-93,7.11,,8.22,,-927.43,412.38,-1339.81,-10.18,,9.86,,,,,-1.23,,,1.15,,9.53,,7.83,
ene-94,-4.4,17.37,6.06,19.78,-1485.0,383.92,-1868.93,1.65,-14.09,-5.18,23.66,-12.81,61.05,26.24,6.01,46.53,20.37,10.63,19.55,5.85,21.45,3.83,13.13
feb-94,3.53,18.53,5.49,19.95,-1656.39,379.38,-2035.78,-1.06,-16.67,4.17,25.53,22.73,-8.97,26.06,-7.36,16.43,29.32,-0.3,15.12,6.82,22.46,3.88,12.82
mar-94,0.52,18.39,-3.08,17.14,-1434.88,350.24,-1785.12,-0.61,-23.22,0.66,27.39,16.32,51.26,28.01,14.32,38.29,24.67,3.44,16.81,-5.4,16.56,2.85,19.84
abr-94,-0.14,13.22,3.83,17.53,-1679.17,404.65,-2083.82,10.03,-9.46,-1.47,17.51,-0.96,-10.21,19.06,-4.39,23.52,17.61,5.08,20.08,4.1,16.31,1.82,21.08
may-94,3.13,18.01,1.14,19.94,-1603.81,440.77,-2044.58,5.3,-0.87,2.81,21.46,-1.7,40.31,22.91,7.7,34.35,19.23,9.68,34.69,1.19,19.59,-5.25,11.21
jun-94,3.82,15.25,2.98,21.23,-1610.78,438.9,-2049.68,3.23,2.58,3.9,17.4,5.45,42.12,17.95,0.1,13.76,19.46,-5.62,21.18,3.93,21.89,5.93,18.42
jul-94,-0.48,15.62,1.03,16.61,-1704.77,518.91,-2223.68,6.05,8.63,-1.45,16.82,-2.07,-2.42,18.16,-3.8,22.15,16.89,-1.08,11.79,0.09,15.41,6.81,25.8
ago-94,-0.54,20.95,-1.25,28.53,-1647.06,450.26,-2097.32,-4.2,3.96,0.05,24.05,-9.79,40.42,26.29,2.74,34.25,23.77,0.36,20.36,-1.97,30.21,0.63,27.84
sep-94,-0.65,13.38,-1.48,19.09,-1580.77,392.98,-1973.75,-9.07,-0.3,0.64,15.57,-3.46,0.03,16.86,-3.9,12.14,18.47,-2.27,20.47,-0.63,18.57,-4.38,20.33
oct-94,6.76,11.88,5.73,24.96,-1619.84,401.77,-2021.61,5.0,0.82,7.0,13.56,5.39,20.29,14.16,-1.35,4.42,17.43,4.36,25.89,5.58,24.48,7.33,26.38
