Periodo,Volumen_producción,Personal_ocupado,Horas_trabajadas,Remuneraciones_medias_reales
feb-07,1.03,-0.84,-0.22,0.4
mar-07,0.67,-0.52,-0.71,-0.36
abr-07,-1.03,-0.25,-0.4,1.26
may-07,1.55,-0.16,0.04,0.33
jun-07,-0.27,0.24,-0.16,-1.13
jul-07,-0.58,-0.04,-0.14,0.56
ago-07,0.56,0.39,0.98,0.65
sep-07,-1.29,-0.4,0.7,-1.24
oct-07,0.09,0.25,-0.48,1.49
nov-07,0.22,-0.28,0.0,-1.81
dic-07,-0.05,-0.01,0.23,1.07
ene-08,0.8,1.68,-0.17,-0.29
feb-08,-0.68,0.23,0.43,-0.25
mar-08,-0.31,-0.88,0.06,-0.67
abr-08,1.06,-0.39,-0.01,3.9
may-08,-0.67,-0.05,-1.32,-2.98
jun-08,-0.19,-0.4,0.3,1.26
jul-08,-3.79,-0.17,-0.63,-1.87
ago-08,1.99,-0.8,-0.57,-0.17
sep-08,-0.74,-0.92,-0.73,1.66
oct-08,-1.67,-1.06,-0.61,-0.19
nov-08,-1.97,-1.3,-0.49,-0.3
dic-08,-1.81,-1.18,-4.57,-0.75
ene-09,-5.48,-1.5,-2.28,-1.24
feb-09,1.76,-1.51,0.84,1.25
mar-09,-2.53,-1.45,-1.43,0.07
abr-09,0.68,-0.42,-0.85,0.03
may-09,-1.14,-0.73,-2.13,-0.36
jun-09,-1.02,0.61,1.3,-1.2
jul-09,3.67,-1.06,1.09,1.51
ago-09,0.83,0.99,0.09,-1.26
sep-09,3.03,0.72,1.47,0.85
oct-09,2.58,0.45,0.94,-1.16
nov-09,2.44,0.61,1.99,0.99
dic-09,-0.32,0.5,-0.71,0.32
ene-10,-2.1,-0.22,-0.81,-0.24
feb-10,0.07,0.44,1.23,-0.68
mar-10,0.35,0.16,0.54,1.64
abr-10,1.27,0.88,0.97,-2.01
may-10,0.74,1.11,0.52,-1.0
jun-10,-0.22,0.58,0.06,1.8
jul-10,-0.2,0.79,1.0,-0.88
ago-10,1.57,0.47,0.4,0.7
sep-10,-1.69,0.13,-0.09,-1.04
oct-10,0.43,-0.14,0.58,-0.03
nov-10,0.38,0.44,0.71,0.09
dic-10,-0.51,0.17,0.08,0.01
ene-11,1.46,0.17,0.68,1.21
feb-11,0.43,0.34,-0.56,-0.41
mar-11,1.71,0.42,0.58,0.92
abr-11,-2.26,0.28,-0.33,-1.49
may-11,1.16,0.01,0.73,1.22
jun-11,-0.76,0.27,-0.09,-0.02
jul-11,1.32,0.18,0.1,-0.66
ago-11,-0.75,0.01,0.45,2.16
sep-11,1.54,0.52,0.16,-0.65
oct-11,-0.05,-0.1,0.08,0.59
nov-11,1.15,-0.08,0.18,-0.06
dic-11,1.13,0.23,0.58,-0.39
ene-12,1.31,0.56,1.49,0.48
feb-12,0.15,0.3,-1.07,-0.26
mar-12,0.18,0.3,0.56,-0.12
abr-12,0.07,0.26,0.12,0.53
may-12,-0.96,0.37,0.25,0.58
jun-12,2.16,0.39,0.82,-0.83
jul-12,0.51,0.34,-0.07,0.13
ago-12,-3.42,0.12,0.28,-0.87
sep-12,2.96,0.16,0.32,0.59
oct-12,-2.02,0.12,-0.17,-1.67
nov-12,1.69,-0.15,0.18,1.43
dic-12,1.09,1.03,0.13,0.56
ene-13,-0.92,-0.23,0.03,2.28
feb-13,0.91,0.17,0.65,-1.69
mar-13,-1.03,0.07,0.01,-0.5
abr-13,0.52,0.51,0.31,1.71
may-13,1.29,0.46,0.32,-3.41
jun-13,-0.42,-0.03,-0.48,1.2
jul-13,-0.5,-0.01,0.01,1.45
ago-13,0.18,0.08,0.33,-0.68
sep-13,-0.93,-0.17,0.37,-0.45
oct-13,0.32,0.18,0.07,0.9
nov-13,0.2,0.39,0.15,-0.43
dic-13,0.63,0.35,0.09,0.69
ene-14,1.3,-0.05,0.14,0.05
feb-14,-1.95,0.55,0.76,-0.6
mar-14,3.29,0.18,-0.1,-0.65
abr-14,0.37,0.3,0.47,0.74
may-14,0.52,0.12,-0.28,-0.5
jun-14,-0.51,0.21,0.8,1.03
jul-14,0.9,0.4,0.36,0.12
ago-14,-3.0,0.35,-0.32,-0.78
sep-14,2.44,0.42,0.41,0.25
oct-14,0.64,0.57,0.63,-0.16
nov-14,0.1,0.33,0.82,0.34
dic-14,-1.95,0.03,-0.32,-0.49
ene-15,-0.45,0.5,-0.13,0.01
feb-15,1.38,0.21,0.85,0.96
mar-15,-0.49,0.4,-0.15,0.29
