Periodo,ICE_Nivel,Mensual,Anual,ICE_manufacturas_Nivel,ICE_manufacturas_Mensual,ICE_manufacturas_Anual,ICE_construccion_Nivel,ICE_construccion_Mensual,ICE_construccion_Anual,ICE_comercio_Nivel,ICE_comercio_Mensual,ICE_comercio_Anual,ICE_servicios_Nivel,ICE_servicios_Mensual,ICE_servicios_Anual
ene-04,,,,51.77,,,,,,,,,,,
feb-04,,,,52.35,0.59,,,,,,,,,,
mar-04,,,,50.27,-2.09,,,,,,,,,,
abr-04,,,,52.69,2.42,,,,,,,,,,
may-04,,,,53.38,0.68,,,,,,,,,,
jun-04,,,,53.67,0.29,,,,,,,,,,
jul-04,,,,53.52,-0.15,,,,,,,,,,
ago-04,,,,53.72,0.2,,,,,,,,,,
sep-04,,,,53.89,0.17,,,,,,,,,,
oct-04,,,,53.5,-0.4,,,,,,,,,,
nov-04,,,,53.97,0.48,,,,,,,,,,
dic-04,,,,53.75,-0.22,,,,,,,,,,
ene-05,,,,54.02,0.27,2.26,,,,,,,,,
feb-05,,,,54.61,0.58,2.25,,,,,,,,,
mar-05,,,,54.25,-0.36,3.98,,,,,,,,,
abr-05,,,,54.12,-0.13,1.42,,,,,,,,,
may-05,,,,54.14,0.03,0.77,,,,,,,,,
jun-05,,,,53.83,-0.31,0.16,,,,,,,,,
jul-05,,,,53.59,-0.25,0.07,,,,,,,,,
ago-05,,,,53.37,-0.22,-0.35,,,,,,,,,
sep-05,,,,53.78,0.41,-0.12,,,,,,,,,
oct-05,,,,54.87,1.09,1.37,,,,,,,,,
nov-05,,,,54.72,-0.15,0.75,,,,,,,,,
dic-05,,,,55.33,0.61,1.58,,,,,,,,,
ene-06,,,,55.81,0.48,1.79,,,,,,,,,
feb-06,,,,55.43,-0.39,0.82,,,,,,,,,
mar-06,,,,56.11,0.68,1.86,,,,,,,,,
abr-06,,,,56.12,0.01,2.0,,,,,,,,,
may-06,,,,55.71,-0.4,1.57,,,,,,,,,
jun-06,,,,56.02,0.31,2.19,,,,,,,,,
jul-06,,,,57.2,1.18,3.62,,,,,,,,,
ago-06,,,,56.9,-0.31,3.53,,,,,,,,,
sep-06,,,,57.57,0.68,3.79,,,,,,,,,
oct-06,,,,56.72,-0.85,1.86,,,,,,,,,
nov-06,,,,56.26,-0.46,1.54,,,,,,,,,
dic-06,,,,58.47,2.21,3.14,,,,,,,,,
ene-07,,,,58.68,0.22,2.87,,,,,,,,,
feb-07,,,,59.61,0.93,4.18,,,,,,,,,
mar-07,,,,59.16,-0.45,3.05,,,,,,,,,
abr-07,,,,59.01,-0.15,2.89,,,,,,,,,
may-07,,,,57.97,-1.05,2.25,,,,,,,,,
jun-07,,,,57.72,-0.25,1.7,,,,,,,,,
jul-07,,,,57.41,-0.31,0.21,,,,,,,,,
ago-07,,,,57.79,0.38,0.89,,,,,,,,,
sep-07,,,,56.77,-1.02,-0.8,,,,,,,,,
oct-07,,,,56.92,0.15,0.19,,,,,,,,,
nov-07,,,,57.27,0.35,1.01,,,,,,,,,
dic-07,,,,56.76,-0.51,-1.71,,,,,,,,,
ene-08,,,,56.78,0.03,-1.9,,,,,,,,,
feb-08,,,,53.45,-3.34,-6.16,,,,,,,,,
mar-08,,,,52.91,-0.54,-6.25,,,,,,,,,
abr-08,,,,50.06,-2.85,-8.95,,,,,,,,,
may-08,,,,51.02,0.96,-6.94,,,,,,,,,
jun-08,,,,50.07,-0.95,-7.65,,,,,,,,,
jul-08,,,,48.84,-1.24,-8.57,,,,,,,,,
ago-08,,,,49.81,0.97,-7.98,,,,,,,,,
sep-08,,,,47.11,-2.7,-9.66,,,,,,,,,
oct-08,,,,40.23,-6.88,-16.69,,,,,,,,,
nov-08,,,,38.4,-1.83,-18.87,,,,,,,,,
dic-08,,,,35.92,-2.48,-20.84,,,,,,,,,
ene-09,,,,34.83,-1.09,-21.96,,,,,,,,,
feb-09,,,,33.87,-0.96,-19.58,,,,,,,,,
mar-09,,,,35.69,1.83,-17.22,,,,,,,,,
abr-09,,,,38.52,2.83,-11.54,,,,,,,,,
may-09,,,,37.6,-0.92,-13.42,,,,,,,,,
jun-09,,,,38.84,1.24,-11.24,,,,,,,,,
jul-09,,,,40.34,1.5,-8.5,,,,,,,,,
ago-09,,,,41.57,1.24,-8.23,,,,,,,,,
sep-09,,,,43.59,2.01,-3.52,,,,,,,,,
oct-09,,,,44.88,1.29,4.65,,,,,,,,,
nov-09,,,,44.96,0.09,6.57,,,,,,,,,
dic-09,,,,47.06,2.1,11.14,,,,,,,,,
ene-10,,,,47.13,0.07,12.31,,,,,,,,,
feb-10,,,,49.57,2.44,15.7,,,,,,,,,
mar-10,,,,53.04,3.47,17.34,,,,,,,,,
abr-10,,,,55.46,2.43,16.94,,,,,,,,,
may-10,,,,56.33,0.87,18.73,,,,,,,,,
jun-10,,,,57.1,0.77,18.26,,,,,,,,,
jul-10,,,,57.46,0.36,17.12,,,,,,,,,
ago-10,,,,57.79,0.33,16.21,,,,,,,,,
sep-10,,,,57.96,0.17,14.37,,,,,,,,,
oct-10,,,,58.17,0.21,13.29,,,,,,,,,
nov-10,,,,58.89,0.72,13.93,,,,,,,,,
dic-10,,,,59.46,0.57,12.4,,,,,,,,,
ene-11,,,,59.08,-0.39,11.94,,,,,,,,,
feb-11,,,,59.13,0.05,9.56,,,,,,,,,
mar-11,,,,58.42,-0.71,5.39,,,,,,,,,
abr-11,,,,57.74,-0.68,2.28,,,,,,,,,
may-11,,,,57.76,0.02,1.43,,,,,,,,,
jun-11,,,,57.83,0.07,0.73,56.45,,,59.64,,,,,
jul-11,,,,57.69,-0.14,0.23,57.21,0.75,,61.19,1.55,,,,
ago-11,,,,55.77,-1.93,-2.02,55.54,-1.67,,58.1,-3.09,,,,
sep-11,,,,55.57,-0.2,-2.39,54.12,-1.42,,57.72,-0.38,,,,
oct-11,,,,55.02,-0.55,-3.15,54.12,0.0,,55.29,-2.43,,,,
nov-11,,,,55.71,0.7,-3.18,53.43,-0.69,,57.06,1.77,,,,
dic-11,,,,55.15,-0.56,-4.31,54.7,1.26,,57.33,0.28,,,,
ene-12,,,,55.84,0.69,-3.24,55.8,1.11,,58.54,1.21,,,,
feb-12,,,,56.35,0.52,-2.78,55.4,-0.41,,58.42,-0.12,,,,
mar-12,,,,55.76,-0.59,-2.66,55.8,0.4,,59.2,0.77,,,,
abr-12,,,,55.15,-0.61,-2.59,54.58,-1.22,,58.54,-0.66,,,,
may-12,,,,54.18,-0.97,-3.58,53.33,-1.25,,57.67,-0.87,,,,
jun-12,,,,54.67,0.5,-3.16,53.61,0.28,-2.85,57.23,-0.44,-2.42,,,
jul-12,,,,54.59,-0.08,-3.11,54.23,0.62,-2.98,59.11,1.89,-2.08,,,
ago-12,,,,55.72,1.13,-0.05,55.6,1.36,0.06,59.75,0.64,1.65,,,
sep-12,,,,55.92,0.2,0.36,55.21,-0.39,1.09,59.8,0.04,2.08,,,
oct-12,,,,56.55,0.63,1.54,55.18,-0.03,1.06,59.43,-0.37,4.14,,,
nov-12,,,,57.14,0.59,1.43,55.48,0.3,2.05,59.92,0.49,2.86,,,
dic-12,,,,57.76,0.62,2.61,54.98,-0.5,0.28,59.67,-0.25,2.34,,,
ene-13,,,,58.17,0.41,2.33,55.52,0.55,-0.28,57.52,-2.16,-1.03,,,
feb-13,,,,58.13,-0.03,1.78,55.14,-0.39,-0.26,62.49,4.98,4.07,,,
mar-13,,,,57.87,-0.26,2.11,56.66,1.53,0.87,62.68,0.19,3.48,,,
abr-13,,,,57.78,-0.1,2.63,56.74,0.07,2.15,63.03,0.35,4.49,,,
may-13,,,,57.9,0.12,3.72,55.41,-1.33,2.08,62.66,-0.36,5.0,,,
jun-13,,,,56.52,-1.38,1.85,54.09,-1.31,0.48,61.92,-0.74,4.7,,,
jul-13,,,,56.21,-0.3,1.62,55.4,1.31,1.17,61.01,-0.91,1.9,,,
ago-13,,,,56.28,0.07,0.57,54.62,-0.78,-0.97,61.2,0.19,1.44,,,
sep-13,,,,53.77,-2.51,-2.15,53.13,-1.5,-2.08,58.47,-2.73,-1.33,,,
oct-13,,,,52.49,-1.28,-4.06,53.16,0.03,-2.02,55.27,-3.2,-4.16,,,
nov-13,,,,51.63,-0.86,-5.52,51.51,-1.65,-3.96,55.5,0.23,-4.42,,,
dic-13,,,,52.92,1.29,-4.84,50.76,-0.75,-4.21,55.13,-0.37,-4.54,,,
ene-14,,,,52.29,-0.63,-5.87,52.0,1.24,-3.52,54.92,-0.21,-2.59,,,
feb-14,,,,52.86,0.56,-5.28,53.49,1.49,-1.65,57.9,2.98,-4.59,,,
mar-14,,,,52.98,0.12,-4.9,54.36,0.87,-2.3,57.28,-0.62,-5.39,,,
abr-14,,,,53.14,0.16,-4.64,54.55,0.2,-2.18,57.79,0.5,-5.24,,,
may-14,,,,52.52,-0.62,-5.38,53.4,-1.15,-2.0,56.96,-0.83,-5.7,,,
jun-14,,,,52.4,-0.11,-4.11,53.5,0.09,-0.6,57.11,0.14,-4.82,,,
jul-14,,,,52.92,0.52,-3.29,53.64,0.14,-1.76,57.19,0.09,-3.82,,,
ago-14,,,,53.81,0.89,-2.47,55.05,1.42,0.43,57.34,0.15,-3.85,,,
sep-14,,,,53.82,0.01,0.05,55.83,0.78,2.71,57.84,0.5,-0.63,,,
oct-14,,,,54.27,0.45,1.78,56.37,0.54,3.21,58.2,0.36,2.93,,,
nov-14,,,,53.17,-1.11,1.54,53.91,-2.46,2.4,55.09,-3.12,-0.41,,,
dic-14,,,,51.36,-1.81,-1.56,52.1,-1.81,1.33,53.7,-1.38,-1.43,,,
ene-15,,,,51.44,0.08,-0.85,51.9,-0.2,-0.1,53.6,-0.1,-1.32,,,
feb-15,,,,50.57,-0.88,-2.29,50.65,-1.25,-2.84,52.75,-0.85,-5.16,,,
mar-15,,,,49.84,-0.72,-3.13,50.29,-0.36,-4.07,51.85,-0.9,-5.43,,,
abr-15,,,,49.57,-0.27,-3.57,50.04,-0.25,-4.51,51.06,-0.79,-6.73,,,
may-15,,,,50.02,0.45,-2.5,50.59,0.55,-2.81,52.85,1.79,-4.11,,,
jun-15,,,,50.02,0.0,-2.38,50.4,-0.2,-3.1,53.06,0.21,-4.04,,,
jul-15,,,,49.76,-0.26,-3.16,49.49,-0.91,-4.15,51.12,-1.95,-6.08,,,
ago-15,,,,49.18,-0.58,-4.63,47.86,-1.63,-7.19,50.66,-0.46,-6.69,,,
sep-15,,,,48.8,-0.37,-5.02,47.65,-0.21,-8.18,49.61,-1.04,-8.23,,,
oct-15,,,,50.64,1.83,-3.64,47.87,0.22,-8.51,50.68,1.07,-7.52,,,
nov-15,,,,51.22,0.59,-1.95,48.8,0.93,-5.12,51.95,1.27,-3.13,,,
dic-15,,,,51.08,-0.15,-0.28,49.83,1.04,-2.27,52.12,0.16,-1.58,,,
ene-16,,,,49.67,-1.4,-1.77,49.03,-0.8,-2.86,50.57,-1.54,-3.03,,,
feb-16,,,,48.33,-1.34,-2.24,47.93,-1.11,-2.72,50.43,-0.14,-2.31,,,
mar-16,,,,48.31,-0.02,-1.53,48.06,0.14,-2.22,50.31,-0.12,-1.54,,,
abr-16,,,,49.95,1.64,0.38,48.68,0.61,-1.36,51.7,1.39,0.64,,,
may-16,,,,50.08,0.13,0.06,48.61,-0.06,-1.98,51.4,-0.3,-1.45,,,
jun-16,,,,50.2,0.12,0.18,47.57,-1.04,-2.83,50.68,-0.72,-2.39,,,
jul-16,,,,49.46,-0.74,-0.3,47.15,-0.41,-2.33,50.28,-0.4,-0.84,,,
ago-16,,,,49.85,0.39,0.67,46.62,-0.53,-1.24,49.65,-0.63,-1.01,,,
sep-16,,,,49.5,-0.35,0.7,45.86,-0.76,-1.79,49.0,-0.65,-0.61,,,
oct-16,,,,49.01,-0.49,-1.63,45.56,-0.3,-2.3,48.46,-0.54,-2.23,,,
nov-16,,,,48.34,-0.67,-2.88,44.83,-0.73,-3.96,47.91,-0.54,-4.04,,,
dic-16,,,,48.37,0.03,-2.71,44.35,-0.49,-5.48,47.83,-0.09,-4.29,,,
ene-17,42.34,,,44.07,-4.3,-5.6,40.93,-3.42,-8.1,44.74,-3.09,-5.83,40.59,,
feb-17,44.19,1.86,,43.55,-0.52,-4.78,40.37,-0.56,-7.55,46.77,2.04,-3.66,43.94,3.35,
mar-17,47.13,2.93,,46.9,3.35,-1.41,43.31,2.94,-4.75,50.27,3.5,-0.04,46.4,2.46,
abr-17,49.43,2.31,,48.0,1.11,-1.95,46.37,3.06,-2.3,50.99,0.72,-0.71,49.91,3.52,
may-17,49.5,0.07,,49.11,1.1,-0.97,46.78,0.41,-1.83,53.77,2.78,2.37,48.06,-1.85,
jun-17,51.26,1.76,,49.8,0.69,-0.4,46.61,-0.17,-0.96,55.1,1.33,4.42,50.92,2.86,
jul-17,52.14,0.88,,50.66,0.87,1.2,48.24,1.63,1.08,55.94,0.84,5.66,51.67,0.76,
ago-17,52.38,0.23,,50.77,0.11,0.92,49.1,0.87,2.48,56.62,0.69,6.98,51.61,-0.06,
sep-17,51.73,-0.64,,50.61,-0.16,1.11,48.6,-0.51,2.74,55.92,-0.7,6.93,50.75,-0.86,
oct-17,50.9,-0.83,,50.28,-0.32,1.27,48.74,0.15,3.18,54.87,-1.06,6.41,49.6,-1.15,
nov-17,50.16,-0.74,,50.77,0.49,2.43,46.49,-2.25,1.66,53.27,-1.59,5.36,49.04,-0.56,
dic-17,49.74,-0.42,,50.69,-0.08,2.32,46.64,0.14,2.29,52.4,-0.87,4.57,48.57,-0.47,
ene-18,48.84,-0.9,6.51,50.37,-0.31,6.3,44.56,-2.08,3.63,53.41,1.01,8.68,46.67,-1.91,6.07
feb-18,48.9,0.06,4.71,50.94,0.57,7.39,45.31,0.75,4.94,52.68,-0.73,5.91,46.76,0.09,2.82
mar-18,49.77,0.87,2.64,51.65,0.71,4.75,46.03,0.72,2.71,54.57,1.89,4.3,47.2,0.45,0.81
abr-18,49.8,0.03,0.37,51.83,0.18,3.82,46.65,0.62,0.28,53.23,-1.34,2.24,47.75,0.55,-2.16
may-18,49.0,-0.8,-0.5,51.05,-0.77,1.94,46.86,0.21,0.08,52.22,-1.01,-1.55,46.85,-0.91,-1.21
jun-18,48.21,-0.79,-3.05,49.96,-1.09,0.16,45.75,-1.11,-0.86,52.57,0.35,-2.53,45.68,-1.17,-5.24
jul-18,52.46,4.25,0.32,52.53,2.57,1.86,50.33,4.58,2.09,56.46,3.89,0.52,50.82,5.14,-0.86
ago-18,53.3,0.85,0.93,53.66,1.13,2.89,51.51,1.18,2.4,56.87,0.41,0.24,51.69,0.87,0.08
sep-18,52.01,-1.3,0.27,52.48,-1.18,1.87,50.06,-1.45,1.46,55.91,-0.96,-0.01,50.19,-1.5,-0.56
oct-18,51.56,-0.44,0.66,52.21,-0.27,1.93,49.55,-0.51,0.81,54.93,-0.98,0.06,49.95,-0.24,0.35
nov-18,50.19,-1.37,0.03,51.36,-0.85,0.59,47.58,-1.97,1.09,53.67,-1.25,0.4,48.41,-1.54,-0.63
dic-18,50.74,0.55,1.0,51.36,0.0,0.68,48.36,0.77,1.72,54.72,1.04,2.32,48.91,0.51,0.34
ene-19,52.09,1.35,3.25,53.04,1.67,2.66,47.44,-0.92,2.88,54.19,-0.52,0.78,51.53,2.62,4.86
feb-19,52.55,0.45,3.65,53.25,0.21,2.31,47.93,0.49,2.62,54.98,0.79,2.3,51.92,0.39,5.16
mar-19,52.69,0.14,2.92,53.31,0.06,1.66,48.04,0.12,2.02,55.74,0.76,1.17,51.78,-0.14,4.57
abr-19,52.72,0.03,2.92,53.09,-0.22,1.27,48.51,0.46,1.86,56.08,0.33,2.85,51.68,-0.1,3.93
may-19,51.39,-1.33,2.39,53.33,0.23,2.27,48.4,-0.11,1.54,53.56,-2.52,1.34,50.0,-1.68,3.15
jun-19,50.48,-0.91,2.27,51.78,-1.55,1.82,47.85,-0.54,2.11,53.49,-0.07,0.92,48.88,-1.12,3.21
jul-19,49.4,-1.08,-3.05,50.32,-1.46,-2.21,47.0,-0.85,-3.32,51.92,-1.58,-4.54,48.19,-0.69,-2.63
ago-19,49.07,-0.33,-4.23,50.89,0.57,-2.77,46.91,-0.1,-4.6,51.03,-0.89,-5.84,47.68,-0.51,-4.01
sep-19,49.74,0.66,-2.27,50.74,-0.15,-1.74,47.83,0.92,-2.23,52.5,1.47,-3.41,48.25,0.57,-1.94
oct-19,48.48,-1.25,-3.08,50.16,-0.58,-2.05,47.17,-0.66,-2.38,51.41,-1.09,-3.52,46.48,-1.77,-3.47
nov-19,47.81,-0.67,-2.38,49.87,-0.29,-1.49,45.7,-1.46,-1.88,49.69,-1.72,-3.99,46.33,-0.15,-2.08
dic-19,48.23,0.42,-2.52,49.39,-0.48,-1.97,47.31,1.61,-1.05,51.16,1.47,-3.56,46.38,0.05,-2.54
ene-20,47.21,-1.01,-4.88,48.42,-0.97,-4.62,45.92,-1.4,-1.52,51.53,0.38,-2.66,44.72,-1.66,-6.81
feb-20,48.24,1.02,-4.31,47.49,-0.93,-5.76,44.83,-1.09,-3.1,51.26,-0.27,-3.72,47.72,3.0,-4.2
