Periodo,Total,Permanentes,Eventuales,Hombres,Mujeres
ene-19,20174011,17266442,2907569,12593893,7580118
feb-19,20299993,17354643,2945350,12671001,7628992
mar-19,20348508,17399580,2948928,12679458,7669050
abr-19,20378927,17433079,2945848,12689410,7689517
may-19,20382910,17473743,2909167,12668383,7714527
jun-19,20368666,17507714,2860952,12647763,7720903
jul-19,20385379,17503677,2881702,12662859,7722520
ago-19,20422010,17551307,2870703,12666467,7755543
sep-19,20567426,17641816,2925610,12741831,7825595
oct-19,20727424,17749105,2978319,12829220,7898204
nov-19,20803652,17805501,2998151,12854420,7949232
dic-19,20421442,17556181,2865261,12596927,7824515
ene-20,20490397,17583451,2906946,12667683,7822714
feb-20,20613536,17653202,2960334,12741645,7871891
mar-20,20482943,17590001,2892942,12640348,7842595
abr-20,19927696,17224187,2703509,12258945,7668751
may-20,19583170,16969433,2613737,12023743,7559427
jun-20,19499859,16883879,2615980,12003685,7496174
jul-20,19495952,16861554,2634398,12012640,7483312
ago-20,19588342,16909339,2679003,12071581,7516761
sep-20,19702192,16973132,2729060,12138230,7563962
oct-20,19902833,17084964,2817869,12253221,7649612
nov-20,20051552,17186803,2864749,12340168,7711384
dic-20,19773732,16995708,2778024,12160045,7613687
ene-21,19821651,16992336,2829315,12208860,7612791
feb-21,19936938,17075277,2861661,12280755,7656183
mar-21,20025709,17133121,2892588,12321018,7704691
abr-21,20070483,17184311,2886172,12336373,7734110
may-21,20109444,17236527,2872917,12339638,7769806
jun-21,20175380,17328797,2846583,12377495,7797885
jul-21,20291923,17674231,2617692,12453459,7838464
ago-21,20420823,17800227,2620596,12515055,7905768
sep-21,20594919,17927247,2667672,12608162,7986757
oct-21,20767587,18039383,2728204,12695729,8071858
nov-21,20933050,18160738,2772312,12788027,8145023
dic-21,20620148,17944419,2675729,12585651,8034497
ene-22,20762419,17994275,2768144,12694048,8068371
feb-22,20941286,18125955,2815331,12799211,8142075
mar-22,21005852,18188428,2817424,12821251,8184601
abr-22,21011342,18208587,2802755,12807333,8204009
may-22,21008487,18237387,2771100,12793382,8215105
jun-22,21068708,18302795,2765913,12821041,8247667
jul-22,21079434,18306552,2772882,12825477,8253957
ago-22,21236866,18414515,2822351,12909673,8327193
sep-22,21409358,18530571,2878787,12996825,8412533
oct-22,21617326,18672759,2944567,13112808,8504518
nov-22,21718601,18752967,2965634,13159818,8558783
dic-22,21372896,18516074,2856822,12938812,8434084
ene-23,21484595,18545990,2938605,13031880,8452715
feb-23,21660469,18675911,2984558,13132113,8528356
mar-23,21796280,18775321,3020959,13198509,8597771
abr-23,21820291,18797350,3022941,13203996,8616295
may-23,21862909,18862785,3000124,13216983,8645926
jun-23,21887307,18906328,2980979,13223636,8663671
jul-23,21885139,18895236,2989903,13229894,8655245
ago-23,21996875,18976230,3020645,13293626,8703249
sep-23,22129433,19061752,3067681,13354866,8774567
oct-23,22302690,19202241,3100449,13448439,8854251
nov-23,22409268,19277272,3131996,13500466,8908802
dic-23,22024386,19010270,3014116,13253456,8770930
ene-24,22133407,19055348,3078059,13346379,8787028
feb-24,22289810,19170897,3118913,13438921,8850889
mar-24,22289345,19180693,3108652,13412054,8877291
abr-24,22374202,19269545,3104657,13452159,8922043
may-24,22348999,19290869,3058130,13414242,8934757
jun-24,22319444,19295979,3023465,13391318,8928126
jul-24,22331788,19332110,2999678,13406298,8925490
ago-24,22389835,19383168,3006667,13427141,8962694
sep-24,22480803,19469726,3011077,13454550,9026253
oct-24,22618942,19585244,3033698,13523372,9095570
nov-24,22643638,19613927,3029711,13512674,9130964
dic-24,22238379,19356929,2881450,13243890,8994449
ene-25,22311546,19366392,2945154,13320619,8990884
feb-25,22430931,19461202,2969729,13393323,9037569
mar-25,22465110,19510094,2955016,13400156,9064911
abr-25,22417668,19511459,2906209,13360644,9056978
may-25,22372044,19510919,2861125,13313111,9058880
jun-25,22325666,19529248,2796418,13282107,9043512
jul-25,22433167,19512519,2920648,13397990,9035128
ago-25,22454917,19526782,2928135,13400040,9054828
sep-25,22571682,19639820,2931862,13458296,9113348
oct-25,22789173,19777386,3011787,13585684,9203452
nov-25,22837768,19800325,3037443,13608176,9229547
dic-25,22517076,19565620,2951456,13409883,9107130
ene-26,22508972,19568657,2940315,13417084,9091818
feb-26,22691750,19696459,2995291,13538431,9153247
mar-26,22724680,19738191,2986489,13553536,9171065
abr-26,22748603,19763238,2985365,13564786,9183739
