Concepto,T4-24_Abs,T4-25_Abs,Dif_T4-25-T4-24_Abs,T4-24,T4-25,Dif_T4-25-T4-24_pp
Total,130294079,131001723,707644,100.0,100.0,
  PEA,61055321,61348202,292881,46.9,46.8,-0.1
    Ocupada,59487546,59785854,298308,97.4,97.5,0.1
    Desocupada,1567775,1562348,-5427,2.6,2.5,-0.1
  PNEA,40881192,42134747,1253555,31.4,32.2,0.8
    Disponible,5482356,5314316,-168040,13.4,12.6,-0.8
    No disponible,35398836,36820431,1421595,86.6,87.4,0.8
Hombres,62072760,62656835,584075,47.6,47.8,
  PEA,35867548,36198885,331337,57.8,57.8,0.0
    Ocupada,34924786,35293400,368614,97.4,97.5,0.1
    Desocupada,942762,905485,-37277,2.6,2.5,-0.1
  PNEA,11782364,12336950,554586,19.0,19.7,0.7
    Disponible,1851310,1854273,2963,15.7,15.0,-0.7
    No disponible,9931054,10482677,551623,84.3,85.0,0.7
Mujeres,68221319,68344888,123569,52.4,52.2,
  PEA,25187773,25149317,-38456,36.9,36.8,-0.1
    Ocupada,24562760,24492454,-70306,97.5,97.4,-0.1
    Desocupada,625013,656863,31850,2.5,2.6,0.1
  PNEA,29098828,29797797,698969,42.7,43.6,0.9
    Disponible,3631046,3460043,-171003,12.5,11.6,-0.9
    No disponible,25467782,26337754,869972,87.5,88.4,0.9
