Periodo,Total_Mensual,Total_Anual,Primarias_Mensual,Primarias_Anual,Secundarias_Mensual,Secundarias_Anual,Terciarias_Mensual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayoreo_Anual,Comercio_menudeo_Anual,Transportes_Anual,Servicios_financieros_Anual,Servicios_inmobiliarios_Anual,Servicios_profesionales_Anual,Actividades_gubernamentales_Anual
feb-93,2.1,,2.6,,3.94,,1.34,,,,,,,,,,,,
mar-93,0.3,,-5.74,,0.71,,0.2,,,,,,,,,,,,
abr-93,-0.99,,-1.15,,-1.24,,-0.22,,,,,,,,,,,,
may-93,1.28,,4.93,,0.01,,0.59,,,,,,,,,,,,
jun-93,-0.77,,-5.59,,-0.79,,-0.41,,,,,,,,,,,,
jul-93,1.5,,14.94,,0.94,,1.0,,,,,,,,,,,,
ago-93,-0.4,,-12.28,,0.22,,-0.46,,,,,,,,,,,,
sep-93,-0.42,,3.47,,-0.19,,-0.66,,,,,,,,,,,,
oct-93,-0.18,,-0.3,,0.4,,-0.04,,,,,,,,,,,,
nov-93,-0.26,,-4.42,,0.06,,-1.28,,,,,,,,,,,,
dic-93,1.18,,4.75,,1.54,,1.98,,,,,,,,,,,,
ene-94,0.96,4.35,-7.27,-8.54,0.71,6.39,1.62,3.66,3.74,-11.32,12.43,5.31,1.96,1.37,4.62,-3.01,4.15,-1.34,1.3
feb-94,-0.36,1.83,11.58,-0.54,-0.53,1.81,-0.39,1.89,1.51,-13.28,13.33,-1.39,0.34,-0.11,4.11,-3.52,4.1,2.28,1.25
mar-94,0.89,2.43,-2.33,3.06,1.1,2.21,0.73,2.43,0.74,-12.26,17.24,-1.25,0.86,0.27,3.58,-4.54,4.39,3.97,1.11
abr-94,2.13,5.65,-0.89,3.33,5.04,8.71,0.92,3.6,0.01,-13.1,20.75,8.67,3.26,2.86,6.62,-5.81,4.1,1.07,1.03
may-94,-0.1,4.21,5.22,3.61,-3.81,4.55,0.97,3.99,1.01,-13.94,16.84,2.65,3.9,3.57,6.41,-4.47,3.99,3.89,1.01
jun-94,0.17,5.2,3.66,13.77,-0.05,5.34,0.16,4.59,-0.43,-12.47,18.64,3.95,5.18,4.9,7.85,-3.53,3.79,4.47,1.13
jul-94,-0.82,2.79,-16.62,-17.47,-0.2,4.15,-0.2,3.35,-0.03,-10.63,17.89,1.69,5.14,3.28,6.85,-3.8,3.94,1.01,1.11
ago-94,0.85,4.08,6.64,0.33,1.2,5.18,-0.14,3.68,0.23,-8.98,17.3,3.44,7.49,6.74,7.49,0.22,4.13,4.25,1.14
sep-94,0.69,5.24,0.77,-2.29,0.3,5.7,1.02,5.43,-1.28,-7.09,13.93,5.47,8.15,5.9,7.85,3.08,4.08,6.88,1.24
oct-94,0.36,5.81,9.34,7.16,-0.62,4.63,0.9,6.42,-1.39,-2.56,14.75,3.38,11.75,8.5,8.02,5.53,3.62,6.71,1.34
nov-94,0.36,6.46,-9.58,1.37,-0.32,4.23,0.57,8.42,-2.53,1.86,8.4,5.42,17.08,12.36,7.85,10.39,4.04,21.66,1.5
dic-94,-1.32,3.83,-0.5,-3.71,-0.26,2.37,-0.48,5.8,-2.79,6.98,3.75,2.84,15.7,9.38,4.86,24.65,3.85,-7.61,1.61
ene-95,0.7,3.55,7.45,11.58,1.41,3.08,-0.53,3.57,-1.33,10.82,-12.01,8.98,4.93,3.64,1.89,19.75,3.8,9.75,-0.98
feb-95,-6.49,-2.82,-13.76,-13.76,-8.93,-5.63,-4.06,-0.25,-1.32,16.89,-30.7,2.61,1.53,-0.94,-1.81,17.31,3.63,-3.62,-0.9
mar-95,-0.46,-4.12,8.79,-3.95,-1.58,-8.13,-0.37,-1.34,-1.14,17.94,-33.17,-1.19,1.84,-0.9,-4.19,16.42,3.61,-6.61,-0.55
abr-95,-2.82,-8.76,8.54,5.19,-4.19,-16.2,-2.56,-4.75,-0.83,22.47,-34.29,-15.77,-6.07,-10.72,-8.83,14.6,3.53,4.36,-0.52
may-95,-0.75,-9.36,-15.57,-15.6,-0.6,-13.39,-0.6,-6.23,-1.3,25.92,-39.39,-9.35,-6.25,-9.56,-10.3,13.59,3.46,-9.35,-0.47
jun-95,1.11,-8.52,13.95,-7.22,0.54,-12.89,0.89,-5.54,0.38,27.65,-36.35,-10.18,-5.92,-9.85,-10.65,11.52,3.21,-11.24,-0.49
jul-95,0.74,-7.08,-2.71,8.26,0.78,-12.03,0.78,-4.62,0.38,27.29,-35.89,-8.71,-4.94,-8.67,-9.46,4.61,3.22,-8.98,-0.47
ago-95,0.76,-7.16,14.04,15.77,0.19,-12.91,0.4,-4.1,1.94,28.38,-34.33,-10.84,-4.17,-7.84,-8.63,1.55,3.52,-3.22,-0.29
sep-95,0.87,-6.99,-6.08,7.9,1.61,-11.77,0.78,-4.33,2.91,28.24,-30.39,-10.71,-3.77,-7.29,-9.42,-1.11,2.99,-13.23,-0.35
oct-95,-2.16,-9.33,-8.07,-9.28,-4.18,-14.94,-0.22,-5.39,-23.18,25.35,-30.6,-7.68,-7.47,-9.96,-9.59,-1.87,3.09,-13.95,-0.43
nov-95,3.25,-6.71,1.55,1.89,6.74,-8.91,0.23,-5.71,-0.7,23.6,-23.75,-7.39,-8.76,-10.09,-9.51,-5.18,3.52,-12.22,-0.62
dic-95,2.94,-2.68,13.27,15.98,6.77,-2.49,1.35,-3.98,5.33,19.47,-13.94,-2.5,-5.18,-6.96,-5.5,-20.87,3.36,9.72,-0.89
ene-96,0.4,-2.96,-5.38,2.13,-0.75,-4.56,1.56,-1.96,6.93,16.38,-4.44,-9.01,3.01,-1.45,-3.64,-16.24,3.42,-6.87,-0.47
feb-96,-0.8,2.94,0.45,18.95,-0.63,4.14,-1.19,0.98,9.54,13.63,12.56,-0.06,6.3,2.79,-1.63,-17.46,3.44,0.96,-0.72
mar-96,0.83,4.27,-2.38,6.74,1.72,7.63,0.42,1.78,8.72,11.66,14.18,5.38,5.72,1.89,2.94,-19.77,3.64,2.31,-1.03
abr-96,-0.5,6.76,-4.41,-6.0,-0.84,11.38,0.0,4.45,9.73,7.65,15.28,11.21,12.34,11.75,5.51,-23.36,3.53,-1.17,-1.01
may-96,1.35,9.02,4.73,16.61,1.61,13.86,0.44,5.55,9.7,6.61,29.34,12.36,12.02,10.97,8.08,-29.33,3.44,6.24,-0.98
jun-96,0.82,8.72,2.75,5.15,1.67,15.14,0.25,4.88,8.91,5.44,27.19,14.89,10.56,9.26,7.89,-27.46,3.39,8.69,-1.1
jul-96,0.04,7.96,3.28,11.63,-0.29,13.91,-0.14,3.92,8.78,4.52,33.92,11.48,8.36,9.75,6.97,-20.09,3.51,7.91,-1.07
ago-96,0.04,7.2,-10.29,-12.19,0.06,13.77,0.93,4.46,5.48,3.7,27.31,13.06,7.13,7.79,6.42,-23.62,3.53,6.0,-1.18
sep-96,0.79,7.11,4.85,-1.97,0.26,12.25,0.48,4.15,6.71,1.23,20.8,11.75,7.12,8.05,7.93,-21.22,3.49,7.47,-1.22
oct-96,0.8,10.36,-2.91,3.54,1.87,19.34,0.58,4.98,42.77,0.58,23.92,12.13,8.43,10.32,8.64,-15.98,3.42,8.51,-1.17
nov-96,1.29,8.26,15.84,18.1,1.09,13.02,0.27,5.03,11.59,2.6,14.65,12.9,7.85,8.75,9.65,-16.94,3.4,7.61,-1.16
dic-96,0.28,5.45,-11.95,-8.19,2.67,8.69,0.73,4.39,7.02,-0.03,9.75,9.13,5.55,7.18,8.75,-24.59,3.29,4.67,-1.31
ene-97,-0.2,4.83,4.63,1.52,-2.47,6.8,1.0,3.82,4.93,2.63,6.1,8.85,4.77,1.48,8.17,-20.34,2.7,3.37,2.36
