Entidad,Indice_secundarias,Indice_manufacturas
Aguascalientes,87.16,94.55
Baja California,100.12,101.27
Baja California Sur,55.92,104.41
Campeche,65.03,97.73
Coahuila,71.32,72.13
Colima,99.95,122.56
Chiapas,116.87,103.41
Chihuahua,102.91,106.25
Ciudad de México,105.05,90.81
Durango,89.3,105.84
Guanajuato,100.57,103.24
Guerrero,71.19,90.12
Hidalgo,127.16,116.56
Jalisco,99.47,111.08
México,86.57,85.7
Michoacán,90.58,118.44
Morelos,92.44,82.49
Nayarit,87.9,100.58
Nuevo León,102.32,103.75
Oaxaca,131.91,100.34
Puebla,90.18,97.25
Querétaro,93.48,90.5
Quintana Roo,64.16,116.3
San Luis Potosí,102.64,117.88
Sinaloa,84.32,114.92
Sonora,104.36,122.92
Tabasco,139.19,195.5
Tamaulipas,110.53,113.54
Tlaxcala,87.51,88.61
Veracruz,108.47,122.53
Yucatán,101.69,98.71
Zacatecas,109.03,89.87
