Periodo,INPC_Quincenal,INPC_Anual,Subyacente_Quincenal,Subyacente_Anual,No_subyacente_Quincenal,No_subyacente_Anual
Q01-88,0.0,,,,,
Q02-88,3.51,,,,,
Q03-88,5.05,,,,,
Q04-88,2.78,,,,,
Q05-88,2.9,,,,,
Q06-88,1.54,,,,,
Q07-88,2.07,,,,,
Q08-88,0.45,,,,,
Q09-88,1.16,,,,,
Q10-88,1.09,,,,,
Q11-88,1.11,,,,,
Q12-88,0.75,,,,,
Q13-88,1.07,,,,,
Q14-88,0.43,,,,,
Q15-88,0.66,,,,,
Q16-88,0.08,,,,,
Q17-88,0.53,,,,,
Q18-88,0.01,,,,,
Q19-88,0.47,,,,,
Q20-88,0.57,,,,,
Q21-88,0.83,,,,,
Q22-88,0.44,,,,,
Q23-88,1.51,,,,,
Q24-88,0.69,,,,,
Q01-89,1.65,,,,,
Q02-89,0.88,,,,,
Q03-89,0.76,,,,,
Q04-89,0.3,,,,,
Q05-89,0.66,,,,,
Q06-89,0.55,,,,,
Q07-89,1.02,,,,,
Q08-89,0.38,,,,,
Q09-89,0.83,,,,,
Q10-89,0.69,,,,,
Q11-89,0.7,,,,,
Q12-89,0.33,,,,,
Q13-89,0.64,,,,,
Q14-89,0.38,,,,,
Q15-89,0.61,,,,,
Q16-89,0.29,,,,,
Q17-89,0.52,,,,,
Q18-89,0.58,,,,,
Q19-89,0.95,,,,,
Q20-89,0.46,,,,,
Q21-89,0.83,,,,,
Q22-89,0.68,,,,,
Q23-89,1.77,,,,,
Q24-89,2.46,,,,,
Q01-90,2.95,,,,,
Q02-90,1.21,,,,,
Q03-90,1.18,,,,,
Q04-90,0.95,,,,,
Q05-90,0.97,,,,,
Q06-90,0.64,,,,,
Q07-90,0.78,,,,,
Q08-90,0.85,,,,,
Q09-90,0.85,,,,,
Q10-90,0.92,,,,,
Q11-90,1.35,,,,,
Q12-90,0.76,,,,,
Q13-90,1.02,,,,,
Q14-90,0.82,,,,,
Q15-90,1.04,,,,,
Q16-90,0.5,,,,,
Q17-90,0.87,,,,,
Q18-90,0.6,,,,,
Q19-90,0.86,,,,,
Q20-90,0.54,,,,,
Q21-90,1.19,,,,,
Q22-90,2.36,,,,,
Q23-90,1.35,,,,,
Q24-90,1.22,,,,,
Q01-91,1.54,,,,,
Q02-91,0.78,,,,,
Q03-91,1.01,,,,,
Q04-91,0.68,,,,,
Q05-91,0.82,,,,,
Q06-91,0.52,,,,,
Q07-91,0.61,,,,,
Q08-91,0.36,,,,,
Q09-91,0.5,,,,,
Q10-91,0.59,,,,,
Q11-91,0.64,,,,,
Q12-91,0.24,,,,,
Q13-91,0.57,,,,,
Q14-91,0.39,,,,,
Q15-91,0.38,,,,,
Q16-91,0.24,,,,,
Q17-91,0.66,,,,,
Q18-91,0.42,,,,,
Q19-91,0.59,,,,,
Q20-91,0.72,,,,,
Q21-91,1.45,,,,,
Q22-91,1.31,,,,,
Q23-91,1.2,,,,,
Q24-91,0.98,,,,,
Q01-92,0.97,,,,,
Q02-92,0.71,,,,,
Q03-92,0.61,,,,,
Q04-92,0.43,,,,,
Q05-92,0.58,,,,,
Q06-92,0.44,,,,,
Q07-92,0.51,,,,,
Q08-92,0.32,,,,,
Q09-92,0.36,,,,,
Q10-92,0.28,,,,,
Q11-92,0.39,,,,,
Q12-92,0.29,,,,,
Q13-92,0.35,,,,,
Q14-92,0.27,,,,,
Q15-92,0.33,,,,,
Q16-92,0.29,,,,,
Q17-92,0.57,,,,,
Q18-92,0.31,,,,,
Q19-92,0.4,,,,,
Q20-92,0.32,,,,,
Q21-92,0.43,,,,,
Q22-92,0.47,,,,,
Q23-92,0.89,,,,,
Q24-92,0.59,,,,,
Q01-93,0.75,,,,,
Q02-93,0.41,,,,,
Q03-93,0.47,,,,,
Q04-93,0.28,,,,,
Q05-93,0.31,,,,,
Q06-93,0.27,,,,,
Q07-93,0.3,,,,,
Q08-93,0.28,,,,,
Q09-93,0.29,,,,,
Q10-93,0.29,,,,,
Q11-93,0.28,,,,,
Q12-93,0.26,,,,,
Q13-93,0.24,,,,,
Q14-93,0.21,,,,,
Q15-93,0.31,,,,,
Q16-93,0.25,,,,,
Q17-93,0.51,,,,,
Q18-93,0.22,,,,,
Q19-93,0.22,,,,,
Q20-93,0.16,,,,,
Q21-93,0.26,,,,,
Q22-93,0.2,,,,,
Q23-93,0.39,,,,,
Q24-93,0.54,,,,,
Q01-94,0.39,,,,,
Q02-94,0.23,,,,,
Q03-94,0.28,,,,,
Q04-94,0.23,,,,,
Q05-94,0.29,,,,,
Q06-94,0.22,,,,,
Q07-94,0.28,,,,,
Q08-94,0.21,,,,,
Q09-94,0.27,,,,,
Q10-94,0.22,,,,,
Q11-94,0.27,,,,,
Q12-94,0.23,,,,,
Q13-94,0.24,,,,,
Q14-94,0.17,,,,,
Q15-94,0.27,,,,,
Q16-94,0.23,,,,,
Q17-94,0.49,,,,,
Q18-94,0.22,,,,,
Q19-94,0.3,,,,,
Q20-94,0.22,,,,,
Q21-94,0.31,,,,,
Q22-94,0.23,,,,,
Q23-94,0.44,,,,,
Q24-94,0.64,,,,,
Q01-95,2.33,,,,,
Q02-95,2.16,,,,,
Q03-95,2.17,,,,,
Q04-95,1.89,,2.09,,,
Q05-95,3.11,,2.07,,,
Q06-95,3.5,,2.47,,,
Q07-95,5.0,,4.93,,,
Q08-95,2.17,,2.62,,,
Q09-95,2.18,,2.68,,,
Q10-95,1.74,,2.11,,,
Q11-95,1.65,,1.77,,,
Q12-95,1.26,,1.43,,,
Q13-95,1.01,,1.01,,,
Q14-95,0.78,,0.9,,,
