Trimestre,Primarias_Anual,Secundarias_Anual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayor_Anual,Comercio_menor_Anual,Transportes_Anual,Financieros_Anual,Gubernamentales_Anual,Primarias_Trim,Secundarias_Trim,Terciarias_Trim
T2-22,-0.4,4.53,1.82,4.41,1.81,3.53,5.03,7.12,7.51,12.63,5.33,-0.51,0.7707,0.8498,1.1268
T3-22,-0.22,5.35,4.33,3.19,2.13,-0.39,7.23,8.27,6.53,12.21,4.85,1.99,-2.0645,0.6224,0.0131
T4-22,4.9,4.89,4.55,4.86,-2.02,4.05,5.73,3.75,5.53,8.0,8.64,-0.68,6.374,0.9125,2.2243
T1-23,0.91,3.07,4.01,3.57,-1.58,4.1,3.08,1.68,7.53,5.99,8.44,0.04,-3.8811,0.6551,0.1704
T2-23,-0.05,2.99,3.63,2.84,-5.04,8.09,2.21,2.59,5.13,3.34,9.15,-0.48,-0.1829,0.7634,0.4138
T3-23,-0.29,3.32,3.34,-0.55,-2.42,17.25,0.79,4.82,3.08,1.98,9.07,-0.39,-2.2968,0.9522,-3.2828
T4-23,-4.03,2.47,2.36,-3.91,-0.51,19.06,-0.33,5.98,1.8,1.7,4.28,2.02,2.3801,0.0747,-1.2246
T1-24,-1.1,0.9,2.79,-3.89,-3.97,11.72,-0.83,5.74,2.01,3.8,3.09,0.55,-0.9497,-0.8873,0.1927
T2-24,0.5,-0.62,1.98,-9.1,-1.44,6.83,-1.18,1.6,1.34,4.07,2.79,3.3,1.4362,-0.7482,-5.0333
T3-24,6.1,-0.29,1.99,-6.75,-1.9,1.3,0.47,-1.85,4.02,4.27,1.62,2.57,3.1498,1.281,-0.7793
T4-24,-2.77,-2.44,1.83,-8.62,-2.2,-5.96,-0.05,-2.83,4.98,3.98,1.34,0.91,-6.1787,-2.0835,-3.2119
T1-25,3.59,-1.45,1.06,-11.84,-0.12,-2.7,0.69,-6.0,3.84,0.96,2.0,2.16,5.5248,0.1217,-3.3349
T2-25,2.34,-0.46,1.63,-8.23,-1.38,-1.03,1.16,-5.65,5.63,1.38,1.94,-0.1,0.2148,0.2537,-1.1384
T3-25,2.62,-2.62,1.14,-5.04,-1.48,-4.28,-1.77,-3.79,4.32,0.51,1.99,-0.47,3.428,-0.9209,2.6676
T4-25,7.79,0.34,2.14,-0.4,2.25,4.08,-0.67,-0.98,4.58,0.97,3.85,1.62,-1.4465,0.8946,1.5108
T1-26,-0.08,-1.14,0.88,,,,,,,,,,-1.3625,-1.0522,-0.61
