Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
feb-08,0.15,-0.82,0.08,0.64,,,,,,,,,,
mar-08,0.03,1.75,2.84,-1.12,,,,,,,,,,
abr-08,0.02,-1.33,-1.34,0.16,,,,,,,,,,
may-08,-0.19,3.85,-1.49,-1.79,,,,,,,,,,
jun-08,-0.12,-3.06,0.7,1.32,,,,,,,,,,
jul-08,-0.13,-1.6,-1.47,0.03,,,,,,,,,,
ago-08,-0.31,0.65,-0.25,-1.1,,,,,,,,,,
sep-08,-0.5,-1.31,-0.77,-1.36,,,,,,,,,,
oct-08,-0.97,0.71,0.37,2.16,,,,,,,,,,
nov-08,1.79,-1.86,-1.63,-1.66,,,,,,,,,,
dic-08,3.98,6.76,6.68,2.32,,,,,,,,,,
ene-09,-5.32,-10.16,-9.19,-5.29,-5.1,-7.15,-12.08,-6.91,-1.86,-7.01,-19.8,-1.3,-1.22,
feb-09,-0.8,0.32,-0.21,-4.6,-7.55,-7.54,-26.94,2.14,-5.47,-6.32,-16.73,-6.97,-1.42,
mar-09,-0.05,0.07,1.97,0.58,-11.78,-5.8,-23.56,0.01,-8.12,-10.37,-15.74,-9.84,-0.17,
abr-09,-0.16,-1.01,-3.73,0.13,-13.51,-9.07,-14.71,-4.51,-6.01,-9.11,-10.89,-7.3,-3.4,
may-09,-1.15,1.0,-5.35,-5.7,-19.64,-4.27,-16.02,-8.68,-7.81,-7.39,-16.0,-23.2,-29.5,
jun-09,0.74,-1.44,4.35,4.61,-10.63,-11.49,-6.99,3.43,-8.11,-11.93,-15.32,-14.66,-15.42,
jul-09,0.07,-0.25,0.74,-0.41,-10.88,-6.48,-7.83,-7.94,-7.39,-7.78,-12.63,-9.9,-5.39,
ago-09,0.07,-0.72,-0.72,0.59,-8.64,-5.62,-7.7,-14.79,-8.61,-3.92,-16.09,-3.91,0.5,
sep-09,0.1,0.72,0.1,0.15,-7.11,-10.61,1.07,-13.04,-5.39,-5.34,-11.44,-4.89,-8.38,
oct-09,-0.14,-0.29,-0.28,-0.5,-4.97,-4.85,-14.47,-3.63,-10.95,-10.27,-12.46,-7.34,-10.55,
nov-09,2.96,0.78,-4.89,-0.79,-3.56,-7.21,-19.65,-24.65,-7.13,-13.21,-16.03,-3.17,-3.39,
dic-09,0.07,1.8,5.45,2.06,-2.27,-6.76,-19.06,-21.46,-12.0,-8.61,-17.19,-12.57,-9.24,
ene-10,-0.26,-2.08,-1.22,0.52,-2.01,2.93,-14.99,-15.46,-0.45,5.33,-14.2,-10.5,-11.11,
feb-10,0.19,0.21,0.11,0.89,4.89,6.42,1.96,-26.39,-0.06,2.27,-4.02,-10.38,-11.95,
mar-10,0.04,-1.27,-0.37,1.3,11.43,1.87,-8.43,-27.98,1.21,4.5,-4.78,-6.27,-15.68,
abr-10,-0.21,0.78,-1.26,-1.72,10.15,3.16,-18.61,-11.05,-2.67,3.05,-11.8,-6.84,-15.07,
may-10,-0.15,0.68,1.66,1.56,26.33,4.74,-17.79,-1.0,-0.05,-0.26,-5.06,8.69,13.93,
jun-10,-1.39,-1.42,-0.94,-2.9,12.9,5.01,-16.41,-21.7,-0.26,7.8,-5.89,-0.58,-4.78,
jul-10,0.28,1.04,-0.35,1.54,11.68,1.95,-12.13,-19.56,2.86,5.24,-6.37,-6.18,-13.64,
ago-10,0.02,-0.85,0.68,0.49,17.02,2.97,-15.37,-13.11,3.49,1.92,-13.56,-5.31,-18.32,
sep-10,-0.33,0.06,-0.35,-1.92,17.19,4.11,-22.79,-10.93,-1.12,-1.48,-10.91,-5.53,-13.15,
oct-10,0.07,-1.11,0.18,-0.46,15.02,2.96,-18.19,-23.42,6.48,8.21,-8.63,-6.29,-10.6,
nov-10,0.09,0.18,0.62,1.41,15.46,7.97,-12.8,17.45,4.54,6.36,-9.72,-7.6,-15.87,
dic-10,-0.12,-0.53,-0.76,3.55,11.1,3.33,-14.96,-4.11,-5.45,1.67,-7.45,-3.19,-12.85,
ene-11,-0.05,0.45,-0.11,-3.1,14.27,2.12,-8.93,-5.38,0.92,-0.57,-8.53,-7.15,-13.72,
feb-11,0.02,0.4,0.12,-1.35,15.11,-1.98,-19.84,2.06,0.77,2.7,-7.81,1.49,-14.04,
