indicador,categoria,periodo,valor,unidad,delta_vs_previo,frecuencia
PIB anual (resumen),Macro,2024,1.3500,%,-1.7600,
PIB anual,Macro,T1-26,0.0500,%,-1.7400,
PIB por actividad,Macro,T1-26,0.7300,%,-1.4300,
Inflación anual (resumen),Precios,mar-26,4.5900,%,+0.5700,
IGAE / IOAE por sector,Actividad,—,,%,,
IGAE anual,Actividad,feb-26,-0.2700,%,-0.7600,
IMAI total,Actividad,feb-26,0.4000,%,+1.4800,
Consumo privado,Actividad,ene-26,2.6600,%,-2.7600,
FBCF anual,Actividad,ene-26,-2.1800,%,-0.4900,
Exportaciones,Actividad,mar-26,23.8600,%,+7.9700,
Cíclico adelantado,Actividad,feb-26,0.0900,pts,-0.0100,
EMIM producción,Encuestas,feb-26,3.4300,%,+6.2000,
ENEC valor,Encuestas,feb-26,0.3300,%,-0.2700,
Mayoreo ingresos,Encuestas,feb-26,-1.5100,%,-2.1900,
Menudeo personal,Encuestas,feb-26,-0.0100,%,-0.3900,
Servicios ingresos,Encuestas,feb-26,-1.8000,%,-1.9700,
Autos ligeros,Automotriz,mar-26,2.4000,%,+2.7000,
Autos pesados,Automotriz,mar-26,-18.6000,%,+20.3000,
INPC 1Q mar,Precios,Q07-26,4.5300,%,-0.0200,
INPC anual,Precios,mar-26,4.5900,%,+0.5700,
INPP sin petróleo,Precios,mar-26,2.4600,%,+0.8000,
Tasa desocupación,Empleo,T4-25,2.5000,%,-0.1000,
Participación de entidad líder,Regional,T4-25,18.1800,%,,
Conf. consumidor,Sentimiento,mar-26,-0.2700,pts,-0.5800,
EMOE IPM,Sentimiento,abr-26,-0.6000,pts,-1.2100,
EMOE IAT,Sentimiento,abr-26,-1.2900,pts,-3.2100,
EMOE ICE,Sentimiento,abr-26,-0.1700,pts,+0.1900,
Desocupación (ENOE mensual),Empleo,mar-26,2.8000,%,+0.0800,
Entidad líder por participación PIB,Regional,2024,15.3200,%,,
ITAEE líder trimestral,Regional,T4-25,12.0100,%,,
IMAI estatal líder,Regional,dic-25,150.2900,%,,
Desglose por sector económico,Empleo,abr-26,22.7490, M,+0.1100,
