Periodo,Total,Minería,Energía_agua_gas,Construcción,Manufactureras,Alimentos_Anual,Bebidas_Anual,Textil_Anual,Cuero_Anual,Madera_Anual,Papel_Anual,Quimica_Anual,Plastico_Anual,Metales_Anual,Metalicos_Anual,Maquinaria_Anual,Computacion_Anual,Electrico_Anual,Transporte_Anual
feb-93,3.94,0.98,0.05,2.88,4.06,,,,,,,,,,,,,,
mar-93,0.71,1.13,-0.58,0.21,1.19,,,,,,,,,,,,,,
abr-93,-1.24,0.62,0.31,-0.8,-0.95,,,,,,,,,,,,,,
may-93,0.01,-0.48,-0.34,1.5,-0.64,,,,,,,,,,,,,,
jun-93,-0.79,0.82,-1.44,-2.11,-0.54,,,,,,,,,,,,,,
jul-93,0.94,-0.19,-0.93,-0.62,2.12,,,,,,,,,,,,,,
ago-93,0.22,-0.0,-1.47,1.12,0.37,,,,,,,,,,,,,,
sep-93,-0.19,0.71,-0.49,1.45,-0.59,,,,,,,,,,,,,,
oct-93,0.4,0.97,-2.12,0.38,0.48,,,,,,,,,,,,,,
nov-93,0.06,0.24,-1.92,2.76,-1.0,,,,,,,,,,,,,,
dic-93,1.54,-0.0,-1.47,2.81,1.03,,,,,,,,,,,,,,
ene-94,0.71,-1.09,-1.51,2.35,-0.24,0.61,-0.02,-5.84,-2.21,-18.56,0.66,3.32,2.16,-0.67,2.38,-21.51,41.7,36.5,-2.69
feb-94,-0.53,-1.19,-2.16,3.7,-2.56,0.89,-5.65,-4.19,-4.1,-27.45,-2.31,-1.05,1.76,3.44,1.6,22.64,-0.96,-17.28,-8.86
mar-94,1.1,0.36,0.6,3.67,1.33,-0.7,-1.28,-5.35,3.38,12.75,-3.01,0.14,8.49,-1.52,-3.13,-2.62,16.01,-21.38,-10.92
abr-94,5.04,-0.11,-0.66,2.17,9.0,2.82,5.48,2.34,-0.36,18.52,0.32,9.58,9.8,-1.97,22.68,3.41,29.38,20.14,0.14
may-94,-3.81,0.52,-1.3,-1.78,-6.14,-2.51,-2.16,2.21,0.75,4.94,-0.89,2.13,8.95,-1.93,8.98,-3.92,2.68,22.5,-3.67
jun-94,-0.05,-0.62,0.25,-0.61,0.72,3.2,14.82,3.42,3.7,3.15,3.96,3.68,11.33,4.6,11.93,13.33,-9.42,-15.02,9.9
jul-94,-0.2,0.2,1.15,-1.25,-0.1,6.83,16.24,-0.67,-3.92,1.4,1.21,5.54,5.56,2.74,15.3,-14.54,-14.4,-5.87,5.19
ago-94,1.2,0.26,0.35,0.62,2.1,5.71,17.94,-1.54,-0.51,-0.23,7.3,7.52,3.54,14.85,-3.17,-18.67,-7.07,-22.17,17.9
sep-94,0.3,-0.81,1.58,-1.46,1.36,2.22,14.34,-0.56,4.37,3.97,8.14,8.17,-0.51,7.32,6.17,9.17,17.51,-8.06,4.49
oct-94,-0.62,0.86,2.65,1.1,-1.5,3.64,11.84,7.62,-8.21,20.88,7.2,10.09,-12.54,9.43,8.58,-17.94,-16.57,6.14,2.79
nov-94,-0.32,-0.92,2.53,-2.93,0.95,5.73,5.08,11.6,1.89,14.07,10.23,6.88,6.21,6.8,3.32,13.03,-19.89,45.16,7.51
dic-94,-0.26,-0.27,3.48,-1.6,-1.44,3.21,-22.73,8.22,-4.07,-14.15,6.41,6.52,-12.53,0.82,10.9,-11.23,12.73,-7.33,0.22
ene-95,1.41,0.4,2.03,-13.2,5.72,3.26,1.22,5.25,-11.75,-2.69,10.47,9.49,3.6,4.01,0.68,-6.19,68.56,-28.79,1.84
feb-95,-8.93,-1.18,3.19,-18.33,-8.25,5.16,9.14,1.84,-5.63,0.06,5.71,6.08,-4.93,2.02,-4.1,2.95,18.48,-12.72,-9.96
mar-95,-1.58,0.55,1.51,-0.03,-2.42,6.32,1.42,3.28,-12.98,-36.84,1.3,2.72,-14.32,-5.57,-10.92,27.72,-11.62,-3.84,-15.34
abr-95,-4.19,0.21,3.15,0.46,-7.09,6.25,-8.63,-17.42,-21.1,-30.83,-2.61,0.95,-11.14,-2.5,-24.05,-8.0,-66.23,-10.52,-32.07
may-95,-0.6,0.04,1.47,-9.4,1.02,5.92,-0.09,-13.7,-21.81,-15.17,-0.95,2.07,-17.0,1.02,-26.21,-22.1,-26.35,-10.82,-27.99
jun-95,0.54,1.07,1.62,4.37,-0.2,4.49,-3.38,-11.5,-24.29,-10.41,0.46,3.84,-17.55,-2.86,-30.41,-14.85,-34.86,0.44,-31.32
jul-95,0.78,0.2,0.86,-0.53,1.53,-2.46,-5.66,-8.68,-13.4,-6.69,-0.28,5.82,-2.97,0.69,-25.77,-13.06,-35.33,-4.68,-22.47
ago-95,0.19,1.82,1.21,3.07,-0.29,-2.1,-2.23,-2.79,-8.9,4.11,-4.82,4.68,4.84,1.41,-19.89,-7.11,-50.57,-12.54,-21.84
sep-95,1.61,0.13,1.47,4.44,1.51,-0.08,-4.89,-0.59,-9.21,1.21,-3.42,2.05,-1.21,-6.13,-21.14,-15.84,-43.42,-15.54,-12.27
oct-95,-4.18,-24.71,0.34,0.79,1.84,-0.44,-2.04,-6.52,-12.92,6.19,-3.85,-4.63,0.79,1.11,-21.53,-22.47,-7.44,-10.94,-3.98
nov-95,6.74,28.07,1.09,6.65,1.27,-0.66,-1.82,-7.47,-13.51,-7.54,1.28,-2.41,-3.14,2.58,-14.74,-21.83,-9.23,-11.27,-6.91
dic-95,6.77,5.79,0.03,11.05,3.78,-0.53,2.62,11.17,-0.01,5.21,15.81,5.29,5.31,9.06,-7.47,3.86,-18.7,-1.5,2.86
ene-96,-0.75,1.92,-0.61,-3.61,-1.35,3.03,6.75,3.09,5.19,10.12,3.99,1.4,0.11,22.99,-9.3,9.42,-62.54,17.94,2.51
feb-96,-0.63,1.23,0.75,-3.8,0.77,2.3,0.15,9.05,2.42,13.36,7.66,8.69,9.57,29.3,-4.21,-11.71,-32.74,-0.69,15.96
mar-96,1.72,-0.2,-0.25,1.41,2.89,1.09,4.5,5.21,12.86,19.15,10.32,9.81,15.53,26.1,4.59,-19.32,-15.92,-0.29,27.27
abr-96,-0.84,1.14,-0.55,1.44,-1.95,-0.3,3.09,21.66,21.47,19.86,10.17,11.34,4.32,22.49,11.19,14.41,22.82,-5.47,54.43
may-96,1.61,0.01,0.5,1.65,2.06,-1.29,1.11,14.35,31.87,15.3,6.7,13.22,27.26,21.7,24.86,38.67,-8.18,3.31,53.99
jun-96,1.67,0.34,0.51,2.63,2.05,-1.97,3.03,11.43,32.38,18.52,9.6,3.57,20.78,24.48,33.15,25.81,48.36,3.17,59.46
jul-96,-0.29,0.08,-0.03,4.74,-1.48,3.91,8.54,13.47,18.76,14.43,7.39,-2.79,8.99,24.47,31.13,21.29,6.03,1.66,46.17
ago-96,0.06,-1.27,0.42,-2.02,1.12,3.69,6.29,9.36,10.77,7.45,9.42,-1.25,12.59,12.1,25.78,2.49,33.33,17.88,41.95
