Periodo,Personal_ocupado,Remuneración_media,Ingresos_totales,Mercancías_compradas,Productos_farma_perf_Anual,Intermediacion_Anual
feb-08,0.21,0.07,1.13,-0.83,,
mar-08,0.32,-1.33,-0.91,-1.54,,
abr-08,0.3,1.55,6.68,4.68,,
may-08,0.95,-0.83,-0.33,2.33,,
jun-08,-0.03,-3.0,0.04,-0.09,,
jul-08,0.23,0.93,-0.63,-3.06,,
ago-08,-0.02,0.88,-3.46,-2.52,,
sep-08,-0.14,-0.06,0.62,-0.13,,
oct-08,0.39,2.34,1.21,-1.63,,
nov-08,-0.55,0.09,-5.18,-2.69,,
dic-08,-0.18,-1.81,-2.86,-6.47,,
ene-09,0.06,0.33,-0.63,2.23,-11.3,-12.35
feb-09,-0.28,1.1,0.78,-0.54,-7.38,-14.07
mar-09,0.09,-0.58,-1.95,-1.79,-12.06,-9.11
abr-09,-0.21,-0.35,-0.93,-0.64,-3.87,-16.76
may-09,-0.28,-3.2,-2.29,-0.85,-3.89,-16.14
jun-09,-0.08,3.93,2.05,0.18,-2.29,-15.12
jul-09,0.04,0.42,0.18,0.5,-10.01,-18.72
ago-09,0.38,-1.73,-0.45,-0.35,-4.56,-13.72
sep-09,-0.16,-0.23,-0.8,-0.97,-4.9,-15.23
oct-09,0.03,-0.07,0.78,0.23,-7.91,-11.01
nov-09,0.06,-0.42,1.29,0.04,-5.19,-15.84
dic-09,0.05,1.35,-0.09,2.24,-6.46,-3.44
ene-10,1.36,0.22,0.97,2.7,3.63,8.3
feb-10,0.19,-1.43,1.12,2.27,2.12,17.19
mar-10,0.28,1.53,1.37,1.42,7.12,32.49
abr-10,0.37,-3.48,3.65,0.96,0.02,39.37
may-10,0.31,2.85,-1.21,-0.75,-0.41,46.84
jun-10,0.29,-0.55,-1.87,-2.85,-0.27,30.3
jul-10,0.32,0.91,1.09,2.56,-2.41,25.41
ago-10,0.26,-0.43,0.09,0.47,-2.01,27.87
sep-10,0.17,0.23,-0.02,-0.52,1.0,21.79
oct-10,0.14,-1.51,0.73,1.38,3.76,19.98
nov-10,0.34,-0.3,-0.44,1.38,5.64,18.24
dic-10,0.37,1.46,-0.45,-1.26,-3.51,8.05
ene-11,0.12,0.35,0.4,-1.59,0.63,-1.23
feb-11,0.41,-1.15,-0.88,-0.89,3.18,3.97
mar-11,0.35,1.26,0.57,-0.4,-1.86,17.08
abr-11,0.41,-3.44,-2.55,1.09,-0.44,4.22
may-11,0.39,5.07,2.26,2.67,1.75,4.57
jun-11,0.85,0.53,0.72,1.62,1.79,28.43
jul-11,-0.05,-0.07,-1.34,0.71,3.44,29.58
ago-11,0.72,1.0,4.29,2.1,3.26,22.21
sep-11,0.76,3.14,3.86,2.45,2.87,28.77
oct-11,1.3,-3.15,-2.36,0.25,3.01,31.07
nov-11,0.18,0.51,1.5,0.61,2.25,28.84
dic-11,0.28,-1.76,3.14,0.5,13.05,27.3
ene-12,0.16,1.5,0.24,1.38,4.06,39.41
feb-12,0.08,2.78,-1.64,-0.8,-3.16,10.69
mar-12,0.17,0.2,-0.97,-0.31,2.87,-16.79
abr-12,-0.17,-0.87,-1.74,-0.74,-0.05,-2.14
may-12,0.65,-0.91,3.25,-1.58,1.46,-9.18
jun-12,0.2,0.76,1.58,1.4,6.46,-14.97
jul-12,0.2,-0.85,-1.91,0.21,3.05,-1.2
ago-12,0.18,0.65,0.38,0.77,2.79,13.04
sep-12,0.06,0.36,2.66,1.84,4.57,1.99
oct-12,-0.13,1.45,-3.2,-3.2,0.94,5.87
nov-12,0.23,-0.35,-1.98,-0.45,2.49,12.44
dic-12,0.16,3.82,0.42,-0.76,5.13,2.43
ene-13,2.17,-4.11,-0.73,-0.08,-0.63,9.06
feb-13,0.18,-1.33,0.33,0.8,3.71,30.38
mar-13,0.11,-1.52,2.04,1.02,-1.41,43.44
abr-13,0.4,1.66,-3.12,-3.58,1.21,39.05
may-13,0.32,-3.51,-0.44,-0.6,-3.13,64.94
jun-13,0.26,2.87,-0.03,-0.04,-8.08,50.43
jul-13,0.07,0.07,0.67,-0.65,-2.18,28.96
ago-13,-0.04,0.69,-0.56,-0.26,0.13,16.75
sep-13,0.31,0.3,1.1,0.78,-2.07,36.0
oct-13,0.05,-0.49,0.55,0.21,0.81,28.69
nov-13,0.18,0.95,0.87,0.8,-3.28,34.51
dic-13,0.12,0.56,0.41,1.71,-5.02,53.87
ene-14,0.1,-3.37,1.3,0.73,4.02,32.28
feb-14,0.26,1.21,0.2,0.28,3.5,18.15
mar-14,0.24,-0.47,-0.22,0.2,6.59,17.51
abr-14,0.42,0.61,0.79,1.25,8.81,34.6
may-14,0.22,-1.5,-0.45,0.04,12.25,18.1
jun-14,-0.33,1.16,-0.76,-1.03,5.09,30.65
jul-14,0.18,0.32,0.85,-0.33,8.82,33.71
ago-14,0.22,-0.91,0.39,-1.53,2.75,26.61
sep-14,0.09,0.31,0.18,1.81,1.82,20.54
oct-14,0.6,0.07,0.58,-0.07,4.53,8.64
nov-14,0.08,-0.06,1.37,0.82,7.64,6.33
dic-14,0.31,-0.31,-0.49,1.03,3.82,5.94
ene-15,0.17,0.73,-0.88,-1.33,4.35,5.51
feb-15,0.42,0.47,0.59,-0.57,7.28,22.87
mar-15,0.06,-0.44,0.13,2.03,8.47,29.79
abr-15,0.13,-1.34,-0.18,0.25,3.94,9.54
may-15,0.15,2.78,-0.21,-0.49,3.36,8.47
jun-15,0.18,-0.8,0.9,0.07,8.52,2.19
jul-15,-0.4,0.51,1.89,1.23,0.76,7.35
ago-15,-0.74,-0.0,-2.56,-0.82,5.07,11.75
sep-15,0.53,0.83,-1.44,-0.48,5.38,9.64
oct-15,0.2,-0.02,0.35,1.24,2.53,23.23
nov-15,0.11,0.01,-0.45,-0.58,1.98,13.16
dic-15,0.33,-1.97,-2.39,-3.38,4.21,11.04
ene-16,0.29,3.69,1.62,1.17,2.56,20.62
feb-16,0.34,1.11,0.11,3.86,0.52,8.67
mar-16,0.4,0.93,-0.01,-1.3,-2.71,-5.38
abr-16,0.26,-2.71,0.79,-0.18,-0.92,-1.27
may-16,0.31,4.0,0.73,1.51,-0.62,-17.69
jun-16,0.4,-1.72,-0.27,0.55,-2.63,-9.49
jul-16,0.03,1.6,0.05,-0.5,1.36,-19.79
ago-16,0.4,-0.66,0.36,2.55,-0.85,-15.89
sep-16,0.48,-0.89,1.0,-1.56,-0.82,-18.52
oct-16,0.18,0.3,-0.17,0.05,-1.09,-20.54
nov-16,0.46,-1.62,-0.9,-2.05,-2.96,-4.88
dic-16,0.01,1.32,3.42,3.29,-1.21,3.77
ene-17,0.68,0.92,1.48,1.25,-3.56,-7.89
feb-17,-0.97,-0.66,-2.28,3.73,-6.3,-1.89
mar-17,0.07,-0.07,0.04,-4.72,0.04,4.96
abr-17,-0.28,1.2,-1.58,-1.47,1.24,0.73
may-17,0.45,1.69,-1.33,-0.48,-1.02,33.17
jun-17,0.43,-3.45,1.09,-0.08,4.92,21.56
jul-17,1.52,0.05,0.79,3.69,-0.45,33.37
ago-17,0.07,-1.82,1.09,-0.45,3.25,23.13
sep-17,0.27,2.3,-0.98,0.02,4.13,35.82
oct-17,0.17,-0.69,1.05,-0.16,2.57,32.88
nov-17,0.17,2.0,1.21,0.45,5.36,9.27
dic-17,0.27,-2.12,0.81,1.28,0.28,-3.68
ene-18,0.36,-0.19,0.24,6.57,-2.56,-0.41
feb-18,0.32,0.05,0.47,-5.87,-3.42,-9.66
mar-18,-0.29,1.25,-0.7,0.84,-3.19,-10.12
abr-18,0.98,0.48,1.72,1.42,-4.29,-18.95
may-18,0.52,0.06,1.62,0.17,-4.46,-16.48
jun-18,-0.26,2.28,-0.41,1.35,-4.57,-11.44
jul-18,0.25,-1.26,-1.03,-2.05,-3.15,-8.03
ago-18,0.08,0.4,0.41,-1.27,-5.33,-11.92
sep-18,-0.12,-0.48,0.94,3.22,-4.55,-19.72
oct-18,0.3,0.52,1.32,2.24,-3.95,-17.72
nov-18,-0.05,1.03,-1.46,-3.04,-7.64,-15.34
dic-18,0.18,-0.6,-4.74,-3.95,-6.47,-11.92
ene-19,-0.94,-0.56,-3.55,-0.36,0.5,-10.53
feb-19,0.3,-0.18,1.55,-5.07,3.43,-9.46
mar-19,0.02,-0.72,0.99,3.77,-1.4,-9.79
abr-19,0.22,0.06,-0.53,-0.04,-0.66,3.84
may-19,-0.05,0.36,-0.1,-0.56,0.8,7.58
jun-19,0.28,0.37,-1.43,-1.48,-1.06,-15.87
jul-19,0.24,-0.66,-1.12,-0.67,-0.59,-2.14
ago-19,0.01,1.0,-0.78,-1.8,-0.09,-1.99
sep-19,-0.27,-2.35,-1.06,-2.0,0.47,-9.08
oct-19,0.04,3.5,-0.38,0.03,0.34,-0.56
nov-19,0.22,-2.35,0.23,-1.36,1.85,-1.05
dic-19,0.07,0.22,0.31,2.68,4.66,-2.14
ene-20,0.2,-1.46,1.63,-1.02,-0.23,-0.25
feb-20,-0.03,0.01,-2.35,-1.37,0.22,1.17
mar-20,-0.02,0.65,-6.79,-7.96,2.9,5.32
abr-20,-0.96,1.85,-26.16,-22.35,-25.26,-16.14
may-20,-0.54,-4.04,1.28,-0.65,-27.4,-33.64
jun-20,-0.26,0.57,7.86,4.81,-13.85,-18.82
jul-20,0.19,-0.18,11.29,8.59,-2.98,-21.34
ago-20,-0.05,0.92,1.75,2.27,-3.57,-18.16
sep-20,0.16,1.76,2.26,3.54,-5.17,-8.47
oct-20,-0.11,-0.22,1.43,2.59,-2.66,-11.37
nov-20,-0.19,2.17,3.41,2.47,1.4,-14.77
dic-20,0.49,0.14,3.06,2.93,0.29,-11.28
ene-21,0.73,-1.28,3.34,4.94,7.82,-11.1
feb-21,0.12,-1.94,3.51,3.12,2.01,-5.03
mar-21,0.44,3.22,1.43,-0.16,-2.04,-5.69
abr-21,0.2,0.78,-1.28,1.24,35.7,23.25
may-21,0.29,-0.13,3.72,2.84,39.44,19.71
jun-21,0.17,0.56,0.64,1.9,16.39,33.03
jul-21,2.55,-0.04,1.59,0.41,9.23,3.47
ago-21,2.59,-0.16,-0.76,-2.01,12.49,-3.75
sep-21,0.88,-1.05,-0.32,1.49,11.41,-1.16
oct-21,0.18,0.2,3.31,1.21,8.82,-16.29
nov-21,0.51,-1.87,2.76,2.58,4.95,1.39
dic-21,0.38,6.78,-3.33,-1.35,2.04,-6.54
ene-22,0.27,0.75,-0.16,-2.13,7.76,-4.85
feb-22,1.04,-0.09,1.65,3.71,16.64,-0.79
mar-22,0.39,-1.67,3.91,6.82,13.53,1.19
abr-22,-0.01,1.24,1.84,-1.72,10.76,2.94
may-22,-0.42,2.54,-0.13,0.93,9.56,3.75
jun-22,0.22,-4.48,1.84,2.81,15.81,-2.45
jul-22,-0.54,5.09,-0.88,-2.68,9.99,2.03
ago-22,0.27,-1.84,-2.2,-4.29,4.48,26.11
sep-22,0.3,-0.3,-2.75,1.37,4.72,13.31
oct-22,0.15,0.81,2.38,-1.08,10.51,26.52
nov-22,-0.07,1.11,-3.26,-1.84,14.01,9.88
dic-22,-0.08,1.06,1.92,0.83,17.7,19.27
ene-23,-0.52,2.79,3.29,-0.67,5.27,21.24
feb-23,1.09,0.09,-3.46,-0.64,4.12,10.75
mar-23,-0.73,0.16,-2.78,-1.4,6.36,-2.36
abr-23,-0.43,0.33,2.93,1.76,6.11,-4.67
may-23,-0.1,0.83,0.07,-1.1,13.85,7.81
jun-23,1.81,0.15,1.2,0.6,19.29,27.01
jul-23,0.9,1.46,-0.21,1.27,9.24,34.5
ago-23,0.67,-1.47,2.31,3.76,12.79,4.32
sep-23,-0.44,3.05,3.52,3.6,13.13,44.47
oct-23,0.16,-0.05,-3.98,-4.67,5.14,32.5
nov-23,-0.01,-0.76,-2.0,-3.17,3.95,46.12
dic-23,-0.09,0.9,-0.53,0.18,2.23,60.1
ene-24,-1.6,-0.23,-0.15,-2.53,-4.69,29.52
feb-24,-0.35,0.67,0.28,-0.08,-6.31,7.79
mar-24,-0.17,2.03,-2.52,-1.63,-7.3,2.02
abr-24,0.64,-0.21,-4.8,-0.95,-2.71,-2.56
may-24,0.31,1.25,4.7,0.83,-4.94,18.67
jun-24,0.25,0.54,-2.18,0.04,-18.09,-13.72
jul-24,-0.03,0.12,-0.1,-0.82,-10.36,-11.63
ago-24,0.12,0.36,-0.92,-1.31,-13.91,2.34
sep-24,-0.72,0.58,-1.78,-0.65,-12.53,-35.12
oct-24,1.05,-0.3,-0.3,-0.35,-13.39,-15.18
nov-24,0.36,1.64,2.68,2.08,-14.62,-15.03
dic-24,0.4,-1.72,-1.05,-2.11,-8.97,-36.19
ene-25,1.35,-0.96,-2.4,0.86,-5.11,-29.65
feb-25,-1.33,1.76,-0.23,-0.14,-1.0,-5.83
mar-25,0.13,0.88,-1.7,-1.78,0.85,11.91
abr-25,0.19,-1.31,-0.68,-1.86,-1.32,3.64
may-25,-0.31,0.0,-1.07,-4.39,-9.27,-15.3
jun-25,-0.39,-0.74,-1.31,0.63,-1.5,-8.12
jul-25,-0.16,-0.2,2.61,2.07,-1.1,-8.53
ago-25,0.12,1.76,1.28,1.83,14.23,-11.38
sep-25,-0.25,-1.21,1.95,0.64,7.84,6.13
oct-25,0.26,1.57,-0.69,-0.06,14.6,-7.62
nov-25,-0.06,-0.88,1.28,0.58,12.68,-20.49
dic-25,0.68,-0.09,-0.42,0.44,3.94,-7.89
ene-26,-0.65,0.82,1.1,-5.01,8.02,-0.28
feb-26,0.48,-0.05,-1.94,4.16,1.75,-8.1
mar-26,-0.06,-2.37,6.03,4.04,9.04,-14.45
