Periodo,Personal_ocupado,Remuneración_media,Mercancías_compradas,Vehiculos_combustibles_Anual,Textiles_calzado_Anual,Papeleria_esparcimiento_Anual,Ferreteria_Anual,Internet_catalogos_Anual
feb-08,-0.01,0.77,-0.11,,,,,
mar-08,-0.17,-0.25,-2.26,,,,,
abr-08,0.66,-0.27,4.18,,,,,
may-08,-0.76,1.36,-1.82,,,,,
jun-08,-0.04,-1.55,0.54,,,,,
jul-08,-0.43,-1.21,-0.26,,,,,
ago-08,-0.37,0.81,-2.0,,,,,
sep-08,-0.23,-0.82,-0.21,,,,,
oct-08,-0.05,0.44,-0.61,,,,,
nov-08,-0.13,-2.28,-1.21,,,,,
dic-08,0.08,1.29,-0.97,,,,,
ene-09,0.75,0.57,-0.19,-8.72,-0.15,-8.25,-5.62,-2.18
feb-09,-0.17,-1.52,-0.96,-9.57,3.57,-7.28,-8.03,-3.64
mar-09,0.16,-0.56,-0.21,-6.28,0.84,-5.1,-2.74,-8.94
abr-09,0.15,2.09,-0.47,-9.17,-3.73,-11.62,-9.14,-1.82
may-09,-0.73,-1.37,-0.81,-11.11,-5.38,-7.7,-7.96,-0.44
jun-09,0.33,-1.31,0.48,-10.25,-2.48,-2.73,-8.94,-1.71
jul-09,-0.04,1.52,2.25,-10.43,1.22,-1.95,-6.94,-4.16
ago-09,-0.04,-0.1,-2.51,-7.89,-1.54,-5.59,-6.75,1.59
sep-09,-0.19,0.6,-0.64,-6.0,0.12,-2.71,-4.76,0.98
oct-09,-0.22,-0.04,0.45,-5.06,-4.96,-0.29,-6.68,3.29
nov-09,-0.11,0.83,1.03,-4.3,-4.63,-3.16,-5.72,-2.9
dic-09,0.34,0.51,3.21,-3.97,-5.22,-5.58,1.44,0.77
ene-10,-0.85,-0.61,-3.26,-5.24,-3.54,-8.29,-6.55,-1.6
feb-10,-0.09,0.85,1.83,0.67,-6.95,-8.82,-5.75,1.94
mar-10,-0.15,1.84,2.51,-2.21,-3.78,-1.75,-1.8,1.69
abr-10,-0.06,-1.5,-3.04,-2.06,-3.88,-3.68,10.44,0.34
may-10,0.15,-0.29,0.09,-0.44,0.47,0.63,7.24,-1.03
jun-10,-0.01,0.83,-0.96,-1.22,-8.18,0.74,7.17,-0.92
jul-10,-0.25,-0.23,0.14,-2.59,0.14,-1.26,-2.78,6.82
ago-10,0.1,2.62,0.65,0.32,-0.56,3.36,-2.3,-2.23
sep-10,0.21,-2.22,0.5,-1.67,-2.69,0.81,0.23,5.55
oct-10,-0.07,0.49,0.04,0.38,8.33,2.26,-1.71,-2.09
nov-10,0.4,-0.73,-0.96,-1.15,2.53,-4.31,-4.07,-5.7
dic-10,-0.24,0.76,0.8,0.71,1.35,-2.19,-6.37,-3.69
ene-11,-0.53,0.37,4.83,1.29,-6.6,-5.27,-6.56,-3.67
feb-11,-0.0,-0.91,-4.24,-3.1,-3.44,-6.35,-5.88,-4.6
mar-11,0.06,1.74,0.55,-3.7,-7.35,-4.55,-5.27,0.52
abr-11,0.15,0.32,0.54,-0.11,-2.83,4.83,-8.14,-5.31
may-11,-0.42,1.08,0.68,0.52,-7.36,-4.72,-6.16,-8.98
jun-11,0.65,-0.02,-0.71,0.44,-1.86,-6.22,-6.22,-7.7
jul-11,0.41,-0.3,0.42,0.33,-7.98,-5.96,-3.11,-9.6
ago-11,0.08,-0.91,1.88,-0.51,-3.32,-10.68,5.3,-2.03
sep-11,0.17,-0.13,-0.52,1.24,1.26,-6.4,6.36,-10.59
oct-11,0.05,-0.58,0.05,0.5,-10.42,-8.08,1.07,4.17
nov-11,0.04,0.75,1.1,0.61,-2.31,1.45,5.3,4.8
