Periodo,ICC_Nivel,Mensual,Anual,Hogar_actual_Nivel,Hogar_actual_Mensual,Hogar_actual_Anual,Hogar_futura_Nivel,Hogar_futura_Mensual,Hogar_futura_Anual,Pais_actual_Nivel,Pais_actual_Mensual,Pais_actual_Anual,Pais_futura_Nivel,Pais_futura_Mensual,Pais_futura_Anual,Compra_durables_Nivel,Compra_durables_Mensual,Compra_durables_Anual
abr-01,46.9,,,51.21,,,57.14,,,45.65,,,52.67,,,26.61,,
may-01,44.45,-2.46,,48.64,-2.57,,55.8,-1.34,,44.6,-1.05,,49.22,-3.45,,24.67,-1.93,
jun-01,44.02,-0.43,,48.83,0.18,,55.65,-0.15,,43.83,-0.77,,49.33,0.12,,23.53,-1.14,
jul-01,46.14,2.12,,50.54,1.72,,56.21,0.56,,44.61,0.78,,53.08,3.75,,26.51,2.98,
ago-01,47.39,1.25,,51.28,0.74,,57.62,1.42,,44.53,-0.09,,53.27,0.19,,29.15,2.64,
sep-01,44.66,-2.72,,49.64,-1.65,,56.2,-1.43,,41.93,-2.6,,49.15,-4.12,,26.88,-2.27,
oct-01,42.29,-2.37,,47.26,-2.38,,54.07,-2.13,,37.7,-4.22,,44.21,-4.94,,28.54,1.66,
nov-01,42.8,0.51,,46.43,-0.83,,54.14,0.07,,40.21,2.5,,46.43,2.21,,27.02,-1.52,
dic-01,42.72,-0.08,,47.66,1.22,,55.22,1.09,,37.78,-2.43,,46.36,-0.07,,27.4,0.38,
ene-02,36.8,-5.92,,43.97,-3.69,,47.79,-7.44,,33.19,-4.59,,38.54,-7.82,,20.29,-7.12,
feb-02,38.26,1.46,,44.12,0.15,,50.49,2.71,,33.73,0.54,,40.81,2.27,,21.38,1.09,
mar-02,39.48,1.22,,44.09,-0.04,,51.3,0.81,,35.59,1.86,,43.04,2.23,,22.95,1.57,
abr-02,40.06,0.58,-6.84,44.05,-0.04,-7.16,51.95,0.65,-5.19,36.43,0.84,-9.22,43.71,0.66,-8.96,23.16,0.21,-3.45
may-02,40.93,0.87,-3.52,45.49,1.44,-3.15,53.2,1.24,-2.6,37.22,0.8,-7.37,43.76,0.05,-5.46,25.86,2.71,1.19
jun-02,41.04,0.11,-2.97,45.91,0.42,-2.91,53.1,-0.1,-2.55,37.34,0.11,-6.49,43.13,-0.62,-6.2,26.5,0.64,2.97
jul-02,41.61,0.57,-4.53,46.53,0.62,-4.01,53.03,-0.06,-3.17,36.18,-1.15,-8.43,43.9,0.77,-9.18,28.54,2.03,2.02
ago-02,42.31,0.7,-5.08,45.12,-1.41,-6.16,52.85,-0.18,-4.77,38.23,2.05,-6.29,44.71,0.81,-8.57,29.65,1.12,0.5
sep-02,42.03,-0.28,-2.64,45.86,0.74,-3.77,52.55,-0.3,-3.65,38.59,0.35,-3.34,46.11,1.41,-3.04,27.51,-2.14,0.63
oct-02,41.82,-0.2,-0.47,46.43,0.57,-0.83,52.59,0.04,-1.48,36.94,-1.65,-0.77,44.29,-1.82,0.08,29.01,1.5,0.47
nov-02,43.36,1.54,0.56,46.06,-0.38,-0.38,54.11,1.52,-0.03,37.16,0.22,-3.05,44.82,0.53,-1.6,35.25,6.24,8.23
dic-02,42.41,-0.95,-0.31,45.4,-0.66,-2.26,52.98,-1.13,-2.25,37.96,0.8,0.18,44.89,0.06,-1.47,31.46,-3.79,4.06
ene-03,40.73,-1.68,3.93,46.37,0.97,2.4,51.71,-1.27,3.92,37.49,-0.47,4.3,44.23,-0.66,5.69,23.56,-7.9,3.27
feb-03,39.79,-0.94,1.53,45.3,-1.07,1.18,51.66,-0.04,1.17,37.27,-0.22,3.54,43.15,-1.08,2.34,20.67,-2.89,-0.71
mar-03,37.5,-2.29,-1.98,43.87,-1.44,-0.22,48.98,-2.69,-2.33,36.32,-0.95,0.73,39.42,-3.73,-3.62,18.77,-1.9,-4.18
abr-03,40.22,2.71,0.15,45.97,2.1,1.91,51.88,2.91,-0.07,36.9,0.58,0.47,43.49,4.06,-0.22,21.96,3.19,-1.2
may-03,40.29,0.07,-0.64,45.35,-0.62,-0.15,53.44,1.56,0.24,37.42,0.52,0.2,44.93,1.44,1.17,21.23,-0.73,-4.63
jun-03,40.92,0.63,-0.13,45.52,0.17,-0.39,52.34,-1.1,-0.76,39.21,1.79,1.88,46.3,1.37,3.16,21.64,0.41,-4.86
jul-03,40.96,0.04,-0.65,44.91,-0.61,-1.62,53.27,0.94,0.24,37.91,-1.3,1.73,46.17,-0.13,2.27,22.5,0.86,-6.04
ago-03,40.9,-0.06,-1.41,45.94,1.03,0.81,53.82,0.55,0.97,36.83,-1.09,-1.41,45.71,-0.46,1.0,21.9,-0.6,-7.75
sep-03,40.14,-0.76,-1.88,44.73,-1.21,-1.14,52.84,-0.98,0.3,37.12,0.29,-1.47,45.29,-0.42,-0.82,21.14,-0.76,-6.38
oct-03,40.57,0.43,-1.25,44.79,0.06,-1.65,53.86,1.01,1.27,37.96,0.84,1.02,44.9,-0.39,0.61,21.04,-0.1,-7.98
nov-03,40.27,-0.3,-3.09,44.89,0.1,-1.17,53.21,-0.65,-0.9,37.41,-0.55,0.26,44.92,0.02,0.1,20.89,-0.15,-14.37
dic-03,39.07,-1.2,-3.34,44.45,-0.43,-0.94,52.0,-1.2,-0.98,36.04,-1.37,-1.92,43.84,-1.09,-1.05,19.97,-0.91,-11.49
ene-04,39.51,0.44,-1.22,44.26,-0.19,-2.11,52.97,0.97,1.26,36.86,0.82,-0.63,43.79,-0.05,-0.45,19.46,-0.51,-4.09
feb-04,40.03,0.51,0.24,45.11,0.85,-0.19,52.42,-0.55,0.75,36.76,-0.1,-0.51,44.24,0.45,1.08,20.71,1.24,0.04
mar-04,39.13,-0.9,1.62,44.89,-0.22,1.03,52.37,-0.05,3.39,34.81,-1.96,-1.52,42.21,-2.03,2.79,21.32,0.61,2.55
abr-04,39.9,0.77,-0.32,45.16,0.27,-0.8,51.92,-0.45,0.04,36.43,1.62,-0.47,43.67,1.46,0.18,21.63,0.32,-0.32
may-04,40.47,0.57,0.18,45.89,0.72,0.54,53.52,1.6,0.08,36.47,0.04,-0.95,43.81,0.14,-1.12,23.71,2.08,2.48
jun-04,40.76,0.3,-0.15,45.32,-0.56,-0.2,53.78,0.26,1.44,36.52,0.05,-2.69,44.42,0.61,-1.87,23.76,0.05,2.12
jul-04,39.59,-1.17,-1.37,44.32,-1.0,-0.59,53.27,-0.51,-0.0,35.48,-1.04,-2.43,43.21,-1.21,-2.96,21.51,-2.25,-0.99
