Periodo,Total_Mensual,Total_Anual,Origen_nacional_Mensual,Origen_nacional_Anual,Origen_importado_Mensual,Origen_importado_Anual,Duraderos_nacional_Anual,Semi_duraderos_nacional_Anual,No_duraderos_nacional_Anual,Servicios_nacional_Anual,Duraderos_importado_Anual,Semi_duraderos_importado_Anual,No_duraderos_importado_Anual
feb-93,1.4,,1.59,,-1.23,,,,,,,,
mar-93,0.97,,0.98,,5.32,,,,,,,,
abr-93,-1.04,,-1.39,,2.08,,,,,,,,
may-93,1.43,,2.11,,-5.69,,,,,,,,
jun-93,-0.73,,-1.5,,13.9,,,,,,,,
jul-93,-0.1,,-0.2,,4.71,,,,,,,,
ago-93,-0.48,,-0.03,,-7.04,,,,,,,,
sep-93,0.86,,0.99,,2.37,,,,,,,,
oct-93,0.12,,-0.24,,1.46,,,,,,,,
nov-93,-0.5,,-0.42,,0.84,,,,,,,,
dic-93,4.72,,4.62,,2.29,,,,,,,,
ene-94,-2.69,3.86,-2.94,3.4,2.58,22.02,5.18,1.63,1.95,4.7,33.62,26.14,16.83
feb-94,0.64,3.08,0.29,2.08,7.19,32.42,-0.89,-4.51,1.54,4.2,65.85,20.64,28.45
mar-94,0.3,2.39,0.36,1.46,-0.84,24.67,-5.41,-4.26,-0.63,3.84,76.9,16.28,8.18
abr-94,1.83,5.37,1.95,4.9,-0.35,21.71,5.22,7.26,6.57,3.92,89.98,29.17,-0.94
may-94,0.41,4.31,0.25,2.99,12.74,45.5,-0.64,8.2,1.75,4.16,126.34,49.33,28.36
jun-94,0.75,5.86,0.47,5.06,0.25,28.07,5.27,6.03,5.58,4.1,45.88,44.49,10.67
jul-94,0.45,6.44,0.66,5.97,-3.43,18.1,-3.12,3.47,6.36,5.3,48.24,33.25,-4.97
ago-94,0.47,7.45,0.65,6.69,5.11,33.54,1.62,7.63,10.69,5.63,45.73,71.04,20.13
sep-94,0.05,6.58,0.22,5.88,-2.48,27.21,13.62,0.42,6.84,5.4,66.36,20.83,20.79
oct-94,0.39,6.87,-0.08,6.04,4.59,31.13,4.44,-2.67,7.85,5.43,62.36,24.51,24.36
nov-94,0.63,8.08,0.38,6.9,4.2,35.5,4.76,11.93,7.75,6.09,53.59,25.9,31.42
dic-94,-1.25,1.92,-0.95,1.21,-5.75,24.85,5.75,-3.11,-4.36,6.37,39.71,9.22,22.13
ene-95,-4.6,-0.07,-1.79,2.4,-38.26,-24.85,12.6,-1.96,5.7,0.23,-5.18,-20.22,-29.92
feb-95,-1.13,-1.84,-0.97,1.12,-7.31,-35.02,-3.3,-3.63,4.21,-0.26,-34.13,-32.39,-37.12
mar-95,-1.16,-3.26,-0.99,-0.24,0.07,-34.42,-2.26,-7.89,4.36,-1.09,-49.66,-20.93,-33.0
abr-95,-1.0,-5.95,-1.68,-3.8,7.23,-29.43,-27.06,-24.42,-0.09,-5.17,-58.31,-26.29,-23.67
may-95,-0.99,-7.26,-0.49,-4.51,-0.79,-37.9,-14.3,-19.36,2.64,-5.72,-57.69,-22.35,-30.3
