Periodo,Volumen_producción,Personal_ocupado,Horas_trabajadas,Remuneraciones_medias_reales
feb-07,1.04,-0.84,-0.22,0.39
mar-07,0.66,-0.52,-0.71,-0.25
abr-07,-1.04,-0.25,-0.4,1.13
may-07,1.54,-0.16,0.05,0.33
jun-07,-0.28,0.24,-0.16,-1.12
jul-07,-0.58,-0.04,-0.14,0.52
ago-07,0.57,0.39,0.98,0.66
sep-07,-1.3,-0.4,0.7,-1.22
oct-07,0.09,0.25,-0.47,1.48
nov-07,0.21,-0.28,0.0,-1.82
dic-07,-0.04,-0.01,0.23,1.1
ene-08,0.81,1.68,-0.17,-0.3
feb-08,-0.69,0.23,0.43,-0.27
mar-08,-0.27,-0.88,0.06,-0.49
abr-08,1.02,-0.39,-0.01,3.74
may-08,-0.66,-0.05,-1.32,-2.96
jun-08,-0.22,-0.4,0.3,1.23
jul-08,-3.77,-0.17,-0.63,-1.87
ago-08,1.99,-0.8,-0.57,-0.17
sep-08,-0.74,-0.92,-0.73,1.65
oct-08,-1.67,-1.06,-0.61,-0.18
nov-08,-1.98,-1.3,-0.49,-0.29
dic-08,-1.8,-1.18,-4.57,-0.77
ene-09,-5.47,-1.5,-2.28,-1.23
feb-09,1.76,-1.51,0.84,1.25
mar-09,-2.52,-1.45,-1.43,0.18
abr-09,0.68,-0.42,-0.85,-0.08
may-09,-1.15,-0.73,-2.13,-0.38
jun-09,-1.06,0.61,1.3,-1.21
jul-09,3.71,-1.06,1.09,1.53
ago-09,0.82,0.99,0.09,-1.24
sep-09,3.03,0.72,1.47,0.82
oct-09,2.58,0.45,0.94,-1.14
nov-09,2.44,0.61,1.99,0.98
dic-09,-0.31,0.5,-0.71,0.3
ene-10,-2.09,-0.22,-0.81,-0.23
feb-10,0.08,0.44,1.23,-0.65
mar-10,0.39,0.16,0.55,1.78
abr-10,1.23,0.88,0.97,-2.17
may-10,0.74,1.11,0.52,-0.98
jun-10,-0.24,0.58,0.06,1.78
jul-10,-0.18,0.79,1.0,-0.86
ago-10,1.53,0.47,0.4,0.66
sep-10,-1.65,0.13,-0.09,-1.0
oct-10,0.4,-0.14,0.58,-0.05
nov-10,0.4,0.44,0.71,0.08
dic-10,-0.51,0.17,0.08,0.02
ene-11,1.47,0.17,0.68,1.23
feb-11,0.41,0.35,-0.56,-0.43
mar-11,1.78,0.42,0.58,1.05
abr-11,-2.29,0.28,-0.33,-1.62
may-11,1.12,0.02,0.73,1.19
jun-11,-0.74,0.27,-0.09,0.02
jul-11,1.33,0.18,0.1,-0.66
ago-11,-0.78,0.01,0.45,2.16
sep-11,1.57,0.52,0.16,-0.67
oct-11,-0.09,-0.1,0.08,0.62
nov-11,1.18,-0.08,0.18,-0.08
dic-11,1.13,0.23,0.58,-0.38
ene-12,1.29,0.56,1.49,0.44
feb-12,0.09,0.31,-1.07,-0.24
mar-12,0.28,0.3,0.56,-0.0
abr-12,0.02,0.26,0.12,0.39
may-12,-0.98,0.38,0.25,0.61
jun-12,2.19,0.38,0.82,-0.82
jul-12,0.49,0.34,-0.07,0.09
ago-12,-3.45,0.12,0.28,-0.84
sep-12,3.02,0.17,0.32,0.61
oct-12,-2.06,0.12,-0.17,-1.68
nov-12,1.72,-0.15,0.18,1.42
dic-12,1.11,1.02,0.13,0.59
ene-13,-0.93,-0.23,0.03,2.25
feb-13,0.82,0.17,0.65,-1.68
mar-13,-0.92,0.06,0.01,-0.46
abr-13,0.47,0.52,0.31,1.62
may-13,1.3,0.46,0.32,-3.36
jun-13,-0.42,-0.04,-0.48,1.18
jul-13,-0.5,-0.01,0.01,1.45
ago-13,0.12,0.08,0.33,-0.69
sep-13,-0.88,-0.17,0.37,-0.46
oct-13,0.29,0.18,0.07,0.9
nov-13,0.24,0.39,0.15,-0.4
dic-13,0.62,0.34,0.09,0.65
ene-14,1.32,-0.05,0.14,0.08
feb-14,-2.04,0.56,0.76,-0.59
mar-14,3.39,0.17,-0.1,-0.63
abr-14,0.35,0.31,0.47,0.68
may-14,0.52,0.13,-0.28,-0.46
jun-14,-0.52,0.21,0.8,1.01
jul-14,0.9,0.4,0.36,0.12
ago-14,-3.05,0.35,-0.32,-0.78
sep-14,2.48,0.43,0.41,0.24
oct-14,0.64,0.57,0.63,-0.13
nov-14,0.1,0.33,0.82,0.34
dic-14,-1.95,0.02,-0.32,-0.49
ene-15,-0.45,0.5,-0.13,0.01
feb-15,1.3,0.22,0.85,0.96
mar-15,-0.42,0.4,-0.15,0.26
abr-15,0.92,-0.01,1.74,-1.02
may-15,-0.87,0.37,-1.19,1.34
jun-15,0.28,0.25,0.16,-0.79
jul-15,-0.63,-0.05,0.59,0.54
ago-15,0.57,0.04,0.09,0.24
sep-15,1.56,0.65,0.1,-0.89
oct-15,1.37,0.39,0.83,1.2
nov-15,-2.19,0.14,-0.15,0.44
dic-15,1.44,-0.04,-0.03,-0.46
ene-16,-0.55,0.71,0.91,0.38
feb-16,-1.17,0.46,0.21,-0.21
mar-16,-1.74,-0.17,0.57,0.22
abr-16,0.06,0.25,0.05,1.53
may-16,0.14,0.39,0.97,-0.4
jun-16,0.77,0.31,-0.13,0.7
jul-16,-0.23,0.22,-0.65,-0.08
ago-16,0.54,0.42,0.99,0.4
sep-16,-0.71,0.64,0.61,1.23
oct-16,1.01,0.25,0.07,-0.75
nov-16,0.23,0.16,0.7,-0.73
dic-16,0.68,0.43,0.81,0.21
ene-17,0.9,0.47,0.36,-0.5
feb-17,0.79,0.35,-0.19,-0.7
mar-17,0.94,0.8,1.25,0.05
abr-17,-0.61,0.03,-1.09,0.46
may-17,-0.87,0.1,0.4,0.01
jun-17,-0.73,0.38,1.28,-0.18
jul-17,-1.07,0.64,-0.47,-0.29
ago-17,1.27,0.46,0.75,-0.54
sep-17,-3.52,0.1,-0.01,1.26
oct-17,2.77,0.02,0.08,-0.16
nov-17,0.64,0.59,0.68,-0.08
dic-17,-0.29,0.34,0.73,-1.04
ene-18,-0.83,0.1,-0.36,0.09
feb-18,-0.85,0.35,-0.22,1.13
mar-18,2.36,0.27,-0.08,0.32
abr-18,-1.3,0.32,0.81,-0.41
may-18,1.84,0.34,-0.03,4.59
jun-18,-0.69,0.32,-0.35,-3.65
jul-18,0.46,0.14,0.69,-1.15
ago-18,0.46,0.34,0.18,0.22
sep-18,-0.49,0.11,0.46,-0.59
oct-18,-1.12,0.23,0.02,0.08
nov-18,0.85,0.35,-0.5,-0.02
dic-18,-1.88,-0.06,-0.05,0.65
ene-19,-0.37,0.31,0.0,0.81
feb-19,1.76,0.21,0.87,-0.37
mar-19,-1.36,0.18,-0.04,0.17
abr-19,1.08,-0.01,0.51,0.37
may-19,0.91,0.27,0.19,3.66
jun-19,0.98,-0.04,-0.33,-3.38
jul-19,0.4,0.2,0.58,-0.37
ago-19,-1.19,-0.26,-0.45,1.38
sep-19,0.33,-0.3,-0.7,-0.07
oct-19,-4.55,-0.33,-0.39,-0.95
nov-19,2.34,-0.29,-0.25,0.73
dic-19,-1.81,-0.27,-0.96,0.13
ene-20,1.58,0.2,0.67,-1.01
feb-20,-0.62,-0.03,0.64,0.67
mar-20,-5.49,-0.69,-2.52,-0.98
abr-20,-31.15,-1.59,-24.33,-1.32
may-20,1.3,-1.35,4.62,0.03
jun-20,34.84,0.21,16.53,0.31
jul-20,6.01,0.84,3.41,1.86
ago-20,1.75,0.37,2.06,0.97
sep-20,5.65,0.36,0.87,-0.76
oct-20,0.97,0.84,1.41,2.65
nov-20,-0.78,0.25,-0.28,-0.61
dic-20,1.42,0.79,0.76,-0.9
ene-21,-0.82,0.31,0.05,1.03
feb-21,-3.08,0.11,0.54,-0.81
mar-21,5.74,0.31,1.05,1.1
abr-21,-2.88,0.09,-0.24,-2.84
may-21,-1.2,-0.27,0.02,2.61
jun-21,0.93,0.54,0.5,-3.18
jul-21,-0.06,0.69,0.26,3.92
ago-21,-0.18,-0.61,0.06,-0.21
sep-21,-1.25,0.41,0.04,0.79
oct-21,2.48,-0.01,0.09,0.5
nov-21,1.65,0.32,0.85,0.06
dic-21,2.08,-0.05,0.09,1.25
ene-22,0.57,0.22,0.58,-0.28
feb-22,0.56,0.56,0.11,0.61
mar-22,0.38,0.68,0.5,-1.34
abr-22,-0.03,-0.31,-0.31,1.82
may-22,1.18,0.08,0.99,-1.09
jun-22,-3.56,-0.04,-1.36,-0.05
jul-22,3.35,-0.23,0.46,0.42
ago-22,1.03,0.22,-0.1,-0.9
sep-22,-1.14,0.28,-0.3,1.34
oct-22,1.54,-0.14,0.42,-0.68
nov-22,0.09,0.13,0.02,0.31
dic-22,0.9,0.19,0.8,1.19
ene-23,-0.71,-0.68,0.1,0.6
feb-23,-1.39,-0.03,-1.37,-0.21
mar-23,0.62,-0.2,-0.53,1.18
abr-23,1.61,-0.03,0.71,0.61
may-23,-0.56,0.14,-0.71,1.04
jun-23,-0.88,0.19,0.86,0.36
jul-23,0.79,-0.11,-0.72,-0.57
ago-23,-1.55,0.16,0.15,-0.2
sep-23,1.83,-0.79,0.1,1.44
oct-23,-0.65,-0.01,-0.47,-0.94
nov-23,-0.75,-0.13,-0.6,1.08
dic-23,0.32,-0.26,0.18,0.39
ene-24,1.26,-0.59,-0.4,-0.04
feb-24,-0.34,-0.1,-0.23,1.0
mar-24,1.3,-0.51,-0.18,0.84
abr-24,-0.6,0.47,-0.44,-1.17
may-24,-1.2,0.02,0.54,1.41
jun-24,1.4,-0.22,-0.61,0.04
jul-24,0.23,0.14,0.07,-1.57
ago-24,0.73,-0.17,0.11,2.53
sep-24,1.23,-0.31,-0.11,-0.39
oct-24,-2.86,-0.19,-0.83,0.61
nov-24,0.39,-0.18,0.45,1.03
dic-24,-1.52,-0.12,-0.78,-0.32
ene-25,0.09,0.16,-0.05,1.07
feb-25,2.38,-0.24,0.71,0.54
mar-25,-1.51,-0.23,-0.69,-0.3
abr-25,-0.11,-0.23,0.3,1.43
may-25,1.06,-0.38,-1.09,-0.79
jun-25,2.41,-0.24,0.03,0.19
jul-25,-2.71,-0.19,-0.28,0.53
ago-25,-0.28,-0.54,-0.66,0.65
sep-25,0.79,-0.21,-0.38,-0.94
oct-25,-0.13,-0.1,0.57,1.79
nov-25,1.0,-0.44,-0.6,-0.57
dic-25,-0.06,0.03,-0.12,0.99
ene-26,-2.77,0.22,-0.44,-0.3
feb-26,3.43,-0.29,0.16,0.1
