Periodo,IAT_Nivel,Mensual,Anual,IAT_construccion_Nivel,IAT_construccion_Mensual,IAT_construccion_Anual,IAT_comercio_Nivel,IAT_comercio_Mensual,IAT_comercio_Anual
jun-11,,,,48.12,,,57.63,,
jul-11,,,,49.99,1.88,,57.83,0.2,
ago-11,,,,53.48,3.49,,62.63,4.81,
sep-11,,,,51.44,-2.04,,63.7,1.07,
oct-11,,,,51.87,0.43,,62.58,-1.12,
nov-11,,,,52.0,0.13,,61.25,-1.33,
dic-11,,,,51.9,-0.1,,62.12,0.87,
ene-12,,,,51.95,0.05,,61.45,-0.67,
feb-12,,,,50.45,-1.5,,61.59,0.13,
mar-12,,,,52.55,2.1,,61.96,0.38,
abr-12,,,,52.46,-0.09,,57.89,-4.07,
may-12,,,,53.59,1.13,,62.72,4.83,
jun-12,,,,53.95,0.35,5.83,63.14,0.42,5.51
jul-12,,,,54.2,0.25,4.21,62.51,-0.63,4.68
ago-12,,,,51.85,-2.35,-1.63,61.26,-1.25,-1.38
sep-12,,,,52.35,0.5,0.91,61.72,0.46,-1.99
oct-12,,,,52.84,0.49,0.97,61.08,-0.64,-1.5
nov-12,,,,50.52,-2.33,-1.48,62.04,0.96,0.79
dic-12,,,,50.82,0.31,-1.07,58.55,-3.49,-3.57
ene-13,,,,49.83,-1.0,-2.12,61.18,2.63,-0.27
feb-13,,,,50.34,0.52,-0.11,61.46,0.28,-0.13
mar-13,,,,48.57,-1.77,-3.98,60.03,-1.43,-1.93
abr-13,,,,51.51,2.94,-0.95,59.93,-0.1,2.04
may-13,,,,50.22,-1.29,-3.37,60.63,0.7,-2.09
jun-13,,,,49.59,-0.63,-4.35,59.63,-1.0,-3.51
jul-13,,,,49.8,0.21,-4.4,60.36,0.72,-2.15
ago-13,,,,50.37,0.57,-1.48,60.84,0.48,-0.41
sep-13,,,,49.93,-0.44,-2.42,59.66,-1.18,-2.05
oct-13,,,,50.23,0.3,-2.61,61.03,1.37,-0.04
nov-13,,,,51.93,1.7,1.42,60.98,-0.06,-1.07
dic-13,,,,51.34,-0.59,0.52,61.48,0.5,2.93
ene-14,,,,50.38,-0.96,0.56,60.89,-0.59,-0.3
feb-14,,,,50.79,0.41,0.45,60.35,-0.53,-1.11
mar-14,,,,51.0,0.21,2.43,61.25,0.9,1.22
abr-14,,,,51.09,0.08,-0.43,61.5,0.24,1.56
may-14,,,,51.4,0.31,1.17,59.85,-1.64,-0.78
jun-14,,,,51.6,0.21,2.01,60.45,0.6,0.82
jul-14,,,,51.67,0.07,1.87,60.45,-0.0,0.09
ago-14,,,,52.18,0.51,1.81,60.46,0.01,-0.38
sep-14,,,,52.74,0.56,2.81,60.28,-0.18,0.62
oct-14,,,,52.93,0.19,2.7,60.52,0.24,-0.51
nov-14,,,,53.27,0.34,1.34,60.45,-0.07,-0.53
dic-14,,,,52.57,-0.7,1.23,59.69,-0.76,-1.79
ene-15,,,,52.82,0.24,2.44,61.07,1.38,0.19
feb-15,,,,52.19,-0.63,1.4,61.02,-0.05,0.67
mar-15,,,,52.23,0.04,1.22,60.6,-0.42,-0.65
abr-15,,,,52.39,0.16,1.3,62.0,1.4,0.5
may-15,,,,51.63,-0.75,0.24,61.09,-0.91,1.23
jun-15,,,,51.92,0.28,0.31,62.79,1.7,2.34
jul-15,,,,52.29,0.38,0.62,61.38,-1.41,0.93
ago-15,,,,51.36,-0.93,-0.82,61.09,-0.29,0.64
sep-15,,,,51.74,0.38,-1.0,61.53,0.44,1.25
oct-15,,,,51.99,0.26,-0.94,60.54,-1.0,0.01
nov-15,,,,51.86,-0.14,-1.42,60.63,0.1,0.18
dic-15,,,,52.81,0.95,0.23,61.51,0.88,1.82
ene-16,,,,52.54,-0.27,-0.28,61.15,-0.37,0.07
feb-16,,,,52.28,-0.25,0.09,62.07,0.93,1.05
