Periodo,IPM_Nivel,Mensual,Anual,Pedidos_esperados_Nivel,Pedidos_esperados_Mensual,Pedidos_esperados_Anual,Produccion_esperada_Nivel,Produccion_esperada_Mensual,Produccion_esperada_Anual,Personal_ocupado_Nivel,Personal_ocupado_Mensual,Personal_ocupado_Anual,Entrega_insumos_Nivel,Entrega_insumos_Mensual,Entrega_insumos_Anual,Inventarios_Nivel,Inventarios_Mensual,Inventarios_Anual
ene-04,54.12,,,54.74,,,57.78,,,50.31,,,47.63,,,,,
feb-04,53.43,-0.7,,55.22,0.48,,57.52,-0.26,,50.82,0.5,,47.34,-0.29,,,-1.46,
mar-04,53.68,0.25,,55.63,0.41,,55.22,-2.3,,50.92,0.1,,46.69,-0.65,,,-1.15,
abr-04,53.58,-0.1,,56.68,1.05,,55.75,0.53,,51.03,0.11,,46.4,-0.28,,,-0.92,
may-04,53.82,0.24,,57.32,0.64,,54.53,-1.22,,50.89,-0.14,,57.85,11.45,,,0.85,
jun-04,56.76,2.95,,59.8,2.48,,58.39,3.87,,52.03,1.15,,55.48,-2.37,,,0.88,
jul-04,56.81,0.04,,60.84,1.05,,59.16,0.77,,50.64,-1.39,,53.79,-1.69,,,0.28,
ago-04,55.57,-1.24,,58.82,-2.02,,56.97,-2.19,,50.23,-0.41,,60.06,6.28,,,-1.2,
sep-04,54.64,-0.93,,57.9,-0.92,,58.34,1.37,,50.12,-0.11,,48.06,-12.0,,,-0.55,
oct-04,52.98,-1.65,,56.67,-1.23,,54.23,-4.11,,50.01,-0.11,,48.58,0.52,,,-0.51,
nov-04,51.76,-1.23,,55.75,-0.92,,53.23,-1.01,,50.14,0.13,,46.54,-2.04,,,-1.67,
dic-04,56.82,5.06,,59.48,3.74,,58.67,5.44,,52.92,2.78,,51.08,4.54,,,0.61,
ene-05,52.46,-4.36,-1.67,51.24,-8.25,-3.5,55.86,-2.81,-1.92,51.06,-1.86,0.74,50.06,-1.02,2.43,,-0.28,-5.11
feb-05,53.87,1.41,0.44,57.85,6.62,2.63,59.86,4.01,2.34,51.25,0.19,0.43,44.9,-5.16,-2.44,,-1.41,-5.06
mar-05,54.24,0.37,0.56,58.03,0.18,2.4,56.89,-2.97,1.67,50.97,-0.28,0.05,41.98,-2.92,-4.7,,1.97,-1.94
