Periodo,Valor_producción,Personal_ocupado,Remuneraciones_por_persona,Horas_trabajadas,Edificacion_Anual,Agua_saneamiento_Anual,Electricidad_telecom_Anual,Transporte_urbanizacion_Anual,Petroleo_petroquimica_Anual,Otras_construcciones_Anual
feb-06,-1.0,2.47,0.05,0.37,,,,,,
mar-06,2.79,0.36,0.9,1.46,,,,,,
abr-06,-1.0,-0.1,-0.3,0.19,,,,,,
may-06,1.37,0.12,1.11,0.96,,,,,,
jun-06,-0.56,-0.06,-0.01,0.63,,,,,,
jul-06,1.65,0.09,-0.29,0.39,,,,,,
ago-06,0.21,2.31,0.39,0.03,,,,,,
sep-06,-0.06,0.33,-0.51,-0.16,,,,,,
oct-06,-0.16,-1.21,0.14,-1.3,,,,,,
nov-06,1.23,0.14,0.01,1.03,,,,,,
dic-06,1.21,-0.45,-0.15,-2.31,,,,,,
ene-07,-1.21,0.38,0.37,1.43,7.49,-22.76,-12.91,4.35,19.06,11.24
feb-07,0.3,0.67,-0.2,-0.33,9.57,-43.28,6.58,10.92,-0.64,16.38
mar-07,-0.08,0.51,0.15,-0.18,7.78,-33.03,-7.93,2.91,7.05,5.37
abr-07,-0.02,-1.18,0.66,0.93,5.27,-21.02,-5.97,1.54,5.72,9.77
may-07,-1.41,-0.23,0.39,-0.07,5.33,-34.56,-24.19,2.08,7.11,7.12
jun-07,-1.57,0.71,-0.28,0.03,2.43,-20.56,-25.96,8.75,-10.86,12.35
jul-07,0.1,-0.23,1.0,0.55,7.08,-19.97,-22.32,10.34,-22.87,-2.39
ago-07,2.46,1.44,0.4,-1.01,4.18,-7.9,-12.07,12.54,-22.27,1.41
sep-07,0.93,0.39,-0.5,0.13,5.86,-28.07,-0.1,17.33,-16.78,-9.77
oct-07,-1.59,-0.64,-0.2,0.21,7.58,-30.23,-24.09,2.41,12.86,-13.09
nov-07,1.22,1.46,-0.16,-0.83,7.17,-16.36,-21.89,2.74,5.04,-23.84
dic-07,-0.22,-0.85,0.44,-2.04,7.45,3.85,7.16,5.38,-21.89,-23.78
ene-08,0.29,-1.05,0.14,0.08,3.23,3.85,-0.76,11.79,-25.35,5.32
feb-08,-0.45,0.85,-2.24,3.38,4.95,31.62,1.45,1.09,-25.39,-9.76
mar-08,-5.62,-3.64,0.16,1.66,-2.63,10.98,6.6,4.49,-25.54,-10.93
abr-08,4.54,2.57,3.59,-1.46,4.73,12.92,3.53,5.17,-19.39,-13.01
may-08,-1.12,0.07,-0.88,0.25,5.33,25.03,13.63,3.8,-31.2,-14.48
jun-08,0.78,-0.24,0.84,-0.26,4.25,14.76,66.39,3.17,-17.74,-11.95
jul-08,-0.93,-0.19,-0.39,-0.64,2.19,10.71,24.54,8.18,-20.69,-15.05
ago-08,-3.21,-2.83,-0.22,0.27,-6.08,7.97,1.78,9.49,-23.97,-12.98
sep-08,-1.58,-1.37,-0.49,-0.97,-8.65,1.63,3.11,6.29,-27.86,-3.33
oct-08,0.7,-0.27,0.63,-2.2,-7.45,-3.06,19.3,4.38,-25.3,5.45
nov-08,-2.09,-1.4,0.16,0.33,-10.47,-17.06,25.88,9.0,-31.79,-0.48
dic-08,1.36,-0.17,0.6,-0.42,-12.32,-22.82,31.14,6.69,-16.46,3.95
ene-09,1.41,0.81,-0.49,-1.12,-15.2,-15.34,27.47,10.21,-13.06,-21.79
feb-09,1.01,-1.9,1.38,-0.23,-20.67,-7.87,17.1,24.41,8.83,-23.34
mar-09,-2.46,-0.57,-0.4,-0.31,-17.08,-6.82,16.47,24.26,0.78,-24.52
abr-09,0.72,1.0,-0.18,-1.15,-20.98,6.33,20.17,16.07,5.93,-28.28
may-09,-0.28,-1.21,-0.1,-0.8,-19.57,20.73,12.32,12.93,20.67,-26.41
jun-09,2.25,4.01,-0.82,0.5,-14.48,6.27,-11.74,16.25,7.09,-30.2
jul-09,-1.7,-3.66,0.32,-1.09,-16.96,11.62,16.22,9.91,1.02,-17.08
ago-09,-3.57,-2.54,-1.42,-0.23,-13.56,-4.71,28.56,1.04,20.11,-28.28
sep-09,-1.44,-0.92,0.4,-1.08,-12.98,16.65,29.02,-4.31,11.12,-22.55
oct-09,0.02,0.67,0.08,0.85,-13.95,25.07,26.85,2.25,16.05,-30.96
nov-09,1.01,-3.41,-0.56,-1.31,-11.2,27.26,25.88,-6.74,20.94,-11.22
dic-09,-2.22,0.51,-0.76,0.12,-8.14,17.57,12.54,-16.67,-2.28,-18.15
ene-10,1.95,3.58,1.57,0.93,-7.03,18.81,18.69,-8.7,2.95,-16.9
feb-10,0.41,0.12,-0.64,-0.16,-6.43,10.27,35.92,-12.7,-6.16,-0.94
mar-10,2.04,1.52,0.2,0.04,-6.97,21.46,36.86,-4.25,0.81,15.26
abr-10,0.59,-0.32,0.2,-0.05,-11.49,3.59,34.94,11.21,-11.23,9.06
may-10,0.29,-0.04,-0.77,-0.25,-13.41,-14.68,53.64,15.59,-9.03,10.39
jun-10,-2.39,-0.99,0.72,-0.17,-12.9,-8.31,25.02,3.06,-4.22,10.26
jul-10,1.14,1.14,-0.62,-0.55,-12.4,-12.55,-17.38,8.81,26.51,-0.17
ago-10,3.03,0.4,0.24,2.53,-8.12,3.38,1.89,18.35,5.64,20.95
sep-10,1.0,1.11,2.39,1.6,-7.4,-3.95,6.84,24.29,23.03,5.75
oct-10,0.57,0.3,-1.54,1.92,-6.03,0.04,9.04,22.24,10.95,20.76
