Periodo,Tasa_participacion_Total,Tasa_participacion_Hombres,Tasa_participacion_Mujeres,Tasa_subocupacion,Tasa_desocupacion_Total,Tasa_desocupacion_Hombres,Tasa_desocupacion_Mujeres,Tasa_informalidad,Tasa_ocupacion_Total,Tasa_ocupacion_parcial_Total,Tasa_participacion_urbana,Tasa_desocupacion_urbana,Tasa_subocupacion_urbana,Tasa_informalidad_urbana
ene-05,59.42,80.75,40.35,9.51,3.75,3.46,4.26,59.35,96.25,9.63,60.61,4.62,7.95,48.05
feb-05,59.29,80.66,40.43,9.22,3.6,3.31,4.09,59.14,96.4,9.31,60.65,4.82,7.83,48.32
mar-05,59.58,80.41,41.18,7.48,3.7,3.31,4.33,59.86,96.3,10.26,60.63,5.05,6.98,48.85
abr-05,58.29,79.26,39.73,7.0,3.62,3.37,4.03,59.42,96.38,9.01,60.64,4.65,6.82,48.21
may-05,59.22,80.2,41.03,8.07,3.84,3.78,3.95,59.26,96.16,9.39,60.63,5.14,7.65,47.53
jun-05,59.43,80.02,41.41,7.72,3.83,3.74,3.9,58.84,96.17,9.41,60.91,4.71,7.15,47.68
jul-05,59.35,80.05,41.4,7.42,3.65,3.29,4.45,60.31,96.35,9.48,60.8,4.79,7.14,48.49
ago-05,59.71,80.51,41.47,7.28,3.45,3.12,3.91,59.98,96.55,8.61,61.44,4.79,7.16,48.87
sep-05,59.85,80.36,42.05,7.19,3.45,3.46,3.53,59.97,96.55,9.78,61.28,4.35,6.66,48.85
oct-05,59.6,80.19,41.52,6.86,3.24,2.92,3.67,59.96,96.76,9.87,60.93,4.25,6.19,49.11
nov-05,58.97,79.96,41.11,6.41,3.03,2.91,3.28,59.56,96.97,8.19,61.21,4.04,5.68,48.74
dic-05,60.13,80.8,41.89,6.08,3.11,2.96,3.3,59.62,96.89,8.0,62.01,4.09,5.16,49.3
ene-06,60.03,80.9,41.81,6.12,3.25,3.1,3.49,59.38,96.75,8.74,61.31,4.31,4.93,48.19
feb-06,60.0,80.74,41.93,6.0,3.53,3.55,3.53,58.19,96.47,9.14,62.11,4.55,5.6,47.56
