Entidad,MDD_trimestral,MDD_anual
Aguascalientes,3343962.0,13639182.0
Baja California,16106858.0,56625640.0
Baja California Sur,103936.0,396712.0
Campeche,1752904.0,8406668.0
Coahuila,16219983.0,65505117.0
Colima,593104.0,1950581.0
Chiapas,262910.0,1318150.0
Chihuahua,33169181.0,109505006.0
Ciudad de México,874494.0,3323332.0
Durango,799795.0,2946893.0
Guanajuato,9468574.0,37988316.0
Guerrero,285128.0,921257.0
Hidalgo,761004.0,3063414.0
Jalisco,20181459.0,52576520.0
México,4986466.0,21487741.0
Michoacán,1558989.0,6503083.0
Morelos,735509.0,3474122.0
Nayarit,81874.0,
Nuevo León,16205859.0,59065222.0
Oaxaca,341973.0,1361209.0
Puebla,4592036.0,17026910.0
Querétaro,4854276.0,18224781.0
Quintana Roo,2563.0,19512.0
San Luis Potosí,6771387.0,26096441.0
Sinaloa,622083.0,3229434.0
Sonora,7400999.0,28611601.0
Tabasco,1364163.0,6101730.0
Tamaulipas,8932343.0,36296590.0
Tlaxcala,509144.0,2007737.0
Veracruz,1459597.0,6898892.0
Yucatán,742695.0,2561935.0
Zacatecas,1347872.0,4932024.0
