Periodo,Total_Mensual,Total_Anual,Maquinaria_y_equipo_Mensual,Maquinaria_y_equipo_Anual,Construcción_Mensual,Construcción_Anual,Construccion_residencial_Anual,Construccion_no_residencial_Anual,Maquinaria_nacional_Anual,Maquinaria_importada_Anual
feb-93,2.18,,-0.85,,3.27,,,,,
mar-93,1.37,,-0.42,,2.05,,,,,
abr-93,-0.86,,3.34,,-2.95,,,,,
may-93,1.93,,-0.98,,2.83,,,,,
jun-93,-3.85,,-5.95,,-2.22,,,,,
jul-93,1.76,,3.28,,1.98,,,,,
ago-93,2.6,,2.63,,0.81,,,,,
sep-93,1.12,,-0.43,,2.2,,,,,
oct-93,2.16,,4.03,,1.39,,,,,
nov-93,3.55,,0.81,,3.85,,,,,
dic-93,-0.54,,19.22,,-7.41,,,,,
ene-94,2.33,14.41,-14.5,7.19,11.4,17.33,-5.38,36.91,4.26,14.4
feb-94,2.5,14.77,-1.49,6.5,3.8,17.93,-3.92,37.39,1.3,17.82
mar-94,3.14,16.78,-0.22,6.71,4.79,21.1,-3.89,41.4,-3.52,33.83
abr-94,2.43,20.66,2.34,5.67,1.99,27.27,1.32,51.37,3.7,12.48
may-94,-2.32,15.64,-3.49,3.0,-1.45,21.96,-3.56,39.6,-0.42,11.03
jun-94,0.47,20.83,3.26,13.08,-0.82,23.71,-0.8,43.18,7.05,23.32
jul-94,-0.31,18.38,0.3,9.82,-0.51,20.69,0.39,37.58,2.69,24.65
ago-94,0.72,16.21,0.77,7.84,0.4,20.2,5.15,32.41,2.24,22.51
sep-94,-1.39,13.32,-0.19,8.1,-1.9,15.37,7.01,24.38,3.15,22.01
oct-94,1.42,12.5,-0.62,3.27,1.61,15.63,10.95,18.28,-8.23,31.59
nov-94,-2.05,6.41,2.63,5.14,-3.52,7.43,10.86,4.84,-5.0,36.33
dic-94,-10.82,-4.58,-4.15,-15.47,-12.35,1.7,16.34,-7.87,-21.76,3.29
ene-95,-11.92,-17.88,-26.85,-27.69,-5.45,-13.69,7.3,-26.68,-26.37,-29.44
feb-95,-17.38,-33.81,-10.86,-34.57,-20.11,-33.58,-10.05,-47.96,-30.6,-44.22
mar-95,0.11,-35.75,2.71,-32.65,-0.25,-36.77,-9.87,-50.8,-31.78,-33.55
abr-95,-2.03,-38.55,-12.95,-42.71,0.03,-37.98,-11.24,-54.09,-42.63,-42.17
may-95,-7.47,-41.8,8.66,-35.5,-10.59,-43.73,-12.29,-59.54,-36.72,-33.36
jun-95,4.46,-39.48,0.48,-37.23,5.21,-40.31,-9.48,-58.37,-41.12,-31.13
jul-95,0.54,-38.96,1.92,-36.22,-0.82,-40.5,-10.66,-57.75,-37.72,-32.64
ago-95,0.97,-38.81,-1.71,-37.79,2.81,-39.07,-8.75,-58.51,-40.86,-31.79
sep-95,4.92,-34.91,1.63,-36.66,5.71,-34.34,-11.61,-53.55,-39.68,-31.24
oct-95,0.31,-35.62,-1.3,-37.09,0.61,-34.99,-9.66,-50.99,-37.07,-36.86
nov-95,3.81,-31.76,-2.42,-40.19,7.34,-27.67,-5.02,-42.46,-39.79,-42.0
dic-95,3.82,-20.57,2.06,-36.31,4.08,-14.11,-2.34,-24.15,-39.26,-30.04
ene-96,1.8,-8.19,6.19,-7.55,1.64,-7.66,-1.17,-13.81,-12.21,5.07
feb-96,-2.68,8.15,0.15,3.88,-4.48,10.41,8.26,12.55,0.62,19.5
mar-96,1.22,9.35,-0.05,1.09,0.88,11.65,4.24,20.3,0.2,1.74
abr-96,3.93,16.0,4.11,20.9,2.83,14.77,4.02,28.03,17.54,32.96
may-96,1.85,27.68,6.26,18.23,2.09,31.04,7.7,56.42,22.39,12.04
jun-96,3.5,26.51,0.58,18.35,3.3,28.66,6.26,56.93,27.99,1.21
jul-96,2.6,29.09,0.41,16.59,3.97,34.88,8.52,67.59,25.89,3.11
ago-96,0.04,27.91,2.37,21.44,-0.95,29.94,0.22,70.47,28.66,8.01
sep-96,0.98,23.12,2.07,21.97,-0.11,22.8,2.18,55.76,27.15,12.07
oct-96,2.98,26.39,4.19,28.75,3.8,26.7,1.33,55.93,33.02,20.9
nov-96,-0.57,21.05,-0.69,31.04,-0.31,17.67,-3.98,41.26,32.18,26.91
dic-96,2.72,19.78,6.31,36.5,1.57,14.82,-4.84,34.59,39.24,32.12
ene-97,-3.13,13.98,0.75,29.51,-3.62,8.88,-6.53,24.99,28.71,29.76
feb-97,1.25,18.58,0.22,29.6,-0.15,13.82,-0.84,29.07,23.84,37.14
mar-97,0.28,17.48,0.54,30.37,-0.84,11.88,1.16,21.45,25.73,39.44
abr-97,4.9,18.58,2.75,28.67,6.48,15.85,8.06,23.14,24.82,33.34
may-97,1.81,18.53,1.85,23.33,1.95,15.7,10.58,20.07,16.11,39.11
jun-97,1.68,16.45,8.15,32.62,-1.0,10.89,7.23,14.28,24.18,52.01
jul-97,0.36,13.91,1.11,33.54,0.84,7.55,5.37,8.6,28.68,43.9
ago-97,2.77,17.02,1.49,32.39,2.81,11.64,12.93,10.16,22.51,53.03
sep-97,-0.77,14.98,2.61,33.08,-1.73,9.82,9.95,9.15,29.67,41.8
oct-97,0.47,12.17,1.2,29.27,0.14,5.95,7.45,5.35,23.88,40.27
nov-97,3.27,16.51,7.9,40.45,0.37,6.67,8.98,5.86,36.89,45.65
dic-97,-2.89,10.14,-2.18,29.23,-2.83,2.05,1.75,2.16,22.95,41.71
ene-98,-0.23,13.43,-0.71,27.36,1.92,7.92,5.49,10.02,20.06,40.75
feb-98,7.25,20.16,7.77,36.96,4.96,13.43,8.75,16.9,25.41,60.72
mar-98,1.45,21.55,0.43,36.8,2.16,16.86,11.13,20.44,32.28,47.93
abr-98,-2.68,12.77,-8.18,22.24,-1.44,8.17,2.96,12.33,20.22,21.57
may-98,3.78,14.95,11.12,33.36,0.73,6.87,0.7,11.48,24.22,49.85
jun-98,-3.97,8.56,-4.77,17.42,-2.22,5.55,-0.38,10.5,12.4,29.05
jul-98,1.58,9.87,0.64,16.88,2.17,6.94,1.57,10.98,5.36,38.86
ago-98,-0.53,6.34,-2.64,12.13,-0.03,3.99,-1.86,8.77,14.48,8.08
sep-98,2.2,9.53,1.29,10.69,3.25,9.27,5.17,12.96,7.69,15.66
oct-98,-1.08,7.85,-0.74,8.56,-1.51,7.46,2.88,11.31,9.14,7.99
nov-98,-2.01,2.33,0.61,1.23,-3.76,3.04,-1.51,6.79,-1.58,9.26
dic-98,1.51,6.97,1.33,4.86,1.17,7.28,3.04,10.59,6.55,1.42
ene-99,3.08,10.52,1.64,7.34,5.54,11.09,7.15,14.21,7.22,7.28
feb-99,0.39,3.45,0.1,-0.29,-0.71,5.09,2.21,7.25,0.91,-2.29
mar-99,1.24,3.23,2.97,2.23,1.23,4.14,1.97,5.34,-6.78,16.46
abr-99,-1.18,4.83,-2.84,8.18,-1.41,4.18,2.46,5.4,0.48,20.48
may-99,-0.2,0.82,0.96,-1.71,-0.76,2.63,0.0,4.13,-1.73,-2.55
jun-99,0.93,5.96,0.81,4.05,2.0,7.06,5.96,7.28,-0.37,10.65
jul-99,-2.18,2.04,-2.14,1.18,-2.26,2.42,1.68,3.02,0.54,2.63
ago-99,1.18,3.8,4.23,8.32,-0.58,1.85,1.21,2.56,0.25,24.64
sep-99,-0.23,1.32,-1.94,4.86,0.76,-0.62,-1.59,0.61,-3.68,20.85
oct-99,0.88,3.32,0.62,6.3,0.6,1.52,0.69,2.01,-4.95,25.73
nov-99,1.11,6.61,-2.18,3.35,3.56,9.24,7.94,9.89,-1.01,11.7
dic-99,2.44,7.59,4.96,7.06,-0.12,7.84,5.89,9.18,1.66,17.85
ene-00,0.53,4.93,3.26,8.77,0.15,2.34,2.11,2.33,1.6,22.02
feb-00,0.26,4.8,-3.01,5.38,2.04,5.17,5.81,4.72,5.95,7.26
mar-00,-0.87,2.62,1.59,3.97,-1.79,2.03,2.27,2.32,12.49,-6.29
abr-00,2.99,6.95,5.8,13.21,0.84,4.36,4.92,4.15,11.99,12.86
may-00,-0.69,6.42,-2.38,9.46,0.78,5.97,7.08,5.23,9.01,10.84
jun-00,0.07,5.51,2.62,11.43,-1.41,2.43,3.02,2.1,10.79,14.52
jul-00,0.29,8.18,3.64,18.02,-1.91,2.8,4.14,1.98,14.7,22.24
ago-00,0.34,7.28,1.43,14.85,0.79,4.22,6.65,2.46,10.11,21.91
sep-00,-1.78,5.62,-0.88,16.09,-2.57,0.78,3.21,-1.29,14.61,18.12
oct-00,1.2,5.96,2.77,18.57,0.03,0.21,4.02,-2.86,18.4,19.29
nov-00,-1.65,3.06,-2.22,18.51,-1.79,-4.97,0.12,-8.82,11.08,29.41
dic-00,-2.56,-1.97,-2.42,10.18,-3.18,-7.88,-0.2,-13.16,6.76,14.36
ene-01,-1.54,-3.99,-3.51,2.96,0.62,-7.45,-1.82,-11.45,6.42,-1.47
feb-01,-0.94,-5.14,0.73,6.94,-1.77,-10.9,-5.84,-14.35,1.56,12.5
mar-01,-0.26,-4.56,-1.04,4.17,0.56,-8.77,-2.43,-12.57,-3.98,16.25
abr-01,-2.05,-9.23,0.11,-1.43,-4.02,-13.16,-6.33,-17.92,-4.81,4.62
may-01,-0.72,-9.26,-3.06,-2.11,1.8,-12.28,-4.79,-17.2,-6.54,4.39
jun-01,0.72,-8.67,0.61,-4.04,0.03,-10.99,-3.12,-16.67,-5.56,-2.61
jul-01,2.25,-6.89,0.36,-7.08,2.58,-6.92,1.75,-12.93,-6.25,-7.29
ago-01,-0.55,-7.72,-2.27,-10.46,0.98,-6.75,1.91,-13.52,-7.19,-14.89
sep-01,0.2,-5.86,2.33,-7.57,-1.03,-5.28,2.87,-12.84,-6.11,-10.7
oct-01,-2.93,-9.71,-3.53,-13.24,-2.43,-7.6,0.47,-13.79,-10.85,-16.18
nov-01,1.56,-6.75,1.26,-10.14,1.66,-4.35,3.75,-10.52,-5.02,-18.11
dic-01,1.37,-2.99,1.4,-6.62,0.32,-0.9,7.04,-7.14,-8.79,-3.7
ene-02,-3.41,-4.84,-0.38,-3.6,-3.64,-5.09,3.02,-11.66,-7.26,0.72
feb-02,-0.78,-4.68,0.35,-3.96,-1.59,-4.92,4.03,-11.98,-4.92,-2.64
mar-02,-2.48,-6.8,-2.55,-5.42,-2.96,-8.24,-0.77,-13.53,-2.2,-10.5
