Entidad,Indice_secundarias,Indice_manufacturas
Aguascalientes,78.06,85.24
Baja California,96.64,99.04
Baja California Sur,66.04,101.54
Campeche,67.74,81.18
Coahuila,77.79,78.9
Colima,105.76,122.55
Chiapas,126.16,114.29
Chihuahua,103.0,104.06
Ciudad de México,113.14,95.13
Durango,91.42,102.97
Guanajuato,93.29,92.43
Guerrero,77.66,95.19
Hidalgo,138.69,126.44
Jalisco,107.13,116.22
México,89.32,87.62
Michoacán,91.65,118.91
Morelos,79.02,77.94
Nayarit,92.09,96.93
Nuevo León,109.1,104.82
Oaxaca,150.29,120.8
Puebla,81.13,83.05
Querétaro,95.42,87.88
Quintana Roo,100.78,113.63
San Luis Potosí,85.61,92.31
Sinaloa,84.17,111.53
Sonora,107.14,128.74
Tabasco,138.82,209.33
Tamaulipas,111.09,107.25
Tlaxcala,91.81,88.79
Veracruz,107.47,117.31
Yucatán,104.72,102.8
Zacatecas,108.74,84.85
