Periodo,Coincidente,Adelantado
feb-80,0.26,0.07
mar-80,0.26,0.07
abr-80,0.27,0.13
may-80,0.29,0.23
jun-80,0.32,0.33
jul-80,0.36,0.37
ago-80,0.39,0.35
sep-80,0.42,0.28
oct-80,0.42,0.18
nov-80,0.41,0.1
dic-80,0.38,0.05
ene-81,0.35,0.05
feb-81,0.32,-0.09
mar-81,0.29,-0.06
abr-81,0.27,-0.06
may-81,0.24,-0.1
jun-81,0.21,-0.15
jul-81,0.2,-0.21
ago-81,0.19,-0.27
sep-81,0.16,-0.29
oct-81,0.13,-0.31
nov-81,0.05,-0.35
dic-81,-0.05,-0.45
ene-82,-0.15,-0.62
feb-82,-0.23,-0.75
mar-82,-0.29,-0.83
abr-82,-0.34,-0.83
may-82,-0.4,-0.75
jun-82,-0.46,-0.64
jul-82,-0.51,-0.5
ago-82,-0.56,-0.34
sep-82,-0.57,-0.17
oct-82,-0.54,-0.02
nov-82,-0.47,0.09
dic-82,-0.37,0.13
ene-83,-0.27,0.17
feb-83,-0.17,0.21
mar-83,-0.08,0.25
abr-83,-0.01,0.3
may-83,0.05,0.33
jun-83,0.08,0.36
jul-83,0.09,0.37
ago-83,0.1,0.35
sep-83,0.11,0.35
oct-83,0.12,0.34
nov-83,0.12,0.33
dic-83,0.14,0.31
ene-84,0.17,0.28
feb-84,0.18,0.21
mar-84,0.19,0.15
abr-84,0.19,0.13
may-84,0.21,0.13
jun-84,0.24,0.12
jul-84,0.26,0.12
ago-84,0.24,0.11
sep-84,0.21,0.07
oct-84,0.18,0.03
nov-84,0.17,0.02
dic-84,0.15,0.03
ene-85,0.12,0.05
feb-85,0.07,0.04
mar-85,0.04,-0.02
abr-85,0.01,-0.08
may-85,0.0,-0.14
jun-85,-0.01,-0.18
jul-85,-0.02,-0.22
ago-85,-0.04,-0.23
sep-85,-0.08,-0.19
oct-85,-0.11,-0.15
nov-85,-0.14,-0.14
dic-85,-0.17,-0.16
ene-86,-0.2,-0.2
feb-86,-0.31,-0.24
mar-86,-0.31,-0.27
abr-86,-0.32,-0.28
may-86,-0.33,-0.26
jun-86,-0.34,-0.2
jul-86,-0.33,-0.1
ago-86,-0.3,0.02
sep-86,-0.25,0.13
oct-86,-0.19,0.24
nov-86,-0.12,0.33
dic-86,-0.05,0.42
ene-87,0.0,0.48
feb-87,0.1,0.51
mar-87,0.13,0.5
abr-87,0.14,0.47
may-87,0.14,0.42
jun-87,0.15,0.3
jul-87,0.15,0.09
ago-87,0.13,-0.21
sep-87,0.09,-0.53
oct-87,0.04,-0.77
nov-87,-0.01,-0.86
dic-87,-0.05,-0.75
ene-88,-0.07,-0.5
feb-88,-0.07,-0.22
mar-88,-0.06,0.03
abr-88,-0.04,0.21
may-88,-0.01,0.32
jun-88,0.01,0.36
jul-88,0.04,0.33
ago-88,0.07,0.27
sep-88,0.09,0.2
oct-88,0.11,0.14
nov-88,0.1,0.1
dic-88,0.09,0.04
ene-89,0.09,0.02
feb-89,0.09,0.03
mar-89,0.08,0.04
abr-89,0.06,0.06
may-89,0.05,0.07
jun-89,0.05,0.07
jul-89,0.03,0.05
ago-89,0.03,-0.0
sep-89,0.03,-0.06
oct-89,0.02,-0.1
nov-89,0.02,-0.11
dic-89,0.03,-0.09
ene-90,0.04,-0.07
feb-90,0.05,-0.04
mar-90,0.07,-0.01
abr-90,0.08,0.02
may-90,0.09,0.02
jun-90,0.11,-0.03
jul-90,0.12,-0.09
ago-90,0.13,-0.13
sep-90,0.13,-0.13
oct-90,0.11,-0.09
nov-90,0.11,-0.04
dic-90,0.08,0.02
ene-91,0.06,0.1
feb-91,0.05,0.19
mar-91,0.05,0.24
abr-91,0.06,0.25
may-91,0.04,0.23
jun-91,-0.0,0.19
jul-91,-0.04,0.14
ago-91,-0.05,0.1
sep-91,-0.01,0.06
oct-91,0.05,0.05
nov-91,0.09,0.09
dic-91,0.1,0.14
ene-92,0.11,0.17
feb-92,0.12,0.13
mar-92,0.1,0.05
abr-92,0.04,-0.05
may-92,-0.01,-0.16
jun-92,-0.06,-0.26
jul-92,-0.09,-0.31
ago-92,-0.11,-0.32
sep-92,-0.13,-0.27
oct-92,-0.13,-0.19
nov-92,-0.12,-0.11
dic-92,-0.1,-0.05
ene-93,-0.07,-0.02
feb-93,-0.05,0.01
mar-93,-0.06,0.04
abr-93,-0.08,0.07
may-93,-0.11,0.11
jun-93,-0.14,0.16
jul-93,-0.17,0.2
ago-93,-0.18,0.22
sep-93,-0.14,0.23
oct-93,-0.07,0.24
nov-93,0.02,0.23
dic-93,0.12,0.2
ene-94,0.2,0.13
feb-94,0.24,0.04
mar-94,0.25,-0.06
abr-94,0.23,-0.14
may-94,0.18,-0.16
jun-94,0.12,-0.16
jul-94,0.05,-0.15
ago-94,-0.02,-0.18
sep-94,-0.11,-0.29
oct-94,-0.23,-0.49
nov-94,-0.38,-0.74
dic-94,-0.54,-0.97
ene-95,-0.69,-1.08
feb-95,-0.81,-0.98
mar-95,-0.83,-0.67
abr-95,-0.77,-0.25
may-95,-0.61,0.13
jun-95,-0.41,0.38
jul-95,-0.22,0.47
ago-95,-0.05,0.44
sep-95,0.08,0.35
oct-95,0.18,0.26
nov-95,0.25,0.23
dic-95,0.29,0.25
ene-96,0.29,0.26
feb-96,0.26,0.24
mar-96,0.22,0.23
abr-96,0.18,0.2
may-96,0.15,0.15
jun-96,0.11,0.07
jul-96,0.09,0.03
ago-96,0.08,0.02
sep-96,0.09,0.01
oct-96,0.11,0.03
nov-96,0.14,0.08
dic-96,0.17,0.15
ene-97,0.19,0.21
feb-97,0.21,0.24
mar-97,0.22,0.23
abr-97,0.22,0.24
may-97,0.22,0.26
jun-97,0.21,0.26
jul-97,0.2,0.23
ago-97,0.18,0.18
sep-97,0.15,0.13
oct-97,0.12,0.06
nov-97,0.09,0.01
dic-97,0.07,-0.03
ene-98,0.06,-0.06
feb-98,0.05,-0.09
mar-98,0.02,-0.15
abr-98,-0.02,-0.24
may-98,-0.06,-0.35
jun-98,-0.08,-0.44
jul-98,-0.08,-0.5
ago-98,-0.08,-0.52
sep-98,-0.08,-0.43
oct-98,-0.07,-0.25
nov-98,-0.04,-0.07
dic-98,-0.01,0.1
ene-99,0.03,0.24
feb-99,0.06,0.36
mar-99,0.08,0.41
abr-99,0.08,0.4
may-99,0.07,0.31
jun-99,0.06,0.21
jul-99,0.06,0.14
ago-99,0.06,0.11
sep-99,0.08,0.13
oct-99,0.09,0.18
nov-99,0.11,0.22
dic-99,0.13,0.21
ene-00,0.14,0.17
feb-00,0.14,0.11
mar-00,0.13,0.05
abr-00,0.13,-0.02
may-00,0.13,-0.08
jun-00,0.12,-0.11
jul-00,0.08,-0.15
ago-00,0.03,-0.19
sep-00,-0.01,-0.25
oct-00,-0.05,-0.3
