Periodo,INPC_Mensual,INPC_Anual,Subyacente_Mensual,Subyacente_Anual,No_subyacente_Mensual,No_subyacente_Anual,Subyacente_mercancias_Mensual,Subyacente_mercancias_Anual,Subyacente_servicios_Mensual,Subyacente_servicios_Anual,No_subyacente_agropecuarios_Mensual,No_subyacente_agropecuarios_Anual,No_subyacente_energeticos_Mensual,No_subyacente_energeticos_Anual
ene-69,,,,,,,,,,,,,,
feb-69,0.36,,,,,,,,,,,,,
mar-69,0.1,,,,,,,,,,,,,
abr-69,0.27,,,,,,,,,,,,,
may-69,0.0,,,,,,,,,,,,,
jun-69,0.36,,,,,,,,,,,,,
jul-69,0.38,,,,,,,,,,,,,
ago-69,0.11,,,,,,,,,,,,,
sep-69,0.94,,,,,,,,,,,,,
oct-69,1.05,,,,,,,,,,,,,
nov-69,0.01,,,,,,,,,,,,,
dic-69,0.75,,,,,,,,,,,,,
ene-70,0.76,5.2,,,,,,,,,,,,
feb-70,-0.01,4.81,,,,,,,,,,,,
mar-70,0.29,5.01,,,,,,,,,,,,
abr-70,0.13,4.87,,,,,,,,,,,,
may-70,0.21,5.09,,,,,,,,,,,,
jun-70,0.61,5.35,,,,,,,,,,,,
jul-70,0.49,5.46,,,,,,,,,,,,
ago-70,0.46,5.84,,,,,,,,,,,,
sep-70,0.24,5.11,,,,,,,,,,,,
oct-70,0.03,4.05,,,,,,,,,,,,
nov-70,0.54,4.6,,,,,,,,,,,,
dic-70,0.85,4.69,,,,,,,,,,,,
ene-71,0.99,4.93,,,,,,,,,,,,
feb-71,0.41,5.38,,,,,,,,,,,,
mar-71,0.38,5.47,,,,,,,,,,,,
abr-71,0.51,5.87,,,,,,,,,,,,
may-71,0.21,5.87,,,,,,,,,,,,
jun-71,0.45,5.71,,,,,,,,,,,,
jul-71,-0.08,5.11,,,,,,,,,,,,
ago-71,0.91,5.58,,,,,,,,,,,,
sep-71,0.33,5.67,,,,,,,,,,,,
oct-71,0.1,5.74,,,,,,,,,,,,
nov-71,0.16,5.34,,,,,,,,,,,,
dic-71,0.48,4.96,,,,,,,,,,,,
ene-72,0.44,4.4,,,,,,,,,,,,
feb-72,0.31,4.29,,,,,,,,,,,,
mar-72,0.55,4.46,,,,,,,,,,,,
abr-72,0.63,4.58,,,,,,,,,,,,
may-72,0.2,4.57,,,,,,,,,,,,
jun-72,0.74,4.87,,,,,,,,,,,,
jul-72,0.38,5.35,,,,,,,,,,,,
ago-72,0.66,5.08,,,,,,,,,,,,
sep-72,0.46,5.22,,,,,,,,,,,,
oct-72,0.07,5.19,,,,,,,,,,,,
nov-72,0.65,5.7,,,,,,,,,,,,
dic-72,0.34,5.56,,,,,,,,,,,,
ene-73,1.45,6.62,,,,,,,,,,,,
feb-73,0.83,7.16,,,,,,,,,,,,
mar-73,0.88,7.52,,,,,,,,,,,,
abr-73,1.58,8.54,,,,,,,,,,,,
may-73,1.06,9.47,,,,,,,,,,,,
jun-73,0.82,9.56,,,,,,,,,,,,
jul-73,2.56,11.95,,,,,,,,,,,,
ago-73,1.6,13.0,,,,,,,,,,,,
sep-73,2.38,15.16,,,,,,,,,,,,
oct-73,1.28,16.56,,,,,,,,,,,,
nov-73,1.23,17.23,,,,,,,,,,,,
dic-73,3.88,21.37,,,,,,,,,,,,
ene-74,3.58,23.92,,,,,,,,,,,,
feb-74,2.26,25.68,,,,,,,,,,,,
