Periodo,Sin_petróleo_c_serv_Mensual,Sin_petróleo_c_serv_Anual,Con_petróleo_c_serv_Mensual,Con_petróleo_c_serv_Anual
ene-04,0.65,,,
feb-04,1.21,,,
mar-04,1.09,,,
abr-04,0.96,,,
may-04,0.5,,,
jun-04,0.7,,,
jul-04,0.52,,,
ago-04,0.57,,,
sep-04,0.29,,,
oct-04,0.41,,,
nov-04,0.73,,,
dic-04,0.2,8.11,,
ene-05,0.31,7.74,,
feb-05,0.37,6.85,,
mar-05,0.38,6.1,,
abr-05,0.22,5.33,,
may-05,0.03,4.83,,
jun-05,-0.02,4.08,,
jul-05,0.7,4.26,,
ago-05,-0.01,3.67,,
sep-05,0.21,3.58,,
oct-05,0.49,3.66,,
nov-05,0.38,3.3,,
dic-05,0.41,3.51,,
ene-06,0.71,3.93,,
feb-06,0.38,3.94,,
mar-06,0.42,3.98,,
abr-06,0.84,4.62,,
may-06,1.13,5.77,,
jun-06,0.64,6.47,,
jul-06,0.55,6.32,,
ago-06,0.41,6.76,,
sep-06,0.3,6.86,,
oct-06,-0.17,6.16,,
nov-06,0.29,6.06,,
dic-06,0.35,6.0,,
ene-07,0.24,5.5,,
feb-07,0.48,5.61,,
mar-07,0.42,5.61,,
abr-07,0.35,5.09,,
may-07,0.13,4.05,,
jun-07,0.45,3.85,,
jul-07,0.41,3.71,,
ago-07,0.34,3.64,,
sep-07,0.29,3.64,,
oct-07,0.24,4.05,,
nov-07,0.49,4.27,,
dic-07,0.25,4.16,,
ene-08,0.68,4.63,,
feb-08,1.0,5.18,,
mar-08,1.09,5.88,,
abr-08,0.75,6.3,,
may-08,0.77,6.99,,
jun-08,0.76,7.32,,
jul-08,0.86,7.8,,
ago-08,-0.07,7.35,,
sep-08,0.46,7.52,,
oct-08,1.47,8.84,,
nov-08,0.38,8.73,,
dic-08,0.14,8.6,,
ene-09,0.02,7.88,,
feb-09,0.54,7.39,,
mar-09,0.56,6.82,,
abr-09,-0.49,5.51,,
may-09,-0.47,4.22,,
jun-09,0.27,3.71,,
jul-09,0.33,3.17,,
ago-09,0.28,3.54,,
sep-09,0.74,3.83,,
oct-09,0.12,2.45,,
nov-09,0.53,2.6,,
dic-09,0.45,2.92,,
ene-10,0.73,3.65,,
feb-10,0.54,3.65,,
mar-10,0.63,3.73,,
abr-10,-0.26,3.97,,
may-10,0.39,4.86,,
jun-10,0.14,4.73,,
jul-10,0.52,4.93,,
ago-10,0.07,4.7,,
sep-10,0.18,4.12,,
oct-10,0.07,4.07,,
nov-10,0.38,3.91,,
dic-10,0.75,4.23,,
ene-11,0.53,4.02,,
feb-11,0.67,4.15,,
mar-11,0.64,4.17,,
abr-11,0.46,4.92,,
may-11,0.01,4.52,,
jun-11,0.41,4.8,,
jul-11,0.68,4.97,,
ago-11,0.32,5.23,,
sep-11,0.62,5.69,,
oct-11,0.73,6.39,,
nov-11,0.75,6.78,,
dic-11,0.88,6.91,,
ene-12,0.34,6.71,,
feb-12,-0.05,5.95,,
mar-12,0.28,5.57,,
abr-12,0.07,5.16,,
may-12,0.38,5.55,,
jun-12,0.52,5.66,,
jul-12,-0.2,4.73,,
ago-12,-0.02,4.38,,
sep-12,0.37,4.13,,
oct-12,-0.02,3.35,,
nov-12,0.25,2.84,,
dic-12,-0.11,1.84,,
ene-13,0.13,1.63,,
feb-13,0.38,2.06,,
mar-13,0.24,2.02,,
abr-13,-0.25,1.7,,
may-13,-0.06,1.24,,
jun-13,0.39,1.12,,
jul-13,-0.35,0.97,,
ago-13,-0.07,0.92,,
sep-13,0.45,1.0,,
oct-13,0.02,1.04,,
nov-13,0.31,1.09,,
dic-13,0.43,1.63,,
ene-14,0.54,2.04,,
feb-14,0.7,2.37,,
mar-14,0.08,2.2,,
abr-14,0.05,2.5,,
may-14,0.27,2.84,,
jun-14,-0.4,2.03,,
jul-14,0.43,2.82,,
ago-14,0.39,3.3,,
sep-14,0.15,2.99,,
oct-14,-0.08,2.89,,
nov-14,0.14,2.71,,
dic-14,1.04,3.34,,
ene-15,-0.22,2.56,,
feb-15,0.08,1.93,,
mar-15,0.77,2.64,,
abr-15,0.17,2.76,,
may-15,-0.14,2.34,,
jun-15,0.4,3.17,,
jul-15,0.57,3.31,,
ago-15,0.32,3.25,,
sep-15,0.37,3.47,,
oct-15,-0.08,3.47,,
nov-15,0.13,3.46,,
dic-15,0.38,2.78,,
ene-16,0.87,3.91,,
feb-16,0.9,4.76,,
mar-16,0.07,4.03,,
abr-16,0.26,4.12,,
may-16,0.73,5.02,,
jun-16,0.95,5.6,,
jul-16,0.47,5.5,,
ago-16,0.33,5.5,,
sep-16,1.22,6.4,,
oct-16,0.2,6.7,,
nov-16,1.22,7.87,,
dic-16,0.98,8.52,,
ene-17,2.08,9.81,,
feb-17,0.58,9.46,,
mar-17,0.06,9.45,,
abr-17,-0.39,8.75,,
may-17,0.13,8.1,,
jun-17,-0.36,6.69,,
jul-17,-0.25,5.92,,
ago-17,0.06,5.64,,
sep-17,0.14,4.5,,
oct-17,0.94,5.27,,
nov-17,1.15,5.19,,
dic-17,0.46,4.65,,
ene-18,0.84,3.38,,
feb-18,0.45,3.24,,
mar-18,0.44,3.64,,
abr-18,-0.04,4.0,,
may-18,1.48,5.41,,
jun-18,1.09,6.95,,
jul-18,-0.66,6.51,,
ago-18,-0.07,6.38,,
sep-18,0.59,6.86,,
oct-18,0.37,6.26,,
nov-18,1.38,6.51,,
dic-18,0.37,6.42,,
ene-19,-0.53,4.97,,
feb-19,0.02,4.52,,
mar-19,0.18,4.25,,
abr-19,0.32,4.63,,
may-19,0.08,3.18,,
jun-19,0.41,2.48,,
jul-19,0.21,3.38,,
ago-19,-24.5,-21.9,,
sep-19,0.52,2.81,0.76,1.79
oct-19,-0.26,2.16,-0.5,0.7
nov-19,0.18,0.94,0.15,0.15
dic-19,0.28,0.84,0.45,1.0
ene-20,-0.28,1.1,-0.45,1.05
feb-20,0.46,1.54,-0.07,0.7
mar-20,2.32,3.72,1.95,2.29
abr-20,1.96,5.41,1.45,3.28
may-20,-0.5,4.79,-0.21,3.07
jun-20,-0.62,3.72,-0.13,2.68
jul-20,0.95,4.48,1.11,3.72
ago-20,0.36,5.44,0.45,5.06
sep-20,-0.35,4.52,-0.44,3.8
oct-20,0.06,4.86,0.07,4.4
nov-20,-0.25,4.42,-0.3,3.93
dic-20,0.01,4.14,0.21,3.68
ene-21,0.79,5.25,1.11,5.29
feb-21,1.06,5.88,1.3,6.74
mar-21,1.31,4.83,1.47,6.23
abr-21,0.33,3.16,0.3,5.02
may-21,0.73,4.43,0.81,6.1
jun-21,0.71,5.83,0.82,7.1
jul-21,0.44,5.3,0.48,6.43
ago-21,0.35,5.29,0.32,6.3
sep-21,0.33,6.02,0.37,7.16
oct-21,1.05,7.06,1.22,8.39
nov-21,0.95,8.35,1.06,9.87
dic-21,0.89,9.3,0.62,10.32
ene-22,0.28,8.75,0.65,9.82
feb-22,1.0,8.7,1.37,9.89
mar-22,1.21,8.59,1.72,10.17
abr-22,0.68,8.96,0.6,10.5
may-22,0.71,8.95,0.79,10.47
jun-22,0.7,8.93,0.7,10.35
jul-22,0.57,9.06,0.17,10.01
ago-22,0.11,8.8,-0.27,9.36
sep-22,-0.06,8.37,-0.26,8.68
oct-22,-0.15,7.1,-0.27,7.07
nov-22,-0.17,5.91,-0.24,5.69
dic-22,0.33,5.32,0.0,5.05
ene-23,0.59,5.65,0.42,4.81
feb-23,0.04,4.64,-0.04,3.35
mar-23,0.37,3.77,0.21,1.81
abr-23,-0.01,3.05,0.07,1.28
may-23,-0.24,2.09,-0.34,0.15
jun-23,-0.25,1.13,-0.29,-0.84
