Entidad,Indice_desest,Var_anual
Aguascalientes,99.9,0.09
Baja California,106.03,-0.55
Baja California Sur,102.84,0.17
Campeche,70.84,-10.59
Coahuila,91.12,-4.11
Colima,103.7,1.16
Chiapas,113.31,1.78
Chihuahua,109.09,0.99
Ciudad de México,109.97,5.1
Durango,101.93,-1.22
Guanajuato,105.33,
Guerrero,102.92,2.66
Hidalgo,117.11,9.12
Jalisco,107.81,1.82
México,105.0,1.09
Michoacán,107.42,0.5
Morelos,98.98,-0.33
Nayarit,108.53,5.23
Nuevo León,111.44,2.31
Oaxaca,125.19,2.09
Puebla,105.38,2.84
Querétaro,103.05,2.76
Quintana Roo,92.89,-6.09
San Luis Potosí,105.89,2.1
Sinaloa,103.01,12.01
Sonora,104.93,1.82
Tabasco,126.71,4.22
Tamaulipas,108.79,3.21
Tlaxcala,102.58,-0.07
Veracruz,106.07,-0.21
Yucatán,112.97,2.0
Zacatecas,111.19,3.05
