Entidad,Participacion,IVF_2018,Constante_2018
Aguascalientes,1.29,100.05,328087.96
Baja California,3.74,107.84,947677.01
Baja California Sur,0.74,101.37,187152.16
Campeche,1.87,83.85,473399.46
Coahuila,3.64,95.47,922286.19
Colima,0.62,102.17,157139.89
Chiapas,1.54,110.24,389794.85
Chihuahua,3.67,109.09,930854.91
Ciudad de México,15.32,105.18,3885956.59
Durango,1.28,104.8,323802.36
Guanajuato,4.62,104.47,1170675.9
Guerrero,1.24,98.8,314019.72
Hidalgo,1.79,108.48,454116.32
Jalisco,7.35,106.26,1864059.17
México,9.12,103.09,2313164.33
Michoacán,2.69,107.52,681445.83
Morelos,1.07,99.26,271218.84
Nayarit,0.63,102.56,159749.67
Nuevo León,8.12,107.91,2059995.56
Oaxaca,1.84,121.98,467374.41
Puebla,3.48,103.86,882359.63
Querétaro,2.45,101.68,621620.13
Quintana Roo,1.51,101.53,383116.45
San Luis Potosí,2.29,103.92,579636.26
Sinaloa,2.03,97.47,514385.48
Sonora,3.24,105.17,822556.9
Tabasco,2.39,128.34,605206.52
Tamaulipas,3.01,104.46,764735.77
Tlaxcala,0.6,102.54,151512.67
Veracruz,4.32,106.3,1094822.17
Yucatán,1.59,110.41,402785.75
Zacatecas,0.95,105.31,240511.78
