Trimestre,Primarias_Anual,Secundarias_Anual,Terciarias_Anual,Mineria_Anual,Energia_agua_gas_Anual,Construccion_Anual,Manufacturas_Anual,Comercio_mayor_Anual,Comercio_menor_Anual,Transportes_Anual,Financieros_Anual,Gubernamentales_Anual,Primarias_Trim,Secundarias_Trim,Terciarias_Trim
T2-22,-0.24,4.52,1.84,4.46,1.85,3.56,5.02,7.14,7.53,12.54,5.33,-0.51,0.8841,0.8568,1.2399
T3-22,0.0,5.35,4.33,3.16,2.12,-0.44,7.23,8.28,6.51,12.21,4.85,2.0,-1.9126,0.6267,0.0641
T4-22,4.62,4.91,4.52,4.73,-2.08,4.03,5.76,3.7,5.48,8.2,8.64,-0.68,5.4466,0.915,1.9382
T1-23,0.81,3.14,3.99,3.71,-1.54,4.11,3.18,1.54,7.42,6.42,8.44,0.04,-3.3885,0.7025,0.4271
T2-23,0.03,3.03,3.64,2.84,-5.0,8.14,2.29,2.47,5.08,3.91,9.15,-0.48,0.1045,0.7498,0.396
T3-23,-0.18,3.33,3.37,-0.64,-2.43,17.21,0.78,4.81,3.09,2.57,9.07,-0.39,-2.1157,0.9193,-3.3235
T4-23,-3.88,2.32,2.4,-3.88,-0.59,18.91,-0.55,6.15,1.86,2.12,4.28,2.02,1.5372,-0.0666,-1.3864
T1-24,-1.06,0.71,3.01,-3.85,-3.93,12.0,-1.14,6.2,2.46,4.04,3.07,0.55,-0.5583,-0.8839,0.4527
T2-24,0.65,-0.84,2.26,-9.09,-1.39,7.13,-1.55,2.23,1.95,4.14,2.79,3.3,1.839,-0.803,-5.0723
T3-24,6.39,-0.46,2.24,-6.82,-1.92,1.59,0.09,-1.18,4.52,4.26,1.63,2.57,3.4693,1.3044,-0.9054
T4-24,-2.16,-2.54,1.96,-8.65,-2.27,-6.04,-0.22,-2.27,5.2,3.84,1.31,0.91,-6.6301,-2.1529,-3.3239
T1-25,3.32,-1.34,1.22,-11.74,-0.04,-2.58,0.87,-5.91,4.16,0.95,2.02,2.16,5.0156,0.3366,-2.9448
T2-25,-0.65,-0.35,1.58,-8.25,-1.37,-1.09,1.38,-5.83,5.64,1.29,1.94,-0.1,-2.0751,0.1989,-1.3245
T3-25,-1.4,-2.48,1.01,-5.09,-1.5,-4.35,-1.56,-4.09,4.19,0.44,2.01,-0.48,2.6907,-0.8701,2.5045
T4-25,7.14,0.29,1.94,-0.4,2.22,3.67,-0.68,-1.17,4.3,0.87,3.79,1.57,1.4509,0.6294,1.4582
T1-26,0.28,-1.07,1.14,2.66,-0.09,-0.39,-1.95,1.95,0.98,0.46,2.15,5.37,-1.7016,-1.0181,0.036
