Periodo,Personal_ocupado,Remuneraciones_totales,Ingresos_totales,Gastos_consumo_b_y_s,Transporte_correos_Anual,Info_medios_masivos_Anual,Inmobiliarios_alquiler_Anual,Profesionales_cientificos_Anual,Apoyo_negocios_residuos_Anual,Educativos_Anual,Salud_asistencia_Anual,Esparcimiento_culturales_Anual,Alojamiento_alimentos_Anual,Otros_servicios_Anual
feb-08,0.15,-0.8,0.07,0.64,,,,,,,,,,
mar-08,0.03,1.77,2.89,-1.12,,,,,,,,,,
abr-08,0.02,-1.35,-1.36,0.16,,,,,,,,,,
may-08,-0.19,3.86,-1.48,-1.79,,,,,,,,,,
jun-08,-0.12,-3.05,0.7,1.32,,,,,,,,,,
jul-08,-0.13,-1.63,-1.48,0.03,,,,,,,,,,
ago-08,-0.31,0.67,-0.24,-1.1,,,,,,,,,,
sep-08,-0.5,-1.32,-0.78,-1.36,,,,,,,,,,
oct-08,-0.97,0.72,0.38,2.16,,,,,,,,,,
nov-08,1.79,-1.85,-1.61,-1.66,,,,,,,,,,
dic-08,3.98,6.77,6.69,2.32,,,,,,,,,,
ene-09,-5.32,-10.18,-9.21,-5.29,-5.15,-7.15,-12.08,-6.91,-1.81,-7.01,-19.77,-1.56,-1.2,
feb-09,-0.8,0.32,-0.2,-4.6,-7.59,-7.5,-26.94,2.14,-5.66,-6.34,-16.73,-9.9,-1.3,
mar-09,-0.05,0.05,1.94,0.57,-11.53,-5.8,-23.56,0.02,-8.05,-10.36,-15.83,-9.53,-0.24,
abr-09,-0.16,-0.98,-3.71,0.14,-13.54,-9.07,-14.71,-4.52,-5.96,-9.12,-10.85,-7.65,-3.38,
may-09,-1.15,1.0,-5.36,-5.7,-19.66,-4.27,-16.02,-8.68,-7.81,-7.39,-16.02,-23.24,-29.5,
jun-09,0.74,-1.45,4.35,4.61,-10.63,-11.49,-6.99,3.43,-8.12,-11.93,-15.32,-14.69,-15.44,
jul-09,0.07,-0.24,0.75,-0.41,-10.92,-6.47,-7.83,-7.94,-7.35,-7.78,-12.6,-9.89,-5.37,
ago-09,0.07,-0.71,-0.7,0.59,-8.67,-5.62,-7.7,-14.79,-8.6,-3.92,-16.08,-3.88,0.51,
sep-09,0.1,0.7,0.08,0.15,-7.14,-10.61,1.07,-13.04,-5.41,-5.34,-11.43,-4.87,-8.34,
oct-09,-0.14,-0.29,-0.27,-0.5,-4.97,-4.85,-14.47,-3.63,-11.05,-10.27,-12.44,-7.31,-10.56,
nov-09,2.96,0.78,-4.89,-0.79,-3.53,-7.21,-19.65,-24.65,-7.17,-13.21,-16.05,-3.13,-3.41,
dic-09,0.07,1.79,5.47,2.06,-2.27,-6.77,-19.06,-21.46,-12.06,-8.61,-17.21,-12.54,-9.26,
ene-10,-0.26,-2.07,-1.24,0.52,-2.0,2.93,-14.99,-15.46,-0.49,5.33,-14.22,-11.05,-11.11,
feb-10,0.19,0.2,0.12,0.89,4.86,6.42,1.96,-26.39,-0.08,2.27,-4.02,-9.89,-11.97,
mar-10,0.04,-1.26,-0.37,1.3,11.47,1.87,-8.43,-27.99,1.72,4.5,-4.72,-6.22,-15.63,
abr-10,-0.21,0.77,-1.28,-1.72,10.17,3.16,-18.61,-11.05,-2.72,3.05,-11.83,-6.88,-15.1,
